"Time","sum (
  rate(hypha_bandwidth_inbound_bytes_total{service_namespace=""r600w4p2_f1_d10_20b100l1td80_200ts20_4tl100_tb300_worker7_worker10_worker3_worker4_worker5_worker8_worker9_worker6""}[4m0s])
+ rate(hypha_bandwidth_outbound_bytes_total{service_namespace=""r600w4p2_f1_d10_20b100l1td80_200ts20_4tl100_tb300_worker7_worker10_worker3_worker4_worker5_worker8_worker9_worker6""}[4m0s])
)  * 8 "
2026-01-06 20:00:00,89.5 kb/s
2026-01-06 20:01:00,3.34 Mb/s
2026-01-06 20:02:00,7.26 Mb/s
2026-01-06 20:03:00,11.4 Mb/s
2026-01-06 20:04:00,12.6 Mb/s
2026-01-06 20:05:00,7.75 Mb/s
2026-01-06 20:06:00,5.34 Mb/s
2026-01-06 20:07:00,2.73 Mb/s
2026-01-06 20:08:00,5.99 Mb/s
2026-01-06 20:09:00,8.13 Mb/s
2026-01-06 20:10:00,10.6 Mb/s
2026-01-06 20:11:00,7.16 Mb/s
2026-01-06 20:12:00,2.90 Mb/s
2026-01-06 20:13:00,636 kb/s
2026-01-06 20:14:00,749 kb/s
2026-01-06 20:15:00,719 kb/s
2026-01-06 20:16:00,3.79 Mb/s
2026-01-06 20:17:00,7.51 Mb/s
2026-01-06 20:18:00,11.4 Mb/s
2026-01-06 20:19:00,12.8 Mb/s
2026-01-06 20:20:00,12.9 Mb/s
2026-01-06 20:21:00,9.31 Mb/s
2026-01-06 20:22:00,5.02 Mb/s
2026-01-06 20:23:00,805 kb/s
2026-01-06 20:24:00,3.64 Mb/s
2026-01-06 20:25:00,4.62 Mb/s
2026-01-06 20:26:00,4.48 Mb/s
2026-01-06 20:27:00,1.38 Mb/s
2026-01-06 20:28:00,1.26 Mb/s
2026-01-06 20:29:00,1.24 Mb/s
2026-01-06 20:30:00,1.01 Mb/s
2026-01-06 20:31:00,124 kb/s
