"Time","in:r600w4p2_f1_d10_20b100l1td80_200ts20_4tl100_tb300_worker7_worker10_worker3_worker4_worker5_worker8_worker9_worker6","out:r600w4p2_f1_d10_20b100l1td80_200ts20_4tl100_tb300_worker7_worker10_worker3_worker4_worker5_worker8_worker9_worker6","sum:r600w4p2_f1_d10_20b100l1td80_200ts20_4tl100_tb300_worker7_worker10_worker3_worker4_worker5_worker8_worker9_worker6"
2026-01-06 20:00:00,9.85 MB,5.29 MB,15.1 MB
2026-01-06 20:01:00,52.0 MB,38.0 MB,90.1 MB
2026-01-06 20:02:00,106 MB,91.8 MB,198 MB
2026-01-06 20:03:00,160 MB,146 MB,306 MB
2026-01-06 20:04:00,191 MB,176 MB,367 MB
2026-01-06 20:05:00,171 MB,156 MB,327 MB
2026-01-06 20:06:00,198 MB,183 MB,381 MB
2026-01-06 20:07:00,173 MB,159 MB,332 MB
2026-01-06 20:08:00,214 MB,197 MB,411 MB
2026-01-06 20:09:00,267 MB,247 MB,514 MB
2026-01-06 20:10:00,294 MB,275 MB,569 MB
2026-01-06 20:11:00,252 MB,237 MB,489 MB
2026-01-06 20:12:00,254 MB,239 MB,493 MB
2026-01-06 20:13:00,255 MB,241 MB,495 MB
2026-01-06 20:14:00,257 MB,243 MB,500 MB
2026-01-06 20:15:00,239 MB,225 MB,464 MB
2026-01-06 20:16:00,279 MB,260 MB,538 MB
2026-01-06 20:17:00,327 MB,306 MB,632 MB
2026-01-06 20:18:00,373 MB,352 MB,726 MB
2026-01-06 20:19:00,424 MB,401 MB,825 MB
2026-01-06 20:20:00,476 MB,452 MB,927 MB
2026-01-06 20:21:00,479 MB,456 MB,935 MB
2026-01-06 20:22:00,446 MB,428 MB,874 MB
2026-01-06 20:23:00,449 MB,429 MB,879 MB
2026-01-06 20:24:00,487 MB,466 MB,953 MB
2026-01-06 20:25:00,498 MB,477 MB,975 MB
2026-01-06 20:26:00,412 MB,401 MB,813 MB
2026-01-06 20:27:00,416 MB,403 MB,818 MB
2026-01-06 20:28:00,427 MB,412 MB,839 MB
2026-01-06 20:29:00,428 MB,413 MB,841 MB
2026-01-06 20:30:00,428 MB,414 MB,842 MB
2026-01-06 20:31:00,428 MB,414 MB,842 MB
