"Time","Weighted Average","Average"
2026-01-06 20:01:00,1.26,1.47
2026-01-06 20:02:00,0.622,0.794
2026-01-06 20:03:00,0.635,0.774
2026-01-06 20:04:00,0.479,0.624
2026-01-06 20:05:00,0.595,0.588
2026-01-06 20:06:00,0.592,1.10
2026-01-06 20:07:00,0.573,1.09
2026-01-06 20:08:00,0.881,1.23
2026-01-06 20:09:00,0.744,1.14
2026-01-06 20:10:00,0.618,0.892
2026-01-06 20:11:00,0.851,0.857
2026-01-06 20:12:00,0.917,1.26
2026-01-06 20:13:00,0.916,1.16
2026-01-06 20:14:00,0.957,1.51
2026-01-06 20:15:00,1.07,1.50
2026-01-06 20:16:00,0.738,1.12
2026-01-06 20:17:00,0.363,0.725
2026-01-06 20:18:00,0.472,0.687
2026-01-06 20:19:00,0.367,0.568
2026-01-06 20:20:00,0.329,0.520
2026-01-06 20:21:00,0.504,0.517
2026-01-06 20:22:00,0.330,0.517
2026-01-06 20:23:00,0.409,0.535
2026-01-06 20:24:00,0.519,0.775
2026-01-06 20:25:00,0.382,0.673
2026-01-06 20:26:00,0.382,0.673
2026-01-06 20:27:00,0.532,0.731
2026-01-06 20:28:00,0.532,0.731
2026-01-06 20:29:00,0.532,0.731
2026-01-06 20:30:00,0.532,0.731
2026-01-06 20:31:00,0.532,0.731
