"Time","gateway1","scheduler","worker1","worker3","worker4","worker6"
2026-01-05 18:30:00,2.58 kb/s,,1.58 kb/s,1.79 kb/s,2.10 kb/s,1.30 kb/s
2026-01-05 18:35:00,2.58 kb/s,,1.58 kb/s,1.79 kb/s,2.09 kb/s,1.29 kb/s
2026-01-05 18:40:00,2.59 kb/s,,1.58 kb/s,1.79 kb/s,2.09 kb/s,1.30 kb/s
2026-01-05 18:45:00,11.4 kb/s,,115 Mb/s,4.11 Mb/s,40.7 Mb/s,110 Mb/s
2026-01-05 18:50:00,7.03 kb/s,20.4 kb/s,557 Mb/s,86.1 Mb/s,136 Mb/s,375 Mb/s
2026-01-05 18:55:00,3.13 kb/s,19.8 kb/s,702 Mb/s,94.3 Mb/s,121 Mb/s,348 Mb/s
2026-01-05 19:00:00,3.31 kb/s,21.1 kb/s,696 Mb/s,94.3 Mb/s,144 Mb/s,332 Mb/s
2026-01-05 19:05:00,3.21 kb/s,22.2 kb/s,593 Mb/s,82.0 Mb/s,138 Mb/s,332 Mb/s
2026-01-05 19:10:00,3.29 kb/s,20.0 kb/s,572 Mb/s,94.3 Mb/s,137 Mb/s,390 Mb/s
2026-01-05 19:15:00,3.10 kb/s,18.6 kb/s,674 Mb/s,97.1 Mb/s,136 Mb/s,397 Mb/s
2026-01-05 19:20:00,3.14 kb/s,19.4 kb/s,635 Mb/s,87.5 Mb/s,136 Mb/s,368 Mb/s
2026-01-05 19:25:00,3.24 kb/s,20.9 kb/s,624 Mb/s,98.4 Mb/s,148 Mb/s,388 Mb/s
2026-01-05 19:30:00,3.36 kb/s,20.5 kb/s,195 Mb/s,134 Mb/s,109 Mb/s,159 Mb/s
2026-01-05 19:35:00,3.62 kb/s,22.0 kb/s,79.3 Mb/s,238 Mb/s,79.2 Mb/s,79.3 Mb/s
2026-01-05 19:40:00,3.13 kb/s,18.5 kb/s,24.6 Mb/s,73.0 Mb/s,127 Mb/s,24.6 Mb/s
2026-01-05 19:45:00,3.29 kb/s,14.8 kb/s,24.6 Mb/s,73.8 Mb/s,133 Mb/s,24.6 Mb/s
2026-01-05 19:50:00,3.16 kb/s,18.5 kb/s,28.7 Mb/s,85.6 Mb/s,139 Mb/s,119 Mb/s
