"Time","Value"
2026-01-06 13:00:00,195
2026-01-06 13:05:00,195
2026-01-06 13:10:00,145
2026-01-06 13:15:00,253
2026-01-06 13:20:00,253
2026-01-06 13:25:00,216
2026-01-06 13:30:00,292
2026-01-06 13:35:00,292
2026-01-06 13:40:00,292
2026-01-06 13:45:00,241
2026-01-06 13:50:00,245
2026-01-06 13:55:00,245
2026-01-06 14:00:00,188
2026-01-06 14:05:00,208
2026-01-06 14:10:00,208
2026-01-06 14:15:00,100
2026-01-06 14:20:00,110
2026-01-06 14:25:00,110
2026-01-06 14:30:00,34
2026-01-06 14:35:00,84
2026-01-06 14:40:00,84
2026-01-06 14:45:00,84
2026-01-06 14:50:00,107
2026-01-06 14:55:00,107
2026-01-06 15:00:00,107
2026-01-06 15:05:00,87
2026-01-06 15:10:00,106
2026-01-06 15:15:00,106
2026-01-06 15:20:00,96
2026-01-06 15:25:00,138
2026-01-06 15:30:00,138
2026-01-06 15:35:00,88
2026-01-06 15:40:00,88
2026-01-06 15:45:00,171
2026-01-06 15:50:00,144
2026-01-06 15:55:00,144
2026-01-06 16:00:00,144
2026-01-06 16:05:00,144
2026-01-06 16:10:00,194
2026-01-06 16:15:00,194
2026-01-06 16:20:00,315
2026-01-06 16:25:00,300
2026-01-06 16:30:00,300
2026-01-06 16:35:00,300
2026-01-06 16:40:00,348
2026-01-06 16:45:00,265
2026-01-06 16:50:00,265
2026-01-06 16:55:00,344
2026-01-06 17:00:00,344
2026-01-06 17:05:00,344
2026-01-06 17:10:00,367
2026-01-06 17:15:00,367
2026-01-06 17:20:00,257
2026-01-06 17:25:00,230
2026-01-06 17:30:00,230
2026-01-06 17:35:00,269
2026-01-06 17:40:00,221
2026-01-06 17:45:00,221
2026-01-06 17:50:00,275
2026-01-06 17:55:00,196
2026-01-06 18:00:00,196
2026-01-06 18:05:00,196
2026-01-06 18:10:00,157
2026-01-06 18:15:00,157
2026-01-06 18:20:00,146
2026-01-06 18:25:00,170
2026-01-06 18:30:00,170
2026-01-06 18:35:00,131
2026-01-06 18:40:00,149
2026-01-06 18:45:00,149
2026-01-06 18:50:00,95
2026-01-06 18:55:00,142
2026-01-06 19:00:00,142
2026-01-06 19:05:00,142
2026-01-06 19:10:00,116
2026-01-06 19:15:00,116
2026-01-06 19:20:00,116
2026-01-06 19:25:00,92
2026-01-06 19:30:00,131
2026-01-06 19:35:00,131
2026-01-06 19:40:00,113
2026-01-06 19:45:00,185
2026-01-06 19:50:00,185
2026-01-06 19:55:00,138
2026-01-06 20:00:00,197
2026-01-06 20:05:00,197
2026-01-06 20:10:00,170
2026-01-06 20:15:00,275
2026-01-06 20:20:00,275
2026-01-06 20:25:00,275
2026-01-06 20:30:00,251
2026-01-06 20:35:00,266
2026-01-06 20:40:00,266
2026-01-06 20:45:00,194
2026-01-06 20:50:00,270
2026-01-06 20:55:00,270
2026-01-06 21:00:00,211
2026-01-06 21:05:00,226
2026-01-06 21:10:00,226
2026-01-06 21:15:00,121
2026-01-06 21:20:00,131
2026-01-06 21:25:00,131
2026-01-06 21:30:00,116
2026-01-06 21:35:00,110
2026-01-06 21:40:00,110
2026-01-06 21:45:00,110
2026-01-06 21:50:00,56
2026-01-06 21:55:00,56
2026-01-06 22:00:00,56
2026-01-06 22:05:00,41
2026-01-06 22:10:00,91
2026-01-06 22:15:00,91
2026-01-06 22:20:00,81
2026-01-06 22:25:00,93
2026-01-06 22:30:00,93
2026-01-06 22:35:00,84
2026-01-06 22:40:00,86
2026-01-06 22:45:00,86
2026-01-06 22:50:00,64
2026-01-06 22:55:00,104
2026-01-06 23:00:00,104
2026-01-06 23:05:00,104
2026-01-06 23:10:00,104
2026-01-06 23:15:00,104
2026-01-06 23:20:00,104
2026-01-06 23:25:00,92
2026-01-06 23:30:00,109
2026-01-06 23:35:00,109
2026-01-06 23:40:00,107
2026-01-06 23:45:00,123
2026-01-06 23:50:00,123
2026-01-06 23:55:00,83
2026-01-07 00:00:00,116
2026-01-07 00:05:00,116
2026-01-07 00:10:00,66
2026-01-07 00:15:00,90
2026-01-07 00:20:00,90
2026-01-07 00:25:00,90
2026-01-07 00:30:00,73
2026-01-07 00:35:00,129
2026-01-07 00:40:00,129
2026-01-07 00:45:00,113
2026-01-07 00:50:00,138
2026-01-07 00:55:00,138
2026-01-07 01:00:00,105
2026-01-07 01:05:00,191
2026-01-07 01:10:00,191
2026-01-07 01:15:00,167
2026-01-07 01:20:00,239
2026-01-07 01:25:00,239
2026-01-07 01:30:00,239
2026-01-07 01:35:00,224
2026-01-07 01:40:00,224
2026-01-07 01:45:00,224
2026-01-07 01:50:00,199
2026-01-07 01:55:00,233
2026-01-07 02:00:00,233
2026-01-07 02:05:00,147
2026-01-07 02:10:00,172
2026-01-07 02:15:00,172
2026-01-07 02:20:00,100
2026-01-07 02:25:00,121
2026-01-07 02:30:00,121
2026-01-07 02:35:00,80
2026-01-07 02:40:00,105
2026-01-07 02:45:00,105
2026-01-07 02:50:00,105
2026-01-07 02:55:00,89
2026-01-07 03:00:00,89
2026-01-07 03:05:00,89
2026-01-07 03:10:00,96
2026-01-07 03:15:00,96
2026-01-07 03:20:00,96
2026-01-07 03:25:00,75
2026-01-07 03:30:00,103
2026-01-07 03:35:00,103
2026-01-07 03:40:00,78
2026-01-07 03:45:00,109
2026-01-07 03:50:00,109
2026-01-07 03:55:00,120
2026-01-07 04:00:00,142
2026-01-07 04:05:00,142
2026-01-07 04:10:00,139
2026-01-07 04:15:00,139
2026-01-07 04:20:00,173
2026-01-07 04:25:00,173
2026-01-07 04:30:00,145
2026-01-07 04:35:00,216
2026-01-07 04:40:00,216
2026-01-07 04:45:00,212
2026-01-07 04:50:00,212
2026-01-07 04:55:00,183
2026-01-07 05:00:00,223
2026-01-07 05:05:00,223
2026-01-07 05:10:00,246
2026-01-07 05:15:00,246
2026-01-07 05:20:00,212
2026-01-07 05:25:00,235
2026-01-07 05:30:00,235
2026-01-07 05:35:00,232
2026-01-07 05:40:00,232
2026-01-07 05:45:00,228
2026-01-07 05:50:00,243
2026-01-07 05:55:00,243
2026-01-07 06:00:00,208
2026-01-07 06:05:00,208
2026-01-07 06:10:00,189
2026-01-07 06:15:00,189
2026-01-07 06:20:00,189
2026-01-07 06:25:00,244
2026-01-07 06:30:00,244
2026-01-07 06:35:00,194
2026-01-07 06:40:00,194
2026-01-07 06:45:00,171
2026-01-07 06:50:00,172
2026-01-07 06:55:00,172
2026-01-07 07:00:00,197
2026-01-07 07:05:00,197
2026-01-07 07:10:00,164
2026-01-07 07:15:00,203
2026-01-07 07:20:00,203
2026-01-07 07:25:00,139
2026-01-07 07:30:00,139
2026-01-07 07:35:00,160
2026-01-07 07:40:00,160
2026-01-07 07:45:00,160
2026-01-07 07:50:00,182
2026-01-07 07:55:00,182
2026-01-07 08:00:00,160
2026-01-07 08:05:00,160
2026-01-07 08:10:00,160
2026-01-07 08:15:00,132
2026-01-07 08:20:00,132
2026-01-07 08:25:00,151
2026-01-07 08:30:00,151
2026-01-07 08:35:00,112
2026-01-07 08:40:00,147
2026-01-07 08:45:00,147
2026-01-07 08:50:00,155
2026-01-07 08:55:00,155
2026-01-07 09:00:00,125
2026-01-07 09:05:00,190
2026-01-07 09:10:00,190
2026-01-07 09:15:00,223
2026-01-07 09:20:00,426
2026-01-07 09:25:00,482
2026-01-07 09:30:00,482
2026-01-07 09:35:00,745
2026-01-07 09:40:00,868
2026-01-07 09:45:00,868
2026-01-07 09:50:00,852
2026-01-07 09:55:00,945
2026-01-07 10:00:00,945
2026-01-07 10:05:00,893
2026-01-07 10:10:00,893
