"Time","12D3KooWB9JZvpsU7u1Mxf1STyC9TYnYe4BjtKfSkPsXUvwBsHGR","12D3KooWEtNTTuDa9bYLyYqcmd89tdraDxRGZVz6GRY5Zci7uuzy","12D3KooWJwrPRX5GsoBV9HdHr7oXawBK5tgCFXkiu4L1dWyh9c4G"
2026-01-05 18:50:00,6.90,6.90,6.90
2026-01-05 18:55:00,6.88,6.88,6.89
2026-01-05 19:00:00,6.87,6.83,6.83
2026-01-05 19:05:00,6.77,6.77,6.79
2026-01-05 19:10:00,6.74,6.69,6.70
2026-01-05 19:15:00,6.62,6.67,6.66
2026-01-05 19:20:00,6.64,6.58,6.60
2026-01-05 19:25:00,6.53,6.49,6.51
2026-01-05 19:30:00,6.32,6.34,6.30
2026-01-05 19:35:00,6.06,6.22,6.15
2026-01-05 19:40:00,6.19,6.13,6.10
2026-01-05 19:45:00,6.08,6.12,6.06
2026-01-05 19:50:00,5.81,6.04,5.94
2026-01-05 19:55:00,5.63,5.81,5.95
2026-01-05 20:00:00,5.99,5.94,5.93
2026-01-05 20:05:00,5.82,5.93,5.53
2026-01-05 20:10:00,5.63,5.63,5.58
2026-01-05 20:15:00,5.26,5.39,5.22
2026-01-05 20:20:00,5.33,5.40,5.51
2026-01-05 20:25:00,4.97,5.53,5.48
2026-01-05 20:30:00,5.43,5.25,5.29
2026-01-05 20:35:00,5.10,5.10,4.94
2026-01-05 20:40:00,4.94,5.18,4.90
2026-01-05 20:45:00,5.09,5.20,5.14
2026-01-05 20:50:00,5.00,4.65,4.87
2026-01-05 20:55:00,4.80,5.06,4.56
2026-01-05 21:00:00,4.80,4.40,5.01
2026-01-05 21:05:00,4.61,4.44,4.47
2026-01-05 21:10:00,4.73,4.55,4.51
2026-01-05 21:15:00,4.54,4.48,4.53
2026-01-05 21:20:00,4.43,4.31,4.14
2026-01-05 21:25:00,3.74,4.05,4.40
2026-01-05 21:30:00,4.22,4.15,4.28
2026-01-05 21:35:00,4.20,4.35,4.33
2026-01-05 21:40:00,3.97,4.28,4.20
2026-01-05 21:45:00,4.21,4.50,4.31
2026-01-05 21:50:00,4.32,4.01,4.27
2026-01-05 21:55:00,3.91,3.67,3.86
2026-01-05 22:00:00,4.35,3.98,3.97
2026-01-05 22:05:00,4.35,4.18,4.08
2026-01-05 22:10:00,4.35,4.21,4.13
2026-01-05 22:15:00,4.35,3.93,3.90
2026-01-05 22:20:00,4.35,4.18,4.38
2026-01-05 22:25:00,4.35,3.98,3.78
2026-01-05 22:30:00,4.35,3.91,3.88
2026-01-05 22:35:00,4.35,4.08,4.04
2026-01-05 22:40:00,4.35,3.95,3.95
2026-01-05 22:45:00,4.35,3.88,3.96
2026-01-05 22:50:00,4.35,3.98,4.01
2026-01-05 22:55:00,4.35,3.92,3.95
2026-01-05 23:00:00,4.35,4.23,3.80
2026-01-05 23:05:00,4.35,3.96,3.90
2026-01-05 23:10:00,4.35,3.88,4.01
2026-01-05 23:15:00,4.35,3.56,3.79
2026-01-05 23:20:00,4.35,3.45,3.89
2026-01-05 23:25:00,4.35,3.79,3.74
2026-01-05 23:30:00,4.35,3.32,3.62
2026-01-05 23:35:00,4.35,3.89,3.74
2026-01-05 23:40:00,4.35,3.64,3.40
2026-01-05 23:45:00,4.35,3.47,3.33
2026-01-05 23:50:00,4.35,3.13,3.63
2026-01-05 23:55:00,4.35,3.46,3.14
2026-01-06 00:00:00,4.35,3.27,3.64
2026-01-06 00:05:00,4.35,3.33,3.36
2026-01-06 00:10:00,4.35,3.31,3.77
2026-01-06 00:15:00,4.35,3.06,3.30
2026-01-06 00:20:00,4.35,3.11,2.85
2026-01-06 00:25:00,4.35,3.32,3.25
2026-01-06 00:30:00,3.41,3.05,3.34
2026-01-06 00:35:00,2.76,2.93,3.19
2026-01-06 00:40:00,2.50,2.79,3.13
2026-01-06 00:45:00,3.03,3.02,3.35
2026-01-06 00:50:00,3.25,2.95,2.60
2026-01-06 00:55:00,3.03,2.93,2.73
2026-01-06 01:00:00,4.23,2.89,2.99
2026-01-06 01:05:00,3.05,2.78,2.96
2026-01-06 01:10:00,2.65,3.37,3.12
2026-01-06 01:15:00,2.46,2.49,3.39
2026-01-06 01:20:00,2.89,3.04,2.70
2026-01-06 01:25:00,3.01,3.10,2.78
2026-01-06 01:30:00,3.01,2.82,2.74
2026-01-06 01:35:00,2.57,2.83,3.60
2026-01-06 01:40:00,3.35,3.42,2.75
2026-01-06 01:45:00,2.77,2.72,2.98
2026-01-06 01:50:00,3.58,3.03,2.91
2026-01-06 01:55:00,2.94,2.63,2.70
2026-01-06 02:00:00,2.97,2.91,3.35
2026-01-06 02:05:00,2.71,3.00,2.86
2026-01-06 02:10:00,2.69,2.84,3.09
2026-01-06 02:15:00,2.46,2.67,3.14
2026-01-06 02:20:00,2.09,2.79,2.70
2026-01-06 02:25:00,2.28,2.89,3.14
2026-01-06 02:30:00,2.55,2.46,2.82
2026-01-06 02:35:00,3.24,2.42,2.79
2026-01-06 02:40:00,1.97,2.91,2.88
2026-01-06 02:45:00,2.93,2.53,2.86
2026-01-06 02:50:00,2.98,2.42,3.31
2026-01-06 02:55:00,2.72,2.78,2.91
2026-01-06 03:00:00,2.67,2.80,2.52
2026-01-06 03:05:00,3.08,2.51,2.90
2026-01-06 03:10:00,2.47,2.96,3.11
2026-01-06 03:15:00,2.68,2.75,2.81
2026-01-06 03:20:00,2.33,2.16,2.66
2026-01-06 03:25:00,2.53,2.25,2.84
2026-01-06 03:30:00,2.60,2.74,2.97
2026-01-06 03:35:00,2.64,2.88,2.67
2026-01-06 03:40:00,2.52,2.18,2.59
2026-01-06 03:45:00,2.40,2.07,2.22
2026-01-06 03:50:00,2.20,2.46,2.49
2026-01-06 03:55:00,2.36,2.90,2.80
2026-01-06 04:00:00,2.38,2.34,2.30
2026-01-06 04:05:00,2.65,2.64,2.65
2026-01-06 04:10:00,2.41,2.53,2.69
2026-01-06 04:15:00,2.11,2.26,2.94
2026-01-06 04:20:00,2.55,2.71,2.66
2026-01-06 04:25:00,2.53,2.24,2.46
2026-01-06 04:30:00,2.30,2.09,2.42
2026-01-06 04:35:00,2.57,2.73,2.53
2026-01-06 04:40:00,2.43,2.67,2.89
2026-01-06 04:45:00,2.19,2.15,2.25
2026-01-06 04:50:00,1.94,2.26,2.83
2026-01-06 04:55:00,1.95,2.67,2.60
2026-01-06 05:00:00,2.77,2.23,2.38
2026-01-06 05:05:00,1.94,2.08,2.91
2026-01-06 05:10:00,1.76,2.14,2.27
