"Time","sum (
  rate(hypha_bandwidth_inbound_bytes_total{service_namespace=""r600w4p2_f0_d10_20b100l1td80_200ts10_4tl300_tb100_worker7_worker10_worker3_worker4_worker5_worker8_worker9_worker6""}[4m0s])
+ rate(hypha_bandwidth_outbound_bytes_total{service_namespace=""r600w4p2_f0_d10_20b100l1td80_200ts10_4tl300_tb100_worker7_worker10_worker3_worker4_worker5_worker8_worker9_worker6""}[4m0s])
)  * 8 "
2026-01-06 19:06:00,6.83 Mb/s
2026-01-06 19:07:00,9.73 Mb/s
2026-01-06 19:08:00,12.3 Mb/s
2026-01-06 19:09:00,12.1 Mb/s
2026-01-06 19:10:00,11.9 Mb/s
2026-01-06 19:11:00,11.7 Mb/s
2026-01-06 19:12:00,11.5 Mb/s
2026-01-06 19:13:00,11.4 Mb/s
2026-01-06 19:14:00,11.4 Mb/s
2026-01-06 19:15:00,11.6 Mb/s
2026-01-06 19:16:00,11.9 Mb/s
2026-01-06 19:17:00,11.9 Mb/s
2026-01-06 19:18:00,11.7 Mb/s
2026-01-06 19:19:00,7.96 Mb/s
2026-01-06 19:20:00,4.22 Mb/s
2026-01-06 19:21:00,451 kb/s
2026-01-06 19:22:00,139 kb/s
