"Time","in:r600w4p2_f0_d10_20b100l1td80_200ts10_4tl300_tb100_worker7_worker10_worker3_worker4_worker5_worker8_worker9_worker6","out:r600w4p2_f0_d10_20b100l1td80_200ts10_4tl300_tb100_worker7_worker10_worker3_worker4_worker5_worker8_worker9_worker6","sum:r600w4p2_f0_d10_20b100l1td80_200ts10_4tl300_tb100_worker7_worker10_worker3_worker4_worker5_worker8_worker9_worker6"
2026-01-06 19:05:00,55.3 MB,41.2 MB,96.5 MB
2026-01-06 19:06:00,104 MB,88.5 MB,192 MB
2026-01-06 19:07:00,150 MB,132 MB,282 MB
2026-01-06 19:08:00,196 MB,178 MB,374 MB
2026-01-06 19:09:00,241 MB,223 MB,465 MB
2026-01-06 19:10:00,285 MB,266 MB,550 MB
2026-01-06 19:11:00,328 MB,309 MB,637 MB
2026-01-06 19:12:00,371 MB,352 MB,723 MB
2026-01-06 19:13:00,413 MB,393 MB,806 MB
2026-01-06 19:14:00,456 MB,437 MB,893 MB
2026-01-06 19:15:00,501 MB,482 MB,983 MB
2026-01-06 19:16:00,547 MB,527 MB,1.07 GB
2026-01-06 19:17:00,590 MB,570 MB,1.16 GB
2026-01-06 19:18:00,633 MB,613 MB,1.25 GB
2026-01-06 19:19:00,636 MB,616 MB,1.25 GB
2026-01-06 19:20:00,638 MB,617 MB,1.26 GB
2026-01-06 19:21:00,638 MB,618 MB,1.26 GB
2026-01-06 19:22:00,638 MB,618 MB,1.26 GB
