"Time","debug","error","info","warn"
2026-01-06 19:05:00,12.5 K,,1.52 K,
2026-01-06 19:05:30,11.6 K,,1.48 K,
2026-01-06 19:06:00,11.4 K,,1.41 K,
2026-01-06 19:06:30,11.5 K,,1.43 K,
2026-01-06 19:07:00,11.8 K,,1.48 K,
2026-01-06 19:07:30,11.7 K,,1.48 K,
2026-01-06 19:08:00,11.3 K,,1.40 K,
2026-01-06 19:08:30,12.3 K,,1.42 K,
2026-01-06 19:09:00,15.5 K,,1.37 K,
2026-01-06 19:09:30,11.4 K,,1.37 K,
2026-01-06 19:10:00,11.4 K,,1.38 K,
2026-01-06 19:10:30,11.4 K,,1.38 K,
2026-01-06 19:11:00,11.8 K,,1.45 K,
2026-01-06 19:11:30,11.3 K,,1.37 K,
2026-01-06 19:12:00,11.2 K,,1.34 K,
2026-01-06 19:12:30,11.2 K,,1.34 K,
2026-01-06 19:13:00,11.6 K,,1.47 K,
2026-01-06 19:13:30,12.2 K,,1.41 K,2
2026-01-06 19:14:00,15.0 K,,1.39 K,
2026-01-06 19:14:30,11.8 K,,1.41 K,
2026-01-06 19:15:00,12.0 K,,1.50 K,
2026-01-06 19:15:30,11.2 K,,1.38 K,
2026-01-06 19:16:00,11.7 K,,1.43 K,
2026-01-06 19:16:30,11.5 K,,1.38 K,
2026-01-06 19:17:00,11.5 K,,1.42 K,
2026-01-06 19:17:30,10.1 K,,1.23 K,
2026-01-06 19:18:00,1.67 K,12,232,
2026-01-06 19:18:30,2.32 K,12,240,
2026-01-06 19:19:00,3.90 K,12,240,2
2026-01-06 19:19:30,3.27 K,6,240,
2026-01-06 19:20:00,1.93 K,6,240,
2026-01-06 19:20:30,1.60 K,6,204,
2026-01-06 19:21:00,1.49 K,,,
2026-01-06 19:21:30,1.33 K,,,
2026-01-06 19:22:00,1.31 K,,,
