run,t_hours,rtt_ms
r600w4p2_f0_d10_20b100l1td80_200ts10_4tl300_tb100_worker7_worker10_worker3_worker4_worker5_worker8_worker9_worker6_report,0.0,265.0
r600w4p2_f0_d10_20b100l1td80_200ts10_4tl300_tb100_worker7_worker10_worker3_worker4_worker5_worker8_worker9_worker6_report,0.016666666666666666,136.0
r600w4p2_f0_d10_20b100l1td80_200ts10_4tl300_tb100_worker7_worker10_worker3_worker4_worker5_worker8_worker9_worker6_report,0.03333333333333333,75.4
r600w4p2_f0_d10_20b100l1td80_200ts10_4tl300_tb100_worker7_worker10_worker3_worker4_worker5_worker8_worker9_worker6_report,0.05,332.0
r600w4p2_f0_d10_20b100l1td80_200ts10_4tl300_tb100_worker7_worker10_worker3_worker4_worker5_worker8_worker9_worker6_report,0.06666666666666667,63.8
r600w4p2_f0_d10_20b100l1td80_200ts10_4tl300_tb100_worker7_worker10_worker3_worker4_worker5_worker8_worker9_worker6_report,0.08333333333333333,115.0
r600w4p2_f0_d10_20b100l1td80_200ts10_4tl300_tb100_worker7_worker10_worker3_worker4_worker5_worker8_worker9_worker6_report,0.1,251.0
r600w4p2_f0_d10_20b100l1td80_200ts10_4tl300_tb100_worker7_worker10_worker3_worker4_worker5_worker8_worker9_worker6_report,0.11666666666666667,154.0
r600w4p2_f0_d10_20b100l1td80_200ts10_4tl300_tb100_worker7_worker10_worker3_worker4_worker5_worker8_worker9_worker6_report,0.13333333333333333,55.9
r600w4p2_f0_d10_20b100l1td80_200ts10_4tl300_tb100_worker7_worker10_worker3_worker4_worker5_worker8_worker9_worker6_report,0.15,378.0
r600w4p2_f0_d10_20b100l1td80_200ts10_4tl300_tb100_worker7_worker10_worker3_worker4_worker5_worker8_worker9_worker6_report,0.16666666666666666,138.0
r600w4p2_f0_d10_20b100l1td80_200ts10_4tl300_tb100_worker7_worker10_worker3_worker4_worker5_worker8_worker9_worker6_report,0.18333333333333332,90.2
r600w4p2_f0_d10_20b100l1td80_200ts10_4tl300_tb100_worker7_worker10_worker3_worker4_worker5_worker8_worker9_worker6_report,0.2,369.0
r600w4p2_f0_d10_20b100l1td80_200ts10_4tl300_tb100_worker7_worker10_worker3_worker4_worker5_worker8_worker9_worker6_report,0.21666666666666667,176.0
r600w4p2_f0_d10_20b100l1td80_200ts10_4tl300_tb100_worker7_worker10_worker3_worker4_worker5_worker8_worker9_worker6_report,0.23333333333333334,104.0
r600w4p2_f0_d10_20b100l1td80_200ts10_4tl300_tb100_worker7_worker10_worker3_worker4_worker5_worker8_worker9_worker6_report,0.25,68.0
r600w4p2_f0_d10_20b100l1td80_200ts10_4tl300_tb100_worker7_worker10_worker3_worker4_worker5_worker8_worker9_worker6_report,0.26666666666666666,109.0
r600w4p2_f0_d10_20b100l1td80_200ts10_4tl300_tb100_worker7_worker10_worker3_worker4_worker5_worker8_worker9_worker6_report,0.2833333333333333,136.0
