"Time","debug","error","info","warn"
2026-01-06 21:57:00,5.04 K,,177,
2026-01-06 21:57:30,7.71 K,,465,2
2026-01-06 21:58:00,17.3 K,,2.33 K,1
2026-01-06 21:58:30,14.3 K,,1.98 K,1
2026-01-06 21:59:00,12.3 K,,1.74 K,1
2026-01-06 21:59:30,14.6 K,,1.72 K,1
2026-01-06 22:00:00,11.5 K,,1.69 K,
2026-01-06 22:00:30,9.73 K,9,1.09 K,5
2026-01-06 22:01:00,8.80 K,,191,2
2026-01-06 22:01:30,8.86 K,,408,2
2026-01-06 22:02:00,10.2 K,,1.18 K,1
2026-01-06 22:02:30,5.93 K,,182,1
2026-01-06 22:03:00,6.48 K,7,198,4
2026-01-06 22:03:30,5.58 K,,319,
2026-01-06 22:04:00,11.6 K,,1.32 K,1
2026-01-06 22:04:30,11.7 K,,913,
2026-01-06 22:05:00,11.9 K,,1.45 K,
2026-01-06 22:05:30,10.2 K,,1.10 K,
2026-01-06 22:06:00,12.8 K,,1.01 K,
2026-01-06 22:06:30,13.1 K,5,1.46 K,3
2026-01-06 22:07:00,7.10 K,21,294,11
2026-01-06 22:07:30,4.98 K,,178,
2026-01-06 22:08:00,9.40 K,15,216,17
2026-01-06 22:08:30,10.0 K,27,673,24
2026-01-06 22:09:00,13.5 K,,1.47 K,
2026-01-06 22:09:30,12.0 K,,1.26 K,
2026-01-06 22:10:00,12.6 K,,1.46 K,
2026-01-06 22:10:30,13.1 K,,1.99 K,1
2026-01-06 22:11:00,13.8 K,,1.70 K,2
2026-01-06 22:11:30,12.8 K,,1.69 K,
2026-01-06 22:12:00,12.6 K,,1.70 K,1
2026-01-06 22:12:30,10.2 K,7,597,5
2026-01-06 22:13:00,11.5 K,,967,
2026-01-06 22:13:30,8.56 K,10,1.12 K,
2026-01-06 22:14:00,2.34 K,5,247,1
2026-01-06 22:14:30,1.92 K,6,240,
2026-01-06 22:15:00,1.81 K,6,240,1
2026-01-06 22:15:30,1.81 K,3,188,
2026-01-06 22:16:00,2.15 K,2,10,
2026-01-06 22:16:30,2.87 K,,,
2026-01-06 22:17:00,2.53 K,,,
