"Time","data_points"
2026-01-07 16:22:00,1497
2026-01-07 16:23:00,1769
2026-01-07 16:24:00,2086
2026-01-07 16:25:00,2268
2026-01-07 16:26:00,3401
2026-01-07 16:27:00,3401
2026-01-07 16:28:00,3627
2026-01-07 16:29:00,3310
2026-01-07 16:30:00,3670
2026-01-07 16:31:00,3401
2026-01-07 16:32:00,3719
2026-01-07 16:33:00,3719
2026-01-07 16:34:00,3947
2026-01-07 16:35:00,3992
2026-01-07 16:36:00,3856
2026-01-07 16:37:00,4446
2026-01-07 16:38:00,5988
2026-01-07 16:39:00,6124
2026-01-07 16:40:00,4944
2026-01-07 16:41:00,5081
2026-01-07 16:42:00,5399
2026-01-07 16:43:00,5399
2026-01-07 16:44:00,4446
2026-01-07 16:45:00,4672
2026-01-07 16:46:00,4942
2026-01-07 16:47:00,4670
2026-01-07 16:48:00,5535
2026-01-07 16:49:00,5036
2026-01-07 16:50:00,5036
2026-01-07 16:51:00,5036
2026-01-07 16:52:00,5218
2026-01-07 16:53:00,5173
2026-01-07 16:54:00,4719
2026-01-07 16:55:00,4854
2026-01-07 16:56:00,4763
2026-01-07 16:57:00,4763
2026-01-07 16:58:00,5308
2026-01-07 16:59:00,4219
2026-01-07 17:00:00,4764
2026-01-07 17:01:00,4764
2026-01-07 17:02:00,5264
2026-01-07 17:03:00,5264
2026-01-07 17:04:00,5174
2026-01-07 17:05:00,5355
2026-01-07 17:06:00,5172
2026-01-07 17:07:00,4628
2026-01-07 17:08:00,4899
2026-01-07 17:09:00,4990
2026-01-07 17:10:00,4899
2026-01-07 17:11:00,4809
2026-01-07 17:12:00,5398
2026-01-07 17:13:00,5398
2026-01-07 17:14:00,5172
2026-01-07 17:15:00,5354
2026-01-07 17:16:00,5173
2026-01-07 17:17:00,5173
2026-01-07 17:18:00,5488
2026-01-07 17:19:00,5624
2026-01-07 17:20:00,5489
2026-01-07 17:21:00,5535
2026-01-07 17:22:00,5444
2026-01-07 17:23:00,5444
2026-01-07 17:24:00,5533
2026-01-07 17:25:00,5615
2026-01-07 17:26:00,5029
2026-01-07 17:27:00,5029
2026-01-07 17:28:00,5258
2026-01-07 17:29:00,6027
2026-01-07 17:30:00,4804
2026-01-07 17:31:00,5395
2026-01-07 17:32:00,4986
2026-01-07 17:33:00,5440
2026-01-07 17:34:00,4940
2026-01-07 17:35:00,5483
2026-01-07 17:36:00,4939
2026-01-07 17:37:00,5528
2026-01-07 17:38:00,5075
2026-01-07 17:39:00,5165
2026-01-07 17:40:00,5392
2026-01-07 17:41:00,5392
2026-01-07 17:42:00,5713
2026-01-07 17:43:00,5804
2026-01-07 17:44:00,5804
2026-01-07 17:45:00,5804
2026-01-07 17:46:00,5804
2026-01-07 17:47:00,5804
2026-01-07 17:59:00,5804
2026-01-07 18:00:00,5804
2026-01-07 18:01:00,5804
2026-01-07 18:02:00,5804
2026-01-07 18:03:00,5804
2026-01-07 18:04:00,5804
2026-01-07 18:05:00,5804
2026-01-07 18:17:00,5804
2026-01-07 18:18:00,5804
2026-01-07 18:19:00,5804
2026-01-07 18:20:00,5804
2026-01-07 18:21:00,5804
2026-01-07 18:22:00,5804
2026-01-07 18:23:00,5804
2026-01-07 18:24:00,5804
2026-01-07 18:25:00,5804
2026-01-07 18:26:00,5804
2026-01-07 18:27:00,5804
2026-01-07 18:28:00,5804
2026-01-07 18:29:00,5804
2026-01-07 18:30:00,5804
2026-01-07 18:31:00,5804
2026-01-07 18:32:00,5804
2026-01-07 18:33:00,5804
2026-01-07 18:34:00,5804
2026-01-07 18:35:00,5804
2026-01-07 18:36:00,5804
2026-01-07 18:37:00,5804
2026-01-07 18:38:00,5804
2026-01-07 18:39:00,5804
2026-01-07 18:40:00,5804
2026-01-07 18:41:00,5804
2026-01-07 18:42:00,5804
2026-01-07 18:43:00,5804
2026-01-07 18:44:00,5804
2026-01-07 18:45:00,5804
2026-01-07 18:46:00,5804
2026-01-07 18:47:00,5804
2026-01-07 18:48:00,5804
2026-01-07 18:50:00,5804
2026-01-07 18:51:00,5804
2026-01-07 18:52:00,5804
2026-01-07 18:53:00,5804
2026-01-07 18:54:00,5804
2026-01-07 18:55:00,5804
2026-01-07 18:56:00,5804
2026-01-07 18:57:00,5804
2026-01-07 18:58:00,5804
2026-01-07 18:59:00,5804
2026-01-07 19:00:00,5804
2026-01-07 19:01:00,5804
