"Time","12D3KooWCJ7nntLmkWTjqRtAff3id5jfguqBzK9hKFGP23FRqutr","12D3KooWCrsm9LonCnLLWQwoM2eMWMqneuwMXTUtcmyxPLmYhp6Y","12D3KooWEtNTTuDa9bYLyYqcmd89tdraDxRGZVz6GRY5Zci7uuzy","12D3KooWH1CW6qBF4wSa92YKye2Y4xScXgF4opg4mx5JtGYBApsB","12D3KooWHW7wgTu87J3MA6ntu6h5rSgUDsa35Jmo12DTXpwQ6Ric","12D3KooWMALzU4wuci6PUJ9MGbFWDWUTBHeKLWekFLRMYGhwswi8"
2026-01-07 17:41:00,0.300,0.651,0.448,1.68,0.548,1.08
2026-01-07 17:42:00,0.300,0.371,0.442,1.68,0.479,0.308
2026-01-07 17:43:00,0.300,0.914,0.746,1.68,0.738,0.763
2026-01-07 17:44:00,0.300,0.914,0.746,1.68,0.738,0.763
2026-01-07 17:45:00,0.300,0.914,0.746,1.68,0.738,0.763
2026-01-07 17:46:00,0.300,0.914,0.746,1.68,0.738,0.763
2026-01-07 17:47:00,0.300,0.914,0.746,1.68,0.738,0.763
2026-01-07 17:59:00,0.300,0.914,0.746,1.68,0.738,0.763
2026-01-07 18:00:00,0.300,0.914,0.746,1.68,0.738,0.763
2026-01-07 18:01:00,0.300,0.914,0.746,1.68,0.738,0.763
2026-01-07 18:02:00,0.300,0.914,0.746,1.68,0.738,0.763
2026-01-07 18:03:00,0.300,0.914,0.746,1.68,0.738,0.763
2026-01-07 18:04:00,0.300,0.914,0.746,1.68,0.738,0.763
2026-01-07 18:05:00,0.300,0.914,0.746,1.68,0.738,0.763
2026-01-07 18:17:00,0.300,0.914,0.746,1.68,0.738,0.763
2026-01-07 18:18:00,0.300,0.914,0.746,1.68,0.738,0.763
2026-01-07 18:19:00,0.300,0.914,0.746,1.68,0.738,0.763
2026-01-07 18:20:00,0.300,0.914,0.746,1.68,0.738,0.763
2026-01-07 18:21:00,0.300,0.914,0.746,1.68,0.738,0.763
2026-01-07 18:22:00,0.300,0.914,0.746,1.68,0.738,0.763
2026-01-07 18:23:00,0.300,0.914,0.746,1.68,0.738,0.763
2026-01-07 18:24:00,0.300,0.914,0.746,1.68,0.738,0.763
2026-01-07 18:25:00,0.300,0.914,0.746,1.68,0.738,0.763
2026-01-07 18:26:00,0.300,0.914,0.746,1.68,0.738,0.763
2026-01-07 18:27:00,0.300,0.914,0.746,1.68,0.738,0.763
2026-01-07 18:28:00,0.300,0.914,0.746,1.68,0.738,0.763
2026-01-07 18:29:00,0.300,0.914,0.746,1.68,0.738,0.763
2026-01-07 18:30:00,0.300,0.914,0.746,1.68,0.738,0.763
