"Time","in:r600w4p2_f3_d10_20b300l1td40_100ts10_4tl100_tb200_worker9","out:r600w4p2_f3_d10_20b300l1td40_100ts10_4tl100_tb200_worker9","sum:r600w4p2_f3_d10_20b300l1td40_100ts10_4tl100_tb200_worker9"
2026-01-07 16:22:00,54.0 MB,40.0 MB,94.0 MB
2026-01-07 16:23:00,60.7 MB,46.9 MB,108 MB
2026-01-07 16:24:00,58.7 MB,46.7 MB,105 MB
2026-01-07 16:25:00,71.9 MB,58.6 MB,130 MB
2026-01-07 16:26:00,44.6 MB,35.2 MB,79.8 MB
2026-01-07 16:27:00,47.5 MB,37.0 MB,84.5 MB
2026-01-07 16:28:00,32.1 MB,21.7 MB,53.8 MB
2026-01-07 16:29:00,33.3 MB,23.0 MB,56.3 MB
2026-01-07 16:30:00,20.9 MB,13.7 MB,34.6 MB
2026-01-07 16:31:00,34.2 MB,23.4 MB,57.6 MB
2026-01-07 16:32:00,64.4 MB,46.3 MB,111 MB
2026-01-07 16:33:00,67.7 MB,50.5 MB,118 MB
2026-01-07 16:34:00,63.8 MB,50.0 MB,114 MB
2026-01-07 16:35:00,55.3 MB,42.7 MB,98.0 MB
2026-01-07 16:36:00,41.1 MB,28.3 MB,69.4 MB
2026-01-07 16:37:00,50.8 MB,37.3 MB,88.1 MB
2026-01-07 16:38:00,55.0 MB,41.3 MB,96.4 MB
2026-01-07 16:39:00,47.2 MB,33.2 MB,80.4 MB
2026-01-07 16:40:00,88.7 MB,70.1 MB,159 MB
2026-01-07 16:41:00,110 MB,91.1 MB,201 MB
2026-01-07 16:42:00,106 MB,88.9 MB,194 MB
2026-01-07 16:43:00,97.7 MB,83.3 MB,181 MB
2026-01-07 16:44:00,120 MB,102 MB,221 MB
2026-01-07 16:45:00,130 MB,111 MB,241 MB
2026-01-07 16:46:00,103 MB,90.9 MB,194 MB
2026-01-07 16:47:00,76.0 MB,68.5 MB,145 MB
2026-01-07 16:48:00,78.1 MB,70.5 MB,149 MB
2026-01-07 16:49:00,84.0 MB,74.5 MB,159 MB
2026-01-07 16:50:00,88.5 MB,77.6 MB,166 MB
2026-01-07 16:51:00,80.0 MB,73.8 MB,154 MB
2026-01-07 16:52:00,74.4 MB,68.4 MB,143 MB
2026-01-07 16:53:00,76.0 MB,69.7 MB,146 MB
2026-01-07 16:54:00,107 MB,93.4 MB,200 MB
2026-01-07 16:55:00,133 MB,118 MB,251 MB
2026-01-07 16:56:00,135 MB,124 MB,259 MB
2026-01-07 16:57:00,126 MB,118 MB,244 MB
2026-01-07 16:58:00,127 MB,118 MB,245 MB
2026-01-07 16:59:00,153 MB,141 MB,294 MB
2026-01-07 17:00:00,162 MB,147 MB,309 MB
2026-01-07 17:01:00,147 MB,136 MB,283 MB
2026-01-07 17:02:00,50.9 MB,39.4 MB,90.2 MB
2026-01-07 17:03:00,34.9 MB,29.4 MB,64.3 MB
2026-01-07 17:04:00,35.1 MB,29.1 MB,64.2 MB
2026-01-07 17:05:00,35.3 MB,30.6 MB,65.9 MB
2026-01-07 17:06:00,45.5 MB,37.8 MB,83.2 MB
2026-01-07 17:07:00,51.8 MB,43.3 MB,95.1 MB
2026-01-07 17:08:00,66.8 MB,54.7 MB,122 MB
2026-01-07 17:09:00,72.1 MB,59.1 MB,131 MB
2026-01-07 17:10:00,77.7 MB,65.0 MB,143 MB
2026-01-07 17:11:00,84.2 MB,72.1 MB,156 MB
2026-01-07 17:12:00,82.2 MB,70.8 MB,153 MB
2026-01-07 17:13:00,57.0 MB,52.4 MB,109 MB
2026-01-07 17:14:00,61.7 MB,55.1 MB,117 MB
2026-01-07 17:15:00,78.3 MB,68.9 MB,147 MB
2026-01-07 17:16:00,48.6 MB,39.1 MB,87.7 MB
2026-01-07 17:17:00,32.7 MB,27.3 MB,60.1 MB
2026-01-07 17:18:00,28.2 MB,25.5 MB,53.6 MB
2026-01-07 17:19:00,29.6 MB,26.8 MB,56.4 MB
2026-01-07 17:20:00,27.2 MB,23.8 MB,50.9 MB
2026-01-07 17:21:00,51.5 MB,39.5 MB,91.0 MB
2026-01-07 17:22:00,69.3 MB,56.0 MB,125 MB
2026-01-07 17:23:00,61.0 MB,53.7 MB,115 MB
2026-01-07 17:24:00,62.2 MB,54.6 MB,117 MB
2026-01-07 17:25:00,50.2 MB,46.3 MB,96.5 MB
2026-01-07 17:26:00,33.6 MB,29.5 MB,63.2 MB
2026-01-07 17:27:00,35.2 MB,31.0 MB,66.3 MB
2026-01-07 17:28:00,35.3 MB,32.2 MB,67.5 MB
2026-01-07 17:29:00,39.8 MB,34.1 MB,73.9 MB
2026-01-07 17:30:00,45.8 MB,38.1 MB,83.8 MB
2026-01-07 17:31:00,71.6 MB,57.0 MB,129 MB
2026-01-07 17:32:00,83.3 MB,68.8 MB,152 MB
2026-01-07 17:33:00,75.3 MB,64.8 MB,140 MB
2026-01-07 17:34:00,84.4 MB,70.5 MB,155 MB
2026-01-07 17:35:00,92.1 MB,78.2 MB,170 MB
2026-01-07 17:36:00,72.7 MB,66.3 MB,139 MB
2026-01-07 17:37:00,98.1 MB,84.4 MB,183 MB
2026-01-07 17:38:00,118 MB,101 MB,219 MB
2026-01-07 17:39:00,127 MB,110 MB,237 MB
2026-01-07 17:40:00,123 MB,109 MB,232 MB
2026-01-07 17:41:00,113 MB,104 MB,217 MB
2026-01-07 17:42:00,121 MB,111 MB,232 MB
2026-01-07 17:43:00,91.0 MB,80.5 MB,172 MB
2026-01-07 17:44:00,91.1 MB,80.5 MB,172 MB
2026-01-07 17:45:00,90.7 MB,80.3 MB,171 MB
2026-01-07 17:46:00,90.7 MB,80.3 MB,171 MB
2026-01-07 17:47:00,90.7 MB,80.3 MB,171 MB
2026-01-07 17:48:00,610 kB,584 kB,1.19 MB
2026-01-07 17:59:00,55.3 MB,52.1 MB,107 MB
2026-01-07 18:00:00,81.7 MB,68.6 MB,150 MB
2026-01-07 18:01:00,81.8 MB,68.8 MB,151 MB
2026-01-07 18:02:00,81.8 MB,68.8 MB,151 MB
2026-01-07 18:03:00,81.8 MB,68.8 MB,151 MB
2026-01-07 18:04:00,81.8 MB,68.8 MB,151 MB
2026-01-07 18:05:00,55.2 MB,52.3 MB,107 MB
2026-01-07 18:16:00,37.9 MB,28.6 MB,66.4 MB
2026-01-07 18:17:00,85.6 MB,69.3 MB,155 MB
2026-01-07 18:18:00,64.9 MB,47.6 MB,113 MB
2026-01-07 18:19:00,66.2 MB,47.8 MB,114 MB
2026-01-07 18:20:00,65.6 MB,48.4 MB,114 MB
2026-01-07 18:21:00,64.3 MB,48.5 MB,113 MB
2026-01-07 18:22:00,63.7 MB,48.8 MB,113 MB
2026-01-07 18:23:00,65.3 MB,49.6 MB,115 MB
2026-01-07 18:24:00,46.7 MB,38.6 MB,85.3 MB
2026-01-07 18:25:00,48.1 MB,39.5 MB,87.6 MB
2026-01-07 18:26:00,39.5 MB,34.5 MB,74.0 MB
2026-01-07 18:27:00,38.6 MB,34.7 MB,73.2 MB
2026-01-07 18:28:00,39.2 MB,35.3 MB,74.4 MB
2026-01-07 18:29:00,39.5 MB,35.6 MB,75.1 MB
2026-01-07 18:30:00,40.2 MB,36.3 MB,76.5 MB
2026-01-07 18:31:00,40.6 MB,37.0 MB,77.6 MB
2026-01-07 18:32:00,40.9 MB,37.6 MB,78.4 MB
2026-01-07 18:33:00,43.5 MB,38.3 MB,81.8 MB
2026-01-07 18:34:00,41.8 MB,37.8 MB,79.7 MB
2026-01-07 18:35:00,43.1 MB,38.2 MB,81.3 MB
2026-01-07 18:36:00,43.3 MB,39.1 MB,82.4 MB
2026-01-07 18:37:00,31.3 MB,34.1 MB,65.4 MB
2026-01-07 18:38:00,29.4 MB,32.1 MB,61.5 MB
2026-01-07 18:39:00,29.7 MB,32.4 MB,62.1 MB
2026-01-07 18:40:00,29.5 MB,32.4 MB,61.9 MB
2026-01-07 18:41:00,30.6 MB,33.1 MB,63.7 MB
2026-01-07 18:42:00,28.9 MB,33.1 MB,62.0 MB
2026-01-07 18:43:00,30.4 MB,34.0 MB,64.4 MB
2026-01-07 18:44:00,31.5 MB,34.5 MB,66.1 MB
2026-01-07 18:45:00,31.6 MB,34.6 MB,66.3 MB
2026-01-07 18:46:00,31.6 MB,34.6 MB,66.3 MB
2026-01-07 18:47:00,31.6 MB,34.6 MB,66.2 MB
2026-01-07 18:48:00,31.6 MB,34.6 MB,66.2 MB
2026-01-07 18:49:00,2.65 MB,521 kB,3.17 MB
2026-01-07 18:50:00,31.3 MB,34.6 MB,65.9 MB
2026-01-07 18:51:00,35.2 MB,35.4 MB,70.6 MB
2026-01-07 18:52:00,34.3 MB,36.1 MB,70.4 MB
2026-01-07 18:53:00,34.0 MB,36.7 MB,70.7 MB
2026-01-07 18:54:00,34.3 MB,37.4 MB,71.7 MB
2026-01-07 18:55:00,33.7 MB,37.9 MB,71.6 MB
2026-01-07 18:56:00,34.0 MB,38.2 MB,72.2 MB
2026-01-07 18:57:00,33.8 MB,38.4 MB,72.1 MB
2026-01-07 18:58:00,35.3 MB,39.4 MB,74.8 MB
2026-01-07 18:59:00,35.3 MB,39.4 MB,74.8 MB
2026-01-07 19:00:00,35.3 MB,39.4 MB,74.8 MB
2026-01-07 19:01:00,35.3 MB,39.4 MB,74.8 MB
