"Time","Weighted Average","Average"
2026-01-07 16:22:00,2.45,2.13
2026-01-07 16:23:00,1.50,2.10
2026-01-07 16:24:00,1.53,1.87
2026-01-07 16:25:00,1.43,1.81
2026-01-07 16:26:00,1.01,1.36
2026-01-07 16:27:00,1.01,1.36
2026-01-07 16:28:00,1.17,1.36
2026-01-07 16:29:00,1.14,1.36
2026-01-07 16:30:00,1.60,1.50
2026-01-07 16:31:00,1.71,1.50
2026-01-07 16:32:00,1.20,1.08
2026-01-07 16:33:00,1.20,1.08
2026-01-07 16:34:00,1.12,1.05
2026-01-07 16:35:00,1.11,1.05
2026-01-07 16:36:00,1.17,1.07
2026-01-07 16:37:00,0.976,1.06
2026-01-07 16:38:00,0.745,0.994
2026-01-07 16:39:00,0.729,0.994
2026-01-07 16:40:00,0.670,1.12
2026-01-07 16:41:00,0.543,0.895
2026-01-07 16:42:00,0.533,0.797
2026-01-07 16:43:00,0.533,0.797
2026-01-07 16:44:00,0.525,0.728
2026-01-07 16:45:00,0.518,0.737
2026-01-07 16:46:00,0.590,0.758
2026-01-07 16:47:00,0.540,0.758
2026-01-07 16:48:00,1.06,0.979
2026-01-07 16:49:00,0.744,1.28
2026-01-07 16:50:00,0.757,1.32
2026-01-07 16:51:00,0.757,1.32
2026-01-07 16:52:00,1.21,1.32
2026-01-07 16:53:00,1.35,1.61
2026-01-07 16:54:00,0.754,1.84
2026-01-07 16:55:00,0.426,1.05
2026-01-07 16:56:00,0.407,0.949
2026-01-07 16:57:00,0.407,0.949
2026-01-07 16:58:00,0.476,0.798
2026-01-07 16:59:00,0.592,1.09
2026-01-07 17:00:00,0.476,1.07
2026-01-07 17:01:00,0.476,1.07
2026-01-07 17:02:00,0.752,1.07
2026-01-07 17:03:00,0.752,1.07
2026-01-07 17:04:00,0.814,1.00
2026-01-07 17:05:00,0.865,1.21
2026-01-07 17:06:00,1.03,1.48
2026-01-07 17:07:00,1.05,1.51
2026-01-07 17:08:00,1.05,1.47
2026-01-07 17:09:00,0.905,1.48
2026-01-07 17:10:00,1.04,1.47
2026-01-07 17:11:00,1.01,1.46
2026-01-07 17:12:00,0.707,1.40
2026-01-07 17:13:00,0.707,1.40
2026-01-07 17:14:00,0.692,1.37
2026-01-07 17:15:00,0.306,0.717
2026-01-07 17:16:00,0.311,0.708
2026-01-07 17:17:00,0.311,0.708
2026-01-07 17:18:00,0.379,0.625
2026-01-07 17:19:00,0.265,0.625
2026-01-07 17:20:00,0.351,0.954
2026-01-07 17:21:00,0.304,0.869
2026-01-07 17:22:00,0.307,0.964
2026-01-07 17:23:00,0.307,0.964
2026-01-07 17:24:00,0.376,0.942
2026-01-07 17:25:00,0.450,0.913
2026-01-07 17:26:00,0.328,1.12
2026-01-07 17:27:00,0.328,1.12
2026-01-07 17:28:00,0.314,1.12
2026-01-07 17:29:00,0.292,1.00
2026-01-07 17:30:00,0.331,1.03
2026-01-07 17:31:00,0.495,1.04
2026-01-07 17:32:00,0.531,1.01
2026-01-07 17:33:00,0.486,1.01
2026-01-07 17:34:00,0.0358,0.838
2026-01-07 17:35:00,0.397,0.872
2026-01-07 17:36:00,0.459,1.44
2026-01-07 17:37:00,0.306,0.877
2026-01-07 17:38:00,0.210,0.719
2026-01-07 17:39:00,0.194,0.796
2026-01-07 17:40:00,0.178,0.783
2026-01-07 17:41:00,0.178,0.783
2026-01-07 17:42:00,0.115,0.596
2026-01-07 17:43:00,0.243,0.857
