"Time","sum:","sum:r600w4p2_f3_d10_20b300l1td40_100ts10_4tl100_tb200_worker9/gateway","sum:r600w4p2_f3_d10_20b300l1td40_100ts10_4tl100_tb200_worker9/worker1","sum:r600w4p2_f3_d10_20b300l1td40_100ts10_4tl100_tb200_worker9/worker10","sum:r600w4p2_f3_d10_20b300l1td40_100ts10_4tl100_tb200_worker9/worker2","sum:r600w4p2_f3_d10_20b300l1td40_100ts10_4tl100_tb200_worker9/worker3","sum:r600w4p2_f3_d10_20b300l1td40_100ts10_4tl100_tb200_worker9/worker4","sum:r600w4p2_f3_d10_20b300l1td40_100ts10_4tl100_tb200_worker9/worker5","sum:r600w4p2_f3_d10_20b300l1td40_100ts10_4tl100_tb200_worker9/worker6","sum:r600w4p2_f3_d10_20b300l1td40_100ts10_4tl100_tb200_worker9/worker7","sum:r600w4p2_f3_d10_20b300l1td40_100ts10_4tl100_tb200_worker9/worker8","sum:r600w4p2_f3_d10_20b300l1td40_100ts10_4tl100_tb200_worker9/worker9"
2026-01-07 16:22:00,766 kB,775 kB,435 kB,623 kB,582 kB,673 kB,35.8 MB,688 kB,11.2 MB,14.2 MB,13.3 MB,14.9 MB
2026-01-07 16:23:00,1.32 MB,818 kB,475 kB,663 kB,655 kB,714 kB,42.8 MB,728 kB,13.1 MB,14.2 MB,15.2 MB,16.8 MB
2026-01-07 16:24:00,1.55 MB,824 kB,488 kB,677 kB,702 kB,729 kB,47.7 MB,2.83 MB,14.3 MB,417 kB,17.0 MB,18.1 MB
2026-01-07 16:25:00,1.78 MB,849 kB,509 kB,685 kB,757 kB,750 kB,59.2 MB,5.90 MB,17.4 MB,434 kB,21.2 MB,21.1 MB
2026-01-07 16:26:00,2.17 MB,912 kB,576 kB,284 kB,14.5 MB,822 kB,602 kB,9.14 MB,20.9 MB,4.96 MB,24.7 MB,296 kB
2026-01-07 16:27:00,2.48 MB,1.22 MB,318 kB,408 kB,14.5 MB,1.12 MB,715 kB,9.68 MB,21.4 MB,6.83 MB,25.4 MB,395 kB
2026-01-07 16:28:00,2.70 MB,1.30 MB,369 kB,471 kB,286 kB,1.24 MB,1.75 MB,10.1 MB,1.28 MB,7.57 MB,26.5 MB,283 kB
2026-01-07 16:29:00,3.16 MB,1.35 MB,406 kB,522 kB,341 kB,1.30 MB,2.34 MB,10.4 MB,1.67 MB,8.02 MB,26.5 MB,335 kB
2026-01-07 16:30:00,3.43 MB,1.44 MB,211 kB,2.51 MB,424 kB,486 kB,3.33 MB,10.9 MB,2.44 MB,8.56 MB,473 kB,441 kB
2026-01-07 16:31:00,3.77 MB,1.47 MB,240 kB,7.81 MB,517 kB,503 kB,10.6 MB,14.7 MB,6.45 MB,10.7 MB,438 kB,460 kB
2026-01-07 16:32:00,4.41 MB,1.74 MB,190 kB,16.6 MB,625 kB,578 kB,32.7 MB,20.7 MB,14.7 MB,17.4 MB,514 kB,534 kB
2026-01-07 16:33:00,5.03 MB,1.84 MB,275 kB,17.0 MB,768 kB,665 kB,37.4 MB,20.9 MB,14.7 MB,18.4 MB,533 kB,726 kB
2026-01-07 16:34:00,5.33 MB,1.84 MB,293 kB,18.5 MB,882 kB,674 kB,40.6 MB,22.3 MB,2.11 MB,20.1 MB,451 kB,737 kB
2026-01-07 16:35:00,5.81 MB,1.94 MB,398 kB,18.8 MB,959 kB,958 kB,43.2 MB,1.18 MB,2.85 MB,20.6 MB,496 kB,835 kB
2026-01-07 16:36:00,6.28 MB,1.99 MB,520 kB,22.0 MB,5.38 MB,963 kB,346 kB,4.34 MB,4.15 MB,22.0 MB,560 kB,915 kB
2026-01-07 16:37:00,6.97 MB,2.24 MB,631 kB,23.1 MB,16.1 MB,461 kB,418 kB,5.44 MB,6.95 MB,24.2 MB,645 kB,931 kB
2026-01-07 16:38:00,7.26 MB,2.31 MB,3.53 MB,24.9 MB,16.1 MB,508 kB,456 kB,6.14 MB,8.18 MB,25.2 MB,686 kB,1.08 MB
2026-01-07 16:39:00,7.80 MB,2.42 MB,6.10 MB,25.3 MB,482 kB,617 kB,382 kB,464 kB,9.09 MB,26.5 MB,976 kB,314 kB
2026-01-07 16:40:00,8.29 MB,2.46 MB,51.5 MB,36.2 MB,552 kB,635 kB,404 kB,397 kB,14.3 MB,33.5 MB,10.2 MB,357 kB
