"Time","sum:","sum:r600w4p2_f1_d10_20b300l1td40_100ts10_4tl200_tb200_worker3_worker1_worker4_worker5_worker9_worker6_worker8_worker7/gateway","sum:r600w4p2_f1_d10_20b300l1td40_100ts10_4tl200_tb200_worker3_worker1_worker4_worker5_worker9_worker6_worker8_worker7/worker1","sum:r600w4p2_f1_d10_20b300l1td40_100ts10_4tl200_tb200_worker3_worker1_worker4_worker5_worker9_worker6_worker8_worker7/worker10","sum:r600w4p2_f1_d10_20b300l1td40_100ts10_4tl200_tb200_worker3_worker1_worker4_worker5_worker9_worker6_worker8_worker7/worker2","sum:r600w4p2_f1_d10_20b300l1td40_100ts10_4tl200_tb200_worker3_worker1_worker4_worker5_worker9_worker6_worker8_worker7/worker3","sum:r600w4p2_f1_d10_20b300l1td40_100ts10_4tl200_tb200_worker3_worker1_worker4_worker5_worker9_worker6_worker8_worker7/worker4","sum:r600w4p2_f1_d10_20b300l1td40_100ts10_4tl200_tb200_worker3_worker1_worker4_worker5_worker9_worker6_worker8_worker7/worker5","sum:r600w4p2_f1_d10_20b300l1td40_100ts10_4tl200_tb200_worker3_worker1_worker4_worker5_worker9_worker6_worker8_worker7/worker6","sum:r600w4p2_f1_d10_20b300l1td40_100ts10_4tl200_tb200_worker3_worker1_worker4_worker5_worker9_worker6_worker8_worker7/worker7","sum:r600w4p2_f1_d10_20b300l1td40_100ts10_4tl200_tb200_worker3_worker1_worker4_worker5_worker9_worker6_worker8_worker7/worker8","sum:r600w4p2_f1_d10_20b300l1td40_100ts10_4tl200_tb200_worker3_worker1_worker4_worker5_worker9_worker6_worker8_worker7/worker9"
2026-01-06 23:54:00,,,,,,,,,,,,5.82 MB
2026-01-06 23:55:00,956 kB,1.03 MB,289 kB,6.28 MB,779 kB,10.0 MB,941 kB,4.40 MB,788 kB,1.10 MB,6.05 MB,5.82 MB
2026-01-06 23:56:00,1.49 MB,1.04 MB,295 kB,6.44 MB,818 kB,10.1 MB,948 kB,4.56 MB,794 kB,1.11 MB,6.22 MB,245 kB
2026-01-06 23:57:00,1.96 MB,1.05 MB,312 kB,18.6 MB,866 kB,46.9 MB,964 kB,14.2 MB,809 kB,1.13 MB,24.1 MB,12.2 MB
2026-01-06 23:58:00,2.34 MB,1.06 MB,320 kB,25.9 MB,909 kB,75.4 MB,974 kB,21.4 MB,822 kB,1.14 MB,24.1 MB,22.0 MB
2026-01-06 23:59:00,2.83 MB,1.09 MB,367 kB,35.5 MB,988 kB,114 MB,1.02 MB,31.1 MB,866 kB,1.19 MB,17.8 MB,29.9 MB
2026-01-07 00:00:00,3.35 MB,1.48 MB,606 kB,39.6 MB,1.29 MB,129 MB,1.34 MB,35.2 MB,1.14 MB,1.56 MB,425 kB,36.3 MB
2026-01-07 00:01:00,3.83 MB,1.50 MB,634 kB,50.9 MB,1.35 MB,167 MB,1.37 MB,45.9 MB,190 kB,14.0 MB,462 kB,44.9 MB
2026-01-07 00:02:00,4.34 MB,1.52 MB,657 kB,62.0 MB,1.41 MB,211 MB,1.40 MB,56.9 MB,192 kB,25.0 MB,471 kB,56.3 MB
2026-01-07 00:03:00,4.84 MB,1.53 MB,663 kB,73.6 MB,1.45 MB,256 MB,1.40 MB,68.2 MB,199 kB,36.6 MB,478 kB,67.3 MB
2026-01-07 00:04:00,5.34 MB,1.54 MB,670 kB,85.2 MB,1.49 MB,300 MB,1.42 MB,79.8 MB,327 kB,48.2 MB,607 kB,79.3 MB
2026-01-07 00:05:00,6.06 MB,1.89 MB,888 kB,95.8 MB,1.76 MB,342 MB,1.71 MB,90.6 MB,358 kB,59.2 MB,828 kB,89.9 MB
2026-01-07 00:06:00,6.54 MB,1.89 MB,898 kB,107 MB,1.80 MB,385 MB,1.72 MB,101 MB,365 kB,70.0 MB,842 kB,101 MB
2026-01-07 00:07:00,7.06 MB,1.91 MB,917 kB,118 MB,1.85 MB,430 MB,1.74 MB,113 MB,465 kB,81.3 MB,848 kB,112 MB
2026-01-07 00:08:00,7.52 MB,1.91 MB,926 kB,129 MB,1.89 MB,472 MB,1.74 MB,123 MB,499 kB,91.9 MB,8.36 MB,125 MB
2026-01-07 00:09:00,7.95 MB,1.94 MB,963 kB,138 MB,1.96 MB,502 MB,1.78 MB,131 MB,627 kB,101 MB,20.3 MB,295 kB
2026-01-07 00:10:00,8.66 MB,2.29 MB,1.18 MB,149 MB,2.23 MB,544 MB,2.07 MB,142 MB,651 kB,113 MB,30.7 MB,398 kB
2026-01-07 00:11:00,9.16 MB,2.30 MB,1.18 MB,159 MB,2.27 MB,585 MB,2.09 MB,153 MB,672 kB,123 MB,39.0 MB,418 kB
2026-01-07 00:12:00,9.16 MB,2.32 MB,143 kB,164 MB,2.31 MB,603 MB,2.11 MB,157 MB,760 kB,128 MB,39.0 MB,433 kB
2026-01-07 00:13:00,9.16 MB,2.33 MB,151 kB,164 MB,2.31 MB,603 MB,2.11 MB,157 MB,776 kB,128 MB,39.1 MB,440 kB
2026-01-07 00:14:00,9.16 MB,2.34 MB,167 kB,164 MB,2.34 MB,603 MB,2.13 MB,157 MB,837 kB,128 MB,39.1 MB,566 kB
2026-01-07 00:15:00,9.16 MB,2.60 MB,256 kB,164 MB,2.51 MB,1.85 MB,2.35 MB,158 MB,914 kB,128 MB,598 kB,667 kB
