"Time","Weighted Average","Average"
2026-01-06 17:15:00,0.642,0.776
2026-01-06 17:16:00,0.717,0.729
2026-01-06 17:17:00,0.586,0.562
2026-01-06 17:18:00,0.326,0.392
2026-01-06 17:19:00,0.325,0.339
2026-01-06 17:20:00,0.325,0.339
2026-01-06 17:21:00,0.325,0.339
2026-01-06 17:22:00,0.325,0.339
2026-01-06 17:23:00,0.325,0.339
2026-01-06 17:24:00,0.325,0.339
2026-01-06 17:25:00,0.325,0.339
2026-01-06 17:26:00,0.325,0.339
