"Time","dd773b29-c21b-485f-a642-7fcd1989bdc9"
2026-01-06 17:15:00,721 ms
2026-01-06 17:16:00,782 ms
2026-01-06 17:17:00,599 ms
2026-01-06 17:18:00,688 ms
2026-01-06 17:19:00,10.9 s
2026-01-06 17:20:00,10.9 s
2026-01-06 17:21:00,10.9 s
2026-01-06 17:22:00,10.9 s
2026-01-06 17:23:00,10.9 s
2026-01-06 17:24:00,10.9 s
2026-01-06 17:25:00,10.9 s
2026-01-06 17:26:00,10.9 s
