"Time","in:ppo_d964df25","out:ppo_d964df25","sum:ppo_d964df25"
2026-01-08 15:31:00,26.8 MB,25.5 MB,52.3 MB
2026-01-08 15:32:00,27.9 MB,26.7 MB,54.6 MB
2026-01-08 15:33:00,29.1 MB,27.8 MB,56.9 MB
2026-01-08 15:34:00,30.2 MB,29.0 MB,59.2 MB
2026-01-08 15:35:00,31.4 MB,30.1 MB,61.5 MB
2026-01-08 15:36:00,32.6 MB,31.3 MB,63.9 MB
2026-01-08 15:37:00,33.7 MB,32.5 MB,66.2 MB
2026-01-08 15:38:00,34.9 MB,33.6 MB,68.5 MB
2026-01-08 15:39:00,36.0 MB,34.8 MB,70.8 MB
2026-01-08 15:40:00,37.2 MB,35.9 MB,73.1 MB
2026-01-08 15:41:00,38.3 MB,37.1 MB,75.4 MB
2026-01-08 15:42:00,39.5 MB,38.3 MB,77.7 MB
2026-01-08 15:43:00,40.6 MB,39.4 MB,80.0 MB
2026-01-08 15:44:00,41.8 MB,40.5 MB,82.3 MB
2026-01-08 15:45:00,42.9 MB,41.7 MB,84.6 MB
2026-01-08 15:46:00,44.1 MB,42.9 MB,87.0 MB
2026-01-08 15:47:00,45.2 MB,44.0 MB,89.2 MB
2026-01-08 15:48:00,46.4 MB,45.1 MB,91.5 MB
2026-01-08 15:49:00,47.5 MB,46.3 MB,93.8 MB
2026-01-08 15:50:00,48.7 MB,47.4 MB,96.1 MB
2026-01-08 15:51:00,49.8 MB,48.6 MB,98.4 MB
2026-01-08 15:52:00,51.0 MB,49.7 MB,101 MB
2026-01-08 15:53:00,52.1 MB,50.9 MB,103 MB
2026-01-08 15:54:00,53.3 MB,52.0 MB,105 MB
2026-01-08 15:55:00,54.4 MB,53.2 MB,108 MB
2026-01-08 15:56:00,55.6 MB,54.3 MB,110 MB
2026-01-08 15:57:00,56.7 MB,55.5 MB,112 MB
2026-01-08 15:58:00,57.9 MB,56.6 MB,115 MB
2026-01-08 15:59:00,59.1 MB,57.8 MB,117 MB
2026-01-08 16:00:00,60.2 MB,59.0 MB,119 MB
2026-01-08 16:01:00,61.4 MB,60.1 MB,122 MB
2026-01-08 16:02:00,62.5 MB,61.3 MB,124 MB
2026-01-08 16:03:00,63.7 MB,62.4 MB,126 MB
2026-01-08 16:04:00,64.8 MB,63.5 MB,128 MB
2026-01-08 16:05:00,65.9 MB,64.7 MB,131 MB
2026-01-08 16:06:00,67.1 MB,65.9 MB,133 MB
2026-01-08 16:07:00,68.3 MB,67.0 MB,135 MB
2026-01-08 16:08:00,69.4 MB,68.2 MB,138 MB
2026-01-08 16:09:00,70.5 MB,69.3 MB,140 MB
2026-01-08 16:10:00,71.7 MB,70.5 MB,142 MB
2026-01-08 16:11:00,72.8 MB,71.6 MB,144 MB
2026-01-08 16:12:00,74.0 MB,72.8 MB,147 MB
2026-01-08 16:13:00,75.1 MB,73.9 MB,149 MB
2026-01-08 16:14:00,76.3 MB,75.0 MB,151 MB
2026-01-08 16:15:00,77.4 MB,76.2 MB,154 MB
2026-01-08 16:16:00,78.0 MB,76.8 MB,155 MB
2026-01-08 16:17:00,78.0 MB,76.8 MB,155 MB
2026-01-08 16:18:00,78.0 MB,76.8 MB,155 MB
2026-01-08 16:19:00,78.0 MB,76.8 MB,155 MB
