"Time","gateway1 (aws) -> 12D3KooWCbybUXB3btxCmPiuZ3gXoCSTC7gxhgq8wEj3AGhAjfvX","gateway1 (aws) -> 12D3KooWJwrPRX5GsoBV9HdHr7oXawBK5tgCFXkiu4L1dWyh9c4G","gateway1 (aws) -> 12D3KooWLVzxJpWyXkkf2LQQyLKNcdNd8nhZ3FwwLsa3diSGC4WB","gateway1 (aws) -> 12D3KooWRXmTacGaSyUZEGJJuSDPvWr1JQBRCf3zsWRVHTJkjsBr","worker1 (aws) -> 12D3KooWCbybUXB3btxCmPiuZ3gXoCSTC7gxhgq8wEj3AGhAjfvX","worker1 (aws) -> 12D3KooWLVzxJpWyXkkf2LQQyLKNcdNd8nhZ3FwwLsa3diSGC4WB","worker1 (aws) -> 12D3KooWRXmTacGaSyUZEGJJuSDPvWr1JQBRCf3zsWRVHTJkjsBr","worker1 (aws) -> 12D3KooWSEQccCzm1WERGRHyfbEdD7fJBZkv4bnMPMPJf1eWYM6z","worker3 (hetzner) -> 12D3KooWCbybUXB3btxCmPiuZ3gXoCSTC7gxhgq8wEj3AGhAjfvX","worker3 (hetzner) -> 12D3KooWJwrPRX5GsoBV9HdHr7oXawBK5tgCFXkiu4L1dWyh9c4G","worker3 (hetzner) -> 12D3KooWRXmTacGaSyUZEGJJuSDPvWr1JQBRCf3zsWRVHTJkjsBr","worker3 (hetzner) -> 12D3KooWSEQccCzm1WERGRHyfbEdD7fJBZkv4bnMPMPJf1eWYM6z","scheduler (yorizon) -> 12D3KooWJwrPRX5GsoBV9HdHr7oXawBK5tgCFXkiu4L1dWyh9c4G","scheduler (yorizon) -> 12D3KooWLVzxJpWyXkkf2LQQyLKNcdNd8nhZ3FwwLsa3diSGC4WB","scheduler (yorizon) -> 12D3KooWRXmTacGaSyUZEGJJuSDPvWr1JQBRCf3zsWRVHTJkjsBr","scheduler (yorizon) -> 12D3KooWSEQccCzm1WERGRHyfbEdD7fJBZkv4bnMPMPJf1eWYM6z","worker2 (yorizon) -> 12D3KooWCbybUXB3btxCmPiuZ3gXoCSTC7gxhgq8wEj3AGhAjfvX","worker2 (yorizon) -> 12D3KooWJwrPRX5GsoBV9HdHr7oXawBK5tgCFXkiu4L1dWyh9c4G","worker2 (yorizon) -> 12D3KooWLVzxJpWyXkkf2LQQyLKNcdNd8nhZ3FwwLsa3diSGC4WB","worker2 (yorizon) -> 12D3KooWSEQccCzm1WERGRHyfbEdD7fJBZkv4bnMPMPJf1eWYM6z"
2026-01-08 15:31:00,12.1 ms,0.928 ms,6.03 ms,12.3 ms,11.8 ms,6.11 ms,11.8 ms,1.10 ms,11.2 ms,5.93 ms,11.1 ms,5.93 ms,11.9 ms,11.1 ms,0.111 ms,12.2 ms,0.102 ms,12.0 ms,11.3 ms,12.5 ms
2026-01-08 15:32:00,12.1 ms,1.01 ms,6.04 ms,12.4 ms,11.8 ms,5.98 ms,11.8 ms,0.965 ms,11.7 ms,5.81 ms,11.1 ms,6.36 ms,12.0 ms,11.2 ms,0.110 ms,12.2 ms,0.147 ms,12.1 ms,11.3 ms,12.5 ms
2026-01-08 15:33:00,12.2 ms,0.848 ms,5.99 ms,12.4 ms,11.9 ms,5.98 ms,12.1 ms,0.962 ms,11.2 ms,5.83 ms,11.1 ms,6.10 ms,12.1 ms,11.2 ms,0.0691 ms,12.2 ms,0.0753 ms,12.1 ms,11.3 ms,12.5 ms
2026-01-08 15:34:00,12.2 ms,0.991 ms,6.13 ms,12.4 ms,12.0 ms,6.07 ms,12.0 ms,0.950 ms,11.6 ms,5.89 ms,11.2 ms,6.60 ms,12.0 ms,11.2 ms,0.107 ms,12.2 ms,0.154 ms,12.3 ms,11.3 ms,12.5 ms
2026-01-08 15:35:00,12.1 ms,0.970 ms,6.14 ms,12.4 ms,11.8 ms,6.05 ms,12.1 ms,1.05 ms,11.3 ms,6.00 ms,11.1 ms,6.21 ms,12.2 ms,11.2 ms,0.132 ms,12.2 ms,0.111 ms,12.2 ms,11.3 ms,12.4 ms
2026-01-08 15:36:00,12.3 ms,0.921 ms,6.03 ms,12.5 ms,11.8 ms,5.98 ms,12.3 ms,1.06 ms,11.2 ms,5.92 ms,11.7 ms,6.11 ms,12.1 ms,11.3 ms,0.128 ms,12.2 ms,0.166 ms,11.8 ms,11.3 ms,12.5 ms
2026-01-08 15:37:00,12.1 ms,0.881 ms,6.06 ms,12.4 ms,11.8 ms,5.93 ms,12.0 ms,1.26 ms,11.1 ms,5.96 ms,11.7 ms,6.20 ms,12.0 ms,11.2 ms,0.195 ms,12.2 ms,0.146 ms,12.0 ms,11.3 ms,12.4 ms
2026-01-08 15:38:00,12.1 ms,0.935 ms,6.16 ms,12.5 ms,11.7 ms,6.03 ms,11.9 ms,0.974 ms,11.1 ms,5.86 ms,11.7 ms,6.20 ms,12.0 ms,11.2 ms,0.116 ms,12.3 ms,0.136 ms,12.1 ms,11.4 ms,12.5 ms
2026-01-08 15:39:00,12.2 ms,1.01 ms,6.09 ms,12.4 ms,11.9 ms,5.92 ms,12.1 ms,1.05 ms,11.2 ms,5.99 ms,11.3 ms,6.08 ms,12.0 ms,11.2 ms,0.111 ms,12.1 ms,0.0992 ms,12.2 ms,11.3 ms,12.5 ms
2026-01-08 15:40:00,12.2 ms,1.01 ms,5.93 ms,12.5 ms,11.7 ms,5.92 ms,12.1 ms,1.06 ms,11.1 ms,6.01 ms,11.9 ms,6.04 ms,12.0 ms,11.2 ms,0.104 ms,12.1 ms,0.127 ms,12.2 ms,11.3 ms,12.5 ms
