"Time","in:gcn_891461c3","out:gcn_891461c3","sum:gcn_891461c3"
2026-01-16 12:11:00,109 MB,109 MB,217 MB
2026-01-16 12:12:00,130 MB,130 MB,261 MB
2026-01-16 12:13:00,133 MB,133 MB,265 MB
2026-01-16 12:14:00,133 MB,133 MB,266 MB
2026-01-16 12:15:00,103 MB,102 MB,205 MB
2026-01-16 12:16:00,103 MB,102 MB,205 MB
