"Time","data_points (52225ab4-58f1-4e80-a8c3-2417a3eafa8d)"
2026-01-16 12:11:00,16.5
2026-01-16 12:12:00,17
2026-01-16 12:13:00,17
2026-01-16 12:14:00,17
2026-01-16 12:15:00,17
2026-01-16 12:16:00,17
