"Time","gateway1","scheduler","worker1","worker3"
2026-01-16 12:11:00,12.7 kb/s,,7.63 Mb/s,981 kb/s
2026-01-16 12:12:00,12.3 kb/s,14.7 kb/s,8.96 Mb/s,1.96 Mb/s
2026-01-16 12:13:00,10.9 kb/s,13.1 kb/s,9.92 Mb/s,2.01 Mb/s
2026-01-16 12:14:00,630 b/s,11.5 kb/s,9.95 Mb/s,1.06 Mb/s
2026-01-16 12:15:00,562 b/s,,7.61 Mb/s,80.6 kb/s
2026-01-16 12:16:00,459 b/s,,5.04 Mb/s,486 b/s
