"Time","gateway1 (aws) -> 12D3KooWCbybUXB3btxCmPiuZ3gXoCSTC7gxhgq8wEj3AGhAjfvX","gateway1 (aws) -> 12D3KooWHW7wgTu87J3MA6ntu6h5rSgUDsa35Jmo12DTXpwQ6Ric","gateway1 (aws) -> 12D3KooWJwrPRX5GsoBV9HdHr7oXawBK5tgCFXkiu4L1dWyh9c4G","gateway1 (aws) -> 12D3KooWLVzxJpWyXkkf2LQQyLKNcdNd8nhZ3FwwLsa3diSGC4WB","worker1 (aws) -> 12D3KooWCbybUXB3btxCmPiuZ3gXoCSTC7gxhgq8wEj3AGhAjfvX","worker1 (aws) -> 12D3KooWHW7wgTu87J3MA6ntu6h5rSgUDsa35Jmo12DTXpwQ6Ric","worker1 (aws) -> 12D3KooWJwrPRX5GsoBV9HdHr7oXawBK5tgCFXkiu4L1dWyh9c4G","worker1 (aws) -> 12D3KooWKj7Qh4bkVjLKZqtjNxQgMCMGQKrU5jh4oUGai1dweKwv","worker1 (aws) -> 12D3KooWLVzxJpWyXkkf2LQQyLKNcdNd8nhZ3FwwLsa3diSGC4WB","worker1 (aws) -> 12D3KooWRXmTacGaSyUZEGJJuSDPvWr1JQBRCf3zsWRVHTJkjsBr","worker1 (aws) -> 12D3KooWSEQccCzm1WERGRHyfbEdD7fJBZkv4bnMPMPJf1eWYM6z","worker3 (hetzner) -> 12D3KooWCbybUXB3btxCmPiuZ3gXoCSTC7gxhgq8wEj3AGhAjfvX","worker3 (hetzner) -> 12D3KooWHW7wgTu87J3MA6ntu6h5rSgUDsa35Jmo12DTXpwQ6Ric","worker3 (hetzner) -> 12D3KooWJwrPRX5GsoBV9HdHr7oXawBK5tgCFXkiu4L1dWyh9c4G","worker3 (hetzner) -> 12D3KooWSEQccCzm1WERGRHyfbEdD7fJBZkv4bnMPMPJf1eWYM6z","scheduler (yorizon) -> 12D3KooWHW7wgTu87J3MA6ntu6h5rSgUDsa35Jmo12DTXpwQ6Ric","scheduler (yorizon) -> 12D3KooWJwrPRX5GsoBV9HdHr7oXawBK5tgCFXkiu4L1dWyh9c4G","scheduler (yorizon) -> 12D3KooWLVzxJpWyXkkf2LQQyLKNcdNd8nhZ3FwwLsa3diSGC4WB","scheduler (yorizon) -> 12D3KooWSEQccCzm1WERGRHyfbEdD7fJBZkv4bnMPMPJf1eWYM6z"
2026-01-16 12:11:00,12.1 ms,41.7 ms,0.468 ms,6.22 ms,11.7 ms,41.6 ms,42.4 ms,12.2 ms,5.98 ms,12.3 ms,0.475 ms,11.7 ms,46.1 ms,5.93 ms,6.08 ms,51.8 ms,12.5 ms,11.8 ms,11.8 ms
2026-01-16 12:12:00,12.0 ms,41.7 ms,0.466 ms,6.08 ms,11.7 ms,41.5 ms,42.1 ms,12.0 ms,6.31 ms,12.3 ms,0.609 ms,11.7 ms,52.5 ms,5.88 ms,6.02 ms,51.8 ms,11.7 ms,11.6 ms,12.1 ms
2026-01-16 12:13:00,12.1 ms,41.6 ms,0.466 ms,6.20 ms,11.7 ms,41.6 ms,41.3 ms,12.0 ms,6.02 ms,12.3 ms,0.796 ms,11.7 ms,46.3 ms,5.99 ms,6.13 ms,51.8 ms,11.7 ms,11.6 ms,12.1 ms
2026-01-16 12:14:00,12.1 ms,41.7 ms,0.474 ms,6.16 ms,11.7 ms,41.6 ms,41.3 ms,12.0 ms,5.98 ms,12.4 ms,0.670 ms,11.7 ms,46.3 ms,5.97 ms,6.05 ms,51.8 ms,11.7 ms,11.6 ms,12.1 ms
2026-01-16 12:15:00,12.1 ms,41.7 ms,0.474 ms,6.11 ms,12.0 ms,41.6 ms,41.3 ms,12.0 ms,4.96 ms,12.4 ms,0.823 ms,11.7 ms,46.3 ms,5.97 ms,6.22 ms,51.8 ms,11.7 ms,11.6 ms,12.1 ms
2026-01-16 12:16:00,12.1 ms,41.7 ms,0.474 ms,6.11 ms,12.0 ms,41.6 ms,41.3 ms,11.9 ms,5.07 ms,12.3 ms,0.995 ms,11.7 ms,46.3 ms,5.97 ms,5.94 ms,51.8 ms,11.7 ms,11.6 ms,12.1 ms
