"Time","12D3KooWHW7wgTu87J3MA6ntu6h5rSgUDsa35Jmo12DTXpwQ6Ric","12D3KooWJwrPRX5GsoBV9HdHr7oXawBK5tgCFXkiu4L1dWyh9c4G"
2026-01-16 12:11:00,0.972,0.970
2026-01-16 12:12:00,0.828,0.842
2026-01-16 12:13:00,0.828,0.842
2026-01-16 12:14:00,0.828,0.842
2026-01-16 12:15:00,0.828,0.842
2026-01-16 12:16:00,0.828,0.842
