"Time","in:gcn_891461c3/gateway1","in:gcn_891461c3/scheduler","in:gcn_891461c3/worker1","in:gcn_891461c3/worker3","out:gcn_891461c3/gateway1","out:gcn_891461c3/scheduler","out:gcn_891461c3/worker1","out:gcn_891461c3/worker3","sum:gcn_891461c3/gateway1","sum:gcn_891461c3/scheduler","sum:gcn_891461c3/worker1","sum:gcn_891461c3/worker3"
2026-01-16 12:11:00,1.77 MB,144 kB,53.5 MB,53.4 MB,1.86 MB,163 kB,53.9 MB,52.6 MB,3.63 MB,306 kB,107 MB,106 MB
2026-01-16 12:12:00,1.77 MB,232 kB,64.3 MB,64.2 MB,1.86 MB,270 kB,64.5 MB,63.9 MB,3.63 MB,502 kB,129 MB,128 MB
2026-01-16 12:13:00,1.77 MB,232 kB,65.7 MB,65.1 MB,1.86 MB,270 kB,65.9 MB,64.8 MB,3.63 MB,502 kB,132 MB,130 MB
2026-01-16 12:14:00,1.78 MB,232 kB,65.7 MB,65.1 MB,1.86 MB,270 kB,65.9 MB,64.8 MB,3.64 MB,502 kB,132 MB,130 MB
2026-01-16 12:15:00,1.78 MB,232 kB,35.7 MB,65.1 MB,1.86 MB,270 kB,35.2 MB,64.8 MB,3.64 MB,502 kB,70.9 MB,130 MB
2026-01-16 12:16:00,1.78 MB,232 kB,35.7 MB,65.1 MB,1.87 MB,270 kB,35.3 MB,64.8 MB,3.64 MB,502 kB,71.0 MB,130 MB
