"Time","Weighted Average (52225ab4-58f1-4e80-a8c3-2417a3eafa8d)","Average  (52225ab4-58f1-4e80-a8c3-2417a3eafa8d)"
2026-01-16 12:11:00,1.00,0.971
2026-01-16 12:12:00,0.836,0.835
2026-01-16 12:13:00,0.836,0.835
2026-01-16 12:14:00,0.836,0.835
2026-01-16 12:15:00,0.836,0.835
2026-01-16 12:16:00,0.836,0.835
