"Time","Value"
2026-01-27 15:20:00,32
2026-01-27 15:25:00,32
2026-01-27 15:30:00,32
2026-01-27 15:35:00,32
2026-01-27 15:40:00,32
2026-01-27 15:45:00,32
2026-01-27 15:50:00,46
2026-01-27 15:55:00,50
2026-01-27 16:00:00,50
2026-01-27 16:05:00,50
2026-01-27 16:10:00,50
2026-01-27 16:15:00,50
2026-01-27 16:20:00,18
2026-01-27 16:25:00,40
2026-01-27 16:30:00,44
2026-01-27 16:35:00,44
2026-01-27 16:40:00,44
2026-01-27 16:45:00,44
2026-01-27 16:50:00,30
2026-01-27 16:55:00,26
2026-01-27 17:00:00,37
2026-01-27 17:05:00,51
2026-01-27 17:10:00,51
2026-01-27 17:15:00,51
2026-01-27 17:20:00,51
2026-01-27 17:25:00,29
2026-01-27 17:30:00,25
2026-01-27 17:35:00,51
2026-01-27 17:40:00,83
2026-01-27 17:45:00,91
2026-01-27 17:50:00,91
2026-01-27 17:55:00,91
2026-01-27 18:00:00,80
2026-01-27 18:05:00,66
2026-01-27 18:10:00,66
2026-01-27 18:15:00,66
2026-01-27 18:20:00,66
2026-01-27 18:25:00,82
2026-01-27 18:30:00,82
2026-01-27 18:35:00,56
2026-01-27 18:40:00,24
2026-01-27 18:45:00,16
2026-01-27 18:50:00,31
2026-01-27 18:55:00,72
2026-01-27 19:00:00,93
2026-01-27 19:05:00,93
2026-01-27 19:10:00,93
2026-01-27 19:15:00,93
2026-01-27 19:20:00,93
2026-01-27 19:25:00,77
2026-01-27 19:30:00,77
2026-01-27 19:35:00,106
2026-01-27 19:40:00,106
2026-01-27 19:45:00,106
2026-01-27 19:50:00,91
2026-01-27 19:55:00,50
2026-01-27 20:00:00,29
2026-01-27 20:05:00,33
2026-01-27 20:10:00,34
2026-01-27 20:15:00,51
2026-01-27 20:20:00,51
2026-01-27 20:25:00,51
2026-01-27 20:30:00,51
2026-01-27 20:35:00,22
2026-01-27 20:40:00,22
2026-01-27 20:45:00,22
2026-01-27 20:50:00,39
2026-01-27 20:55:00,47
2026-01-27 21:00:00,47
2026-01-27 21:05:00,43
2026-01-27 21:10:00,42
2026-01-27 21:15:00,25
2026-01-27 21:20:00,25
2026-01-27 21:25:00,37
2026-01-27 21:30:00,42
2026-01-27 21:35:00,42
2026-01-27 21:40:00,42
2026-01-27 21:45:00,42
2026-01-27 21:50:00,25
2026-01-27 21:55:00,17
2026-01-27 22:00:00,17
2026-01-27 22:05:00,24
2026-01-27 22:10:00,24
2026-01-27 22:15:00,24
2026-01-27 22:20:00,24
2026-01-27 22:25:00,12
2026-01-27 22:30:00,11
2026-01-27 22:35:00,11
2026-01-27 22:40:00,23
2026-01-27 22:45:00,23
2026-01-27 22:50:00,23
2026-01-27 22:55:00,23
2026-01-27 23:00:00,23
2026-01-27 23:05:00,16
2026-01-27 23:10:00,27
2026-01-27 23:15:00,27
2026-01-27 23:20:00,27
2026-01-27 23:25:00,27
2026-01-27 23:30:00,23
2026-01-27 23:35:00,23
2026-01-27 23:40:00,11
2026-01-27 23:45:00,20
2026-01-27 23:50:00,20
2026-01-27 23:55:00,20
2026-01-28 00:00:00,20
2026-01-28 00:05:00,20
2026-01-28 00:10:00,9
2026-01-28 00:15:00,13
2026-01-28 00:20:00,17
2026-01-28 00:25:00,17
2026-01-28 00:30:00,17
2026-01-28 00:35:00,17
2026-01-28 00:40:00,17
2026-01-28 00:45:00,8
2026-01-28 00:50:00,20
2026-01-28 00:55:00,20
2026-01-28 01:00:00,20
2026-01-28 01:05:00,20
2026-01-28 01:10:00,20
2026-01-28 01:15:00,16
2026-01-28 01:20:00,12
2026-01-28 01:25:00,20
2026-01-28 01:30:00,20
2026-01-28 01:35:00,20
2026-01-28 01:40:00,20
2026-01-28 01:45:00,20
2026-01-28 01:50:00,8
2026-01-28 01:55:00,22
2026-01-28 02:00:00,22
2026-01-28 02:05:00,22
2026-01-28 02:10:00,22
2026-01-28 02:15:00,22
2026-01-28 02:20:00,22
2026-01-28 02:25:00,24
2026-01-28 02:30:00,63
2026-01-28 02:35:00,63
2026-01-28 02:40:00,63
2026-01-28 02:45:00,63
2026-01-28 02:50:00,63
2026-01-28 02:55:00,49
2026-01-28 03:00:00,49
2026-01-28 03:05:00,53
2026-01-28 03:10:00,53
2026-01-28 03:15:00,53
2026-01-28 03:20:00,53
2026-01-28 03:25:00,43
2026-01-28 03:30:00,4
2026-01-28 03:35:00,10
2026-01-28 03:40:00,10
2026-01-28 03:45:00,10
2026-01-28 03:50:00,10
2026-01-28 03:55:00,10
2026-01-28 04:00:00,10
2026-01-28 04:05:00,6
2026-01-28 04:10:00,10
2026-01-28 04:15:00,10
2026-01-28 04:20:00,10
2026-01-28 04:25:00,10
2026-01-28 04:30:00,10
2026-01-28 04:35:00,4
2026-01-28 04:40:00,4
2026-01-28 04:45:00,8
2026-01-28 04:50:00,8
2026-01-28 04:55:00,8
2026-01-28 05:00:00,8
2026-01-28 05:05:00,8
2026-01-28 05:10:00,4
2026-01-28 05:15:00,4
2026-01-28 05:20:00,7
2026-01-28 05:25:00,7
2026-01-28 05:30:00,7
2026-01-28 05:35:00,7
2026-01-28 05:40:00,7
2026-01-28 05:45:00,3
