run,t_hours,in_mb,out_mb,sum_mb
ppo_d964df25_result2_report,0.0,0.0,0.0,0.0
ppo_d964df25_result2_report,0.016666666666666666,1.0999999999999979,1.1999999999999993,2.3000000000000043
ppo_d964df25_result2_report,0.03333333333333333,2.3000000000000007,2.3000000000000007,4.600000000000001
ppo_d964df25_result2_report,0.05,3.3999999999999986,3.5,6.900000000000006
ppo_d964df25_result2_report,0.06666666666666667,4.599999999999998,4.600000000000001,9.200000000000003
ppo_d964df25_result2_report,0.08333333333333333,5.800000000000001,5.800000000000001,11.600000000000001
ppo_d964df25_result2_report,0.1,6.900000000000002,7.0,13.900000000000006
ppo_d964df25_result2_report,0.11666666666666667,8.099999999999998,8.100000000000001,16.200000000000003
ppo_d964df25_result2_report,0.13333333333333333,9.2,9.299999999999997,18.5
ppo_d964df25_result2_report,0.15,10.400000000000002,10.399999999999999,20.799999999999997
ppo_d964df25_result2_report,0.16666666666666666,11.499999999999996,11.600000000000001,23.10000000000001
ppo_d964df25_result2_report,0.18333333333333332,12.7,12.799999999999997,25.400000000000006
ppo_d964df25_result2_report,0.2,13.8,13.899999999999999,27.700000000000003
ppo_d964df25_result2_report,0.21666666666666667,14.999999999999996,15.0,30.0
ppo_d964df25_result2_report,0.23333333333333334,16.099999999999998,16.200000000000003,32.3
ppo_d964df25_result2_report,0.25,17.3,17.4,34.7
ppo_d964df25_result2_report,0.26666666666666666,18.400000000000002,18.5,36.900000000000006
ppo_d964df25_result2_report,0.2833333333333333,19.599999999999998,19.6,39.2
ppo_d964df25_result2_report,0.3,20.7,20.799999999999997,41.5
ppo_d964df25_result2_report,0.31666666666666665,21.900000000000002,21.9,43.8
ppo_d964df25_result2_report,0.3333333333333333,22.999999999999996,23.1,46.10000000000001
ppo_d964df25_result2_report,0.35,24.2,24.200000000000003,48.7
ppo_d964df25_result2_report,0.36666666666666664,25.3,25.4,50.7
ppo_d964df25_result2_report,0.38333333333333336,26.499999999999996,26.5,52.7
ppo_d964df25_result2_report,0.4,27.599999999999998,27.700000000000003,55.7
ppo_d964df25_result2_report,0.4166666666666667,28.8,28.799999999999997,57.7
ppo_d964df25_result2_report,0.43333333333333335,29.900000000000002,30.0,59.7
ppo_d964df25_result2_report,0.45,31.099999999999998,31.1,62.7
ppo_d964df25_result2_report,0.4666666666666667,32.3,32.3,64.7
ppo_d964df25_result2_report,0.48333333333333334,33.4,33.5,66.7
ppo_d964df25_result2_report,0.5,34.599999999999994,34.6,69.7
ppo_d964df25_result2_report,0.5166666666666667,35.699999999999996,35.8,71.7
ppo_d964df25_result2_report,0.5333333333333333,36.9,36.9,73.7
ppo_d964df25_result2_report,0.55,37.99999999999999,38.0,75.7
ppo_d964df25_result2_report,0.5666666666666667,39.1,39.2,78.7
ppo_d964df25_result2_report,0.5833333333333334,40.29999999999999,40.400000000000006,80.7
ppo_d964df25_result2_report,0.6,41.49999999999999,41.5,82.7
ppo_d964df25_result2_report,0.6166666666666667,42.6,42.7,85.7
ppo_d964df25_result2_report,0.6333333333333333,43.699999999999996,43.8,87.7
ppo_d964df25_result2_report,0.65,44.9,45.0,89.7
ppo_d964df25_result2_report,0.6666666666666666,45.99999999999999,46.099999999999994,91.7
ppo_d964df25_result2_report,0.6833333333333333,47.199999999999996,47.3,94.7
ppo_d964df25_result2_report,0.7,48.29999999999999,48.400000000000006,96.7
ppo_d964df25_result2_report,0.7166666666666667,49.49999999999999,49.5,98.7
ppo_d964df25_result2_report,0.7333333333333333,50.6,50.7,101.7
ppo_d964df25_result2_report,0.75,51.199999999999996,51.3,102.7
ppo_d964df25_result2_report,0.7666666666666667,51.199999999999996,51.3,102.7
ppo_d964df25_result2_report,0.7833333333333333,51.199999999999996,51.3,102.7
ppo_d964df25_result2_report,0.8,51.199999999999996,51.3,102.7
