"Time","sum:","sum:r600w4p2_f1_d10_20b300l1td80_200ts10_4tl100_tb200_worker1/gateway","sum:r600w4p2_f1_d10_20b300l1td80_200ts10_4tl100_tb200_worker1/worker1","sum:r600w4p2_f1_d10_20b300l1td80_200ts10_4tl100_tb200_worker1/worker10","sum:r600w4p2_f1_d10_20b300l1td80_200ts10_4tl100_tb200_worker1/worker2","sum:r600w4p2_f1_d10_20b300l1td80_200ts10_4tl100_tb200_worker1/worker3","sum:r600w4p2_f1_d10_20b300l1td80_200ts10_4tl100_tb200_worker1/worker4","sum:r600w4p2_f1_d10_20b300l1td80_200ts10_4tl100_tb200_worker1/worker5","sum:r600w4p2_f1_d10_20b300l1td80_200ts10_4tl100_tb200_worker1/worker6","sum:r600w4p2_f1_d10_20b300l1td80_200ts10_4tl100_tb200_worker1/worker7","sum:r600w4p2_f1_d10_20b300l1td80_200ts10_4tl100_tb200_worker1/worker8","sum:r600w4p2_f1_d10_20b300l1td80_200ts10_4tl100_tb200_worker1/worker9"
2026-01-07 11:00:00,,782 kB,526 kB,9.72 MB,555 kB,937 kB,17.8 MB,5.97 MB,598 kB,7.99 MB,8.04 MB,671 kB
2026-01-07 11:01:00,727 kB,790 kB,533 kB,16.3 MB,564 kB,979 kB,37.7 MB,11.0 MB,606 kB,13.4 MB,14.1 MB,679 kB
2026-01-07 11:02:00,1.15 MB,797 kB,540 kB,21.3 MB,574 kB,1.02 MB,57.4 MB,16.0 MB,615 kB,18.4 MB,19.1 MB,689 kB
2026-01-07 11:03:00,1.66 MB,805 kB,548 kB,25.7 MB,584 kB,1.07 MB,75.0 MB,20.4 MB,625 kB,23.1 MB,24.3 MB,697 kB
2026-01-07 11:04:00,2.09 MB,812 kB,556 kB,29.8 MB,594 kB,1.10 MB,90.1 MB,24.3 MB,634 kB,26.9 MB,28.2 MB,708 kB
2026-01-07 11:05:00,2.56 MB,1.18 MB,789 kB,29.8 MB,853 kB,1.10 MB,90.4 MB,24.8 MB,894 kB,27.4 MB,28.7 MB,993 kB
2026-01-07 11:06:00,3.31 MB,1.20 MB,789 kB,377 kB,882 kB,540 kB,95.2 MB,26.2 MB,922 kB,28.8 MB,30.3 MB,4.21 MB
2026-01-07 11:07:00,3.76 MB,1.23 MB,157 kB,405 kB,908 kB,602 kB,95.3 MB,26.4 MB,948 kB,29.0 MB,30.5 MB,4.21 MB
2026-01-07 11:08:00,4.32 MB,1.24 MB,169 kB,2.32 MB,922 kB,672 kB,96.5 MB,27.8 MB,962 kB,29.4 MB,30.9 MB,244 kB
2026-01-07 11:09:00,4.51 MB,1.29 MB,176 kB,3.22 MB,965 kB,672 kB,104 MB,29.7 MB,1.01 MB,32.2 MB,33.2 MB,257 kB
2026-01-07 11:10:00,4.86 MB,1.63 MB,356 kB,11.1 MB,1.20 MB,555 kB,124 MB,35.0 MB,1.24 MB,38.1 MB,38.9 MB,299 kB
