"Time","12D3KooWCJ7nntLmkWTjqRtAff3id5jfguqBzK9hKFGP23FRqutr","12D3KooWCrsm9LonCnLLWQwoM2eMWMqneuwMXTUtcmyxPLmYhp6Y","12D3KooWEtNTTuDa9bYLyYqcmd89tdraDxRGZVz6GRY5Zci7uuzy","12D3KooWH1CW6qBF4wSa92YKye2Y4xScXgF4opg4mx5JtGYBApsB","12D3KooWHW7wgTu87J3MA6ntu6h5rSgUDsa35Jmo12DTXpwQ6Ric","12D3KooWMALzU4wuci6PUJ9MGbFWDWUTBHeKLWekFLRMYGhwswi8"
2026-01-07 11:01:00,,2.37,,2.35,2.30,2.29
2026-01-07 11:02:00,,1.60,,1.60,1.56,1.71
2026-01-07 11:03:00,,1.26,,1.11,1.22,1.45
2026-01-07 11:04:00,,0.954,,0.958,0.993,1.13
2026-01-07 11:05:00,,1.06,,1.15,1.07,1.17
2026-01-07 11:06:00,,1.06,,1.15,1.07,1.17
2026-01-07 11:07:00,0.941,0.855,,1.15,0.873,0.972
2026-01-07 11:08:00,0.941,0.855,,1.15,0.873,0.972
2026-01-07 11:09:00,0.941,1.02,,1.15,0.918,1.08
2026-01-07 11:10:00,0.941,1.09,,2.32,1.09,1.32
2026-01-07 11:11:00,0.941,0.655,,2.08,0.671,0.771
2026-01-07 11:12:00,0.941,0.731,,1.60,0.713,0.551
2026-01-07 11:13:00,0.941,0.734,,1.21,0.616,0.492
2026-01-07 11:14:00,0.941,0.658,,1.16,0.710,0.749
2026-01-07 11:15:00,0.941,0.541,,1.38,0.590,0.568
2026-01-07 11:16:00,0.941,0.629,,0.901,0.625,0.490
2026-01-07 11:17:00,0.941,0.656,,0.899,0.626,0.490
2026-01-07 11:18:00,0.941,0.435,2.35,0.899,0.516,0.490
2026-01-07 11:19:00,0.941,0.698,2.19,0.869,0.625,0.490
2026-01-07 11:20:00,0.941,0.536,1.59,0.518,0.405,0.490
2026-01-07 11:21:00,0.941,0.381,0.962,0.356,0.341,0.490
2026-01-07 11:22:00,0.941,0.378,0.861,0.370,0.322,0.490
2026-01-07 11:23:00,0.941,0.413,0.661,0.393,0.320,0.490
2026-01-07 11:24:00,0.941,0.413,0.661,0.393,0.320,0.490
2026-01-07 11:25:00,0.941,0.400,0.779,0.393,0.383,0.490
2026-01-07 11:26:00,2.36,0.253,0.538,0.393,0.429,0.490
2026-01-07 11:27:00,1.22,0.251,0.309,0.393,0.482,0.490
2026-01-07 11:28:00,0.927,0.361,0.545,0.393,0.364,0.490
2026-01-07 11:29:00,0.638,0.322,0.326,0.393,0.326,0.490
2026-01-07 11:30:00,0.638,0.322,0.326,0.393,0.326,0.490
2026-01-07 11:31:00,0.638,0.322,0.326,0.393,0.326,0.490
2026-01-07 11:32:00,0.638,0.322,0.326,0.393,0.326,0.490
