"Time","avg"
2026-01-07 11:00:00,55.7 ms
2026-01-07 11:01:00,67.2 ms
2026-01-07 11:02:00,63.3 ms
2026-01-07 11:03:00,39.8 ms
2026-01-07 11:04:00,137 ms
2026-01-07 11:05:00,41.5 ms
2026-01-07 11:06:00,27.7 ms
2026-01-07 11:07:00,55.8 ms
2026-01-07 11:08:00,176 ms
2026-01-07 11:09:00,168 ms
2026-01-07 11:10:00,57.0 ms
2026-01-07 11:11:00,163 ms
2026-01-07 11:12:00,54.6 ms
2026-01-07 11:13:00,68.8 ms
2026-01-07 11:14:00,85.4 ms
2026-01-07 11:15:00,59.8 ms
2026-01-07 11:16:00,60.2 ms
2026-01-07 11:17:00,48.3 ms
2026-01-07 11:18:00,83.3 ms
2026-01-07 11:19:00,54.8 ms
2026-01-07 11:20:00,47.3 ms
2026-01-07 11:21:00,63.2 ms
2026-01-07 11:22:00,50.5 ms
2026-01-07 11:23:00,36.9 ms
2026-01-07 11:24:00,45.0 ms
2026-01-07 11:25:00,58.8 ms
2026-01-07 11:26:00,54.5 ms
2026-01-07 11:27:00,56.8 ms
2026-01-07 11:28:00,227 ms
2026-01-07 11:29:00,113 ms
2026-01-07 11:30:00,97.3 ms
2026-01-07 11:31:00,92.5 ms
2026-01-07 11:32:00,92.5 ms
