"Time","Weighted Average","Average"
2026-01-07 11:01:00,2.34,2.33
2026-01-07 11:02:00,1.60,1.62
2026-01-07 11:03:00,1.20,1.26
2026-01-07 11:04:00,0.804,1.01
2026-01-07 11:05:00,0.834,1.11
2026-01-07 11:06:00,0.834,1.11
2026-01-07 11:07:00,0.914,0.958
2026-01-07 11:08:00,0.914,0.958
2026-01-07 11:09:00,1.18,1.02
2026-01-07 11:10:00,1.35,1.35
2026-01-07 11:11:00,0.868,1.02
2026-01-07 11:12:00,0.732,0.906
2026-01-07 11:13:00,0.836,0.798
2026-01-07 11:14:00,0.889,0.843
2026-01-07 11:15:00,0.620,0.803
2026-01-07 11:16:00,0.501,0.717
2026-01-07 11:17:00,0.548,0.722
2026-01-07 11:18:00,0.624,0.939
2026-01-07 11:19:00,0.844,0.969
2026-01-07 11:20:00,0.558,0.746
2026-01-07 11:21:00,0.474,0.579
2026-01-07 11:22:00,0.400,0.560
2026-01-07 11:23:00,0.454,0.536
2026-01-07 11:24:00,0.454,0.536
2026-01-07 11:25:00,0.467,0.564
2026-01-07 11:26:00,0.806,0.744
2026-01-07 11:27:00,0.696,0.525
2026-01-07 11:28:00,0.492,0.513
2026-01-07 11:29:00,0.370,0.416
2026-01-07 11:30:00,0.370,0.416
2026-01-07 11:31:00,0.370,0.416
2026-01-07 11:32:00,0.370,0.416
