"Time","sum (
  rate(hypha_bandwidth_inbound_bytes_total{service_namespace=""r600w4p2_f1_d10_20b300l1td80_200ts10_4tl100_tb200_worker1""}[4m0s])
+ rate(hypha_bandwidth_outbound_bytes_total{service_namespace=""r600w4p2_f1_d10_20b300l1td80_200ts10_4tl100_tb200_worker1""}[4m0s])
)  * 8 "
2026-01-07 11:01:00,2.19 Mb/s
2026-01-07 11:02:00,3.52 Mb/s
2026-01-07 11:03:00,5.33 Mb/s
2026-01-07 11:04:00,4.85 Mb/s
2026-01-07 11:05:00,3.33 Mb/s
2026-01-07 11:06:00,2.24 Mb/s
2026-01-07 11:07:00,870 kb/s
2026-01-07 11:08:00,979 kb/s
2026-01-07 11:09:00,1.04 Mb/s
2026-01-07 11:10:00,3.02 Mb/s
2026-01-07 11:11:00,3.63 Mb/s
2026-01-07 11:12:00,3.96 Mb/s
2026-01-07 11:13:00,2.76 Mb/s
2026-01-07 11:14:00,2.54 Mb/s
2026-01-07 11:15:00,2.10 Mb/s
2026-01-07 11:16:00,1.48 Mb/s
2026-01-07 11:17:00,3.54 Mb/s
2026-01-07 11:18:00,6.97 Mb/s
2026-01-07 11:19:00,10.8 Mb/s
2026-01-07 11:20:00,12.6 Mb/s
2026-01-07 11:21:00,12.7 Mb/s
2026-01-07 11:22:00,12.1 Mb/s
2026-01-07 11:23:00,8.12 Mb/s
2026-01-07 11:24:00,4.09 Mb/s
2026-01-07 11:25:00,3.35 Mb/s
2026-01-07 11:26:00,7.14 Mb/s
2026-01-07 11:27:00,10.8 Mb/s
2026-01-07 11:28:00,11.9 Mb/s
2026-01-07 11:29:00,9.73 Mb/s
2026-01-07 11:30:00,5.94 Mb/s
2026-01-07 11:31:00,2.71 Mb/s
2026-01-07 11:32:00,237 kb/s
