run,t_hours,loss
gptneo_1b_snaphot_report,33.75,6.46
gptneo_1b_snaphot_report,34.0,6.495
gptneo_1b_snaphot_report,34.25,6.445
gptneo_1b_snaphot_report,34.5,6.4350000000000005
gptneo_1b_snaphot_report,34.75,6.44
gptneo_1b_snaphot_report,35.0,6.355
gptneo_1b_snaphot_report,35.25,6.49
gptneo_1b_snaphot_report,35.5,6.42
gptneo_1b_snaphot_report,35.75,6.404999999999999
gptneo_1b_snaphot_report,36.0,6.415
gptneo_1b_snaphot_report,36.25,6.395
gptneo_1b_snaphot_report,36.5,6.43
gptneo_1b_snaphot_report,36.75,6.495
gptneo_1b_snaphot_report,37.0,6.529999999999999
gptneo_1b_snaphot_report,37.25,6.41
gptneo_1b_snaphot_report,37.5,6.58
gptneo_1b_snaphot_report,37.75,6.605
gptneo_1b_snaphot_report,38.0,6.415
gptneo_1b_snaphot_report,38.25,6.355
gptneo_1b_snaphot_report,38.5,6.390000000000001
gptneo_1b_snaphot_report,38.75,6.34
gptneo_1b_snaphot_report,39.0,6.3149999999999995
gptneo_1b_snaphot_report,39.25,6.355
gptneo_1b_snaphot_report,39.5,6.35
gptneo_1b_snaphot_report,39.75,6.36
gptneo_1b_snaphot_report,40.0,6.345
gptneo_1b_snaphot_report,40.25,6.34
gptneo_1b_snaphot_report,40.5,6.375
gptneo_1b_snaphot_report,40.75,6.385
gptneo_1b_snaphot_report,41.0,8.215
gptneo_1b_snaphot_report,41.25,6.385
gptneo_1b_snaphot_report,41.5,6.355
gptneo_1b_snaphot_report,41.75,6.29
gptneo_1b_snaphot_report,42.0,6.355
gptneo_1b_snaphot_report,42.25,6.345
gptneo_1b_snaphot_report,42.5,6.355
gptneo_1b_snaphot_report,42.75,6.335
gptneo_1b_snaphot_report,43.0,6.275
gptneo_1b_snaphot_report,43.25,6.279999999999999
gptneo_1b_snaphot_report,43.5,6.279999999999999
gptneo_1b_snaphot_report,43.75,6.279999999999999
gptneo_1b_snaphot_report,44.0,6.3100000000000005
gptneo_1b_snaphot_report,44.25,6.335
gptneo_1b_snaphot_report,44.5,6.279999999999999
gptneo_1b_snaphot_report,44.75,6.279999999999999
gptneo_1b_snaphot_report,45.0,6.29
gptneo_1b_snaphot_report,45.25,6.279999999999999
gptneo_1b_snaphot_report,45.5,6.31
gptneo_1b_snaphot_report,45.75,6.295
gptneo_1b_snaphot_report,46.0,6.324999999999999
gptneo_1b_snaphot_report,46.25,6.365
gptneo_1b_snaphot_report,46.5,6.325
gptneo_1b_snaphot_report,46.75,6.335
gptneo_1b_snaphot_report,47.0,6.369999999999999
gptneo_1b_snaphot_report,47.25,6.275
gptneo_1b_snaphot_report,47.5,6.275
gptneo_1b_snaphot_report,47.75,6.3
gptneo_1b_snaphot_report,48.0,6.359999999999999
gptneo_1b_snaphot_report,48.25,6.235
gptneo_1b_snaphot_report,48.5,6.275
gptneo_1b_snaphot_report,48.75,6.3
gptneo_1b_snaphot_report,49.0,6.3
gptneo_1b_snaphot_report,49.25,6.285
gptneo_1b_snaphot_report,49.5,6.245
gptneo_1b_snaphot_report,49.75,6.234999999999999
gptneo_1b_snaphot_report,50.0,6.24
gptneo_1b_snaphot_report,50.25,6.215
gptneo_1b_snaphot_report,50.5,6.215
gptneo_1b_snaphot_report,50.75,6.34
gptneo_1b_snaphot_report,51.0,6.27
gptneo_1b_snaphot_report,51.25,6.26
gptneo_1b_snaphot_report,51.5,6.1850000000000005
gptneo_1b_snaphot_report,51.75,6.300000000000001
gptneo_1b_snaphot_report,52.0,6.285
gptneo_1b_snaphot_report,52.25,6.29
gptneo_1b_snaphot_report,52.5,6.25
gptneo_1b_snaphot_report,52.75,6.255
gptneo_1b_snaphot_report,53.0,6.275
gptneo_1b_snaphot_report,53.25,6.27
gptneo_1b_snaphot_report,53.5,6.255
gptneo_1b_snaphot_report,53.75,6.255
gptneo_1b_snaphot_report,54.0,6.279999999999999
gptneo_1b_snaphot_report,54.25,6.255
gptneo_1b_snaphot_report,54.5,6.23
gptneo_1b_snaphot_report,54.75,6.275
gptneo_1b_snaphot_report,55.0,6.27
gptneo_1b_snaphot_report,55.25,6.27
gptneo_1b_snaphot_report,55.5,6.215
gptneo_1b_snaphot_report,55.75,6.295
gptneo_1b_snaphot_report,56.0,6.175000000000001
gptneo_1b_snaphot_report,56.25,6.24
gptneo_1b_snaphot_report,56.5,6.21
gptneo_1b_snaphot_report,56.75,6.15
gptneo_1b_snaphot_report,57.0,6.21
gptneo_1b_snaphot_report,57.25,6.220000000000001
gptneo_1b_snaphot_report,57.5,6.215
gptneo_1b_snaphot_report,57.75,6.285
gptneo_1b_snaphot_report,58.0,6.26
gptneo_1b_snaphot_report,58.25,6.17
gptneo_1b_snaphot_report,58.5,6.275
gptneo_1b_snaphot_report,58.75,6.17
gptneo_1b_snaphot_report,59.0,6.245
gptneo_1b_snaphot_report,59.25,6.245
gptneo_1b_snaphot_report,59.5,6.2
gptneo_1b_snaphot_report,59.75,6.235
gptneo_1b_snaphot_report,60.0,6.25
gptneo_1b_snaphot_report,60.25,6.2
gptneo_1b_snaphot_report,60.5,6.215
gptneo_1b_snaphot_report,60.75,6.21
gptneo_1b_snaphot_report,61.0,6.205
