t_hours,worker1_rtt,worker2_rtt,worker3_rtt,worker4_rtt
7.2,106,110,9.11,112
7.23333,107,110,8.95,110
7.26667,107,110,9.14,110
7.3,107,110,9.06,109
7.33333,107,110,9.10,110
7.36667,107,110,9.12,110
7.4,106,110,9.05,110
7.43333,106,110,9.09,110
7.46667,106,110,9.11,110
7.5,106,110,10.8,110
7.53333,106,109,9.37,109
7.56667,106,110,9.35,109
7.6,107,110,9.05,110
7.63333,107,110,9.18,110
7.66667,107,110,9.15,110
7.7,106,110,9.33,110
7.73333,107,110,9.28,110
7.76667,106,109,10.1,110
7.8,107,110,9.08,110
7.83333,107,109,9.32,110
7.86667,107,110,9.22,110
7.9,107,110,9.17,110
7.93333,107,110,9.45,110
7.96667,107,110,9.29,110
8,107,109,9.24,110
8.03333,107,110,9.14,110
8.06667,106,109,9.34,111
8.1,106,109,9.00,110
8.13333,107,109,10.7,110
8.16667,106,109,9.23,110
8.2,107,109,9.35,110
8.23333,107,110,9.18,110
8.26667,107,110,9.13,110
8.3,107,110,9.14,110
8.33333,107,109,9.08,110
8.36667,106,110,9.18,125
8.4,106,109,9.11,110
8.43333,107,110,9.82,110
8.46667,107,110,9.19,110
8.5,107,110,9.15,110
8.53333,107,110,9.19,110
8.56667,107,109,9.32,110
8.6,106,110,9.36,110
8.63333,107,110,9.35,110
8.66667,106,109,9.63,109
8.7,106,110,9.93,110
8.73333,107,109,9.33,110
8.76667,106,109,8.97,110
8.8,106,110,9.25,110
8.83333,106,110,9.17,109
8.86667,106,110,9.22,109
8.9,106,110,9.28,110
8.93333,106,110,9.12,110
8.96667,106,110,9.31,110
9,106,109,10.4,112
9.03333,106,109,9.22,110
9.06667,106,110,9.03,112
9.1,107,110,9.33,110
9.13333,107,110,9.31,110
9.16667,107,110,9.41,110
9.2,107,110,9.36,110
9.23333,107,110,9.28,110
9.26667,107,110,9.42,110
9.3,107,109,9.33,110
9.33333,106,110,8.85,109
9.36667,106,110,9.50,110
9.4,106,110,9.20,110
9.43333,107,110,9.05,110
9.46667,107,110,9.29,110
9.5,107,110,9.14,110
9.53333,107,110,9.12,110
9.56667,107,109,9.19,110
9.6,107,109,10.1,109
9.63333,107,110,9.62,110
9.66667,107,110,9.14,111
9.7,107,109,9.20,110
9.73333,107,110,9.20,110
9.76667,107,110,9.23,110
9.8,107,110,9.25,110
9.83333,106,110,9.09,109
9.86667,107,110,9.37,110
9.9,106,109,13.2,109
9.93333,107,109,9.38,109
9.96667,106,109,9.12,110
10,106,109,9.08,110
10.0333,107,110,9.37,110
10.0667,107,110,9.22,110
10.1,107,110,9.31,110
10.1333,107,110,9.22,110
10.1667,107,110,9.42,109
10.2,106,109,9.47,109
10.2333,107,110,9.39,109
10.2667,106,109,9.15,109
10.3,106,109,9.31,111
10.3333,107,110,9.24,110
10.3667,107,110,9.21,110
10.4,107,109,9.07,110
10.4333,107,110,9.23,109
10.4667,107,110,9.22,110
10.5,107,109,9.23,110
10.5333,107,110,9.12,152
10.5667,106,109,10.3,111
10.6,106,109,9.29,112
10.6333,107,110,9.37,110
10.6667,107,110,9.62,110
10.7,107,109,9.31,109
10.7333,107,110,9.17,110
10.7667,107,110,9.21,109
10.8,107,110,9.34,110
10.8333,107,109,13.5,111
10.8667,106,109,10.8,119
10.9,106,110,9.19,111
10.9333,107,110,9.09,110
10.9667,107,110,9.30,110
11,107,110,9.23,110
11.0333,107,110,9.12,110
11.0667,106,110,9.19,110
11.1,107,110,9.27,110
11.1333,107,109,9.10,110
11.1667,106,110,10.6,111
11.2,106,110,9.19,111
11.2333,107,109,10.5,110
11.2667,106,110,9.15,110
11.3,106,110,9.12,109
11.3333,106,109,9.08,109
11.3667,107,110,9.22,110
11.4,106,109,9.12,109
11.4333,106,109,9.24,109
11.4667,106,109,10.3,110
11.5,106,109,8.97,110
11.5333,107,110,9.17,110
11.5667,107,110,9.23,110
11.6,107,110,9.12,110
11.6333,107,110,9.23,110
11.6667,107,109,9.10,110
11.7,107,110,9.12,110
