"Time","debug","error","info","warn"
2026-01-05 22:06:00,10.2 K,2,278,22
2026-01-05 22:07:00,4.91 K,,205,3
2026-01-05 22:08:00,3.62 K,5,195,
2026-01-05 22:09:00,3.54 K,6,186,
2026-01-05 22:10:00,3.80 K,7,203,
2026-01-05 22:11:00,5.16 K,6,190,
2026-01-05 22:12:00,4.01 K,6,195,
2026-01-05 22:13:00,3.40 K,6,185,
2026-01-05 22:14:00,3.55 K,6,186,
2026-01-05 22:15:00,4.35 K,7,208,
2026-01-05 22:16:00,4.91 K,6,186,
2026-01-05 22:17:00,3.74 K,6,195,
2026-01-05 22:18:00,3.39 K,6,185,
2026-01-05 22:19:00,3.83 K,7,202,
2026-01-05 22:20:00,4.48 K,6,192,
2026-01-05 22:21:00,4.70 K,6,195,
2026-01-05 22:22:00,3.60 K,6,187,
2026-01-05 22:23:00,4.63 K,7,209,
2026-01-05 22:24:00,4.10 K,5,195,
2026-01-05 22:25:00,3.45 K,6,188,
2026-01-05 22:26:00,4.18 K,6,186,
2026-01-05 22:27:00,4.46 K,7,208,
2026-01-05 22:28:00,4.03 K,6,195,
2026-01-05 22:29:00,3.54 K,6,187,
2026-01-05 22:30:00,3.51 K,6,186,
2026-01-05 22:31:00,4.96 K,7,207,
2026-01-05 22:32:00,4.28 K,6,186,
2026-01-05 22:33:00,3.62 K,6,195,
2026-01-05 22:34:00,3.55 K,6,186,
2026-01-05 22:35:00,3.47 K,6,186,
2026-01-05 22:36:00,5.22 K,7,208,
2026-01-05 22:37:00,4.14 K,6,196,
2026-01-05 22:38:00,3.40 K,6,186,
2026-01-05 22:39:00,3.51 K,6,186,
2026-01-05 22:40:00,4.19 K,7,208,
2026-01-05 22:41:00,4.92 K,5,186,
2026-01-05 22:42:00,3.76 K,6,196,
2026-01-05 22:43:00,3.38 K,6,186,
2026-01-05 22:44:00,3.53 K,6,186,
2026-01-05 22:45:00,4.52 K,7,209,
2026-01-05 22:46:00,4.86 K,6,195,
2026-01-05 22:47:00,3.58 K,6,186,
2026-01-05 22:48:00,4.53 K,7,208,
2026-01-05 22:49:00,4.18 K,6,189,
2026-01-05 22:50:00,3.68 K,6,191,
2026-01-05 22:51:00,4.17 K,6,185,
2026-01-05 22:52:00,4.44 K,7,207,
2026-01-05 22:53:00,4.04 K,6,188,
2026-01-05 22:54:00,3.67 K,6,191,
2026-01-05 22:55:00,3.47 K,6,185,
