"Time","Weighted Average","Average"
2026-01-05 22:19:00,4.52,4.30
2026-01-05 22:20:00,4.52,4.30
2026-01-05 22:21:00,4.29,4.12
2026-01-05 22:22:00,4.29,4.12
2026-01-05 22:23:00,4.29,4.12
2026-01-05 22:24:00,4.18,4.04
2026-01-05 22:25:00,4.18,4.04
2026-01-05 22:26:00,4.18,4.04
2026-01-05 22:27:00,4.18,4.04
2026-01-05 22:28:00,4.20,4.05
2026-01-05 22:29:00,4.20,4.05
2026-01-05 22:30:00,4.20,4.05
2026-01-05 22:31:00,4.20,4.05
2026-01-05 22:32:00,4.33,4.16
2026-01-05 22:33:00,4.33,4.16
2026-01-05 22:34:00,4.33,4.16
2026-01-05 22:35:00,4.33,4.16
2026-01-05 22:36:00,4.33,4.16
2026-01-05 22:37:00,4.24,4.08
2026-01-05 22:38:00,4.24,4.08
2026-01-05 22:39:00,4.24,4.08
2026-01-05 22:40:00,4.24,4.08
2026-01-05 22:41:00,4.22,4.06
2026-01-05 22:42:00,4.22,4.06
2026-01-05 22:43:00,4.22,4.06
2026-01-05 22:44:00,4.22,4.06
2026-01-05 22:45:00,4.22,4.06
2026-01-05 22:46:00,4.29,4.12
2026-01-05 22:47:00,4.29,4.12
2026-01-05 22:48:00,4.29,4.12
2026-01-05 22:49:00,4.28,4.11
2026-01-05 22:50:00,4.28,4.11
2026-01-05 22:51:00,4.28,4.11
2026-01-05 22:52:00,4.28,4.11
2026-01-05 22:53:00,4.23,4.07
2026-01-05 22:54:00,4.23,4.07
2026-01-05 22:55:00,4.23,4.07
2026-01-05 22:56:00,4.23,4.07
2026-01-05 22:57:00,4.30,4.13
2026-01-05 22:58:00,4.30,4.13
2026-01-05 22:59:00,4.30,4.13
2026-01-05 23:00:00,4.30,4.13
2026-01-05 23:01:00,4.30,4.13
2026-01-05 23:02:00,4.36,3.99
2026-01-05 23:03:00,4.63,4.20
2026-01-05 23:04:00,4.26,3.93
2026-01-05 23:05:00,4.45,4.07
2026-01-05 23:06:00,4.64,4.17
2026-01-05 23:07:00,4.25,3.90
2026-01-05 23:08:00,4.37,4.00
2026-01-05 23:09:00,4.15,3.84
2026-01-05 23:10:00,4.47,4.08
2026-01-05 23:11:00,4.31,3.96
2026-01-05 23:12:00,4.38,4.01
2026-01-05 23:13:00,4.18,3.95
2026-01-05 23:14:00,4.14,3.83
2026-01-05 23:15:00,4.32,3.90
2026-01-05 23:16:00,4.67,4.19
2026-01-05 23:17:00,4.27,3.92
2026-01-05 23:18:00,4.43,4.05
2026-01-05 23:19:00,4.65,4.20
2026-01-05 23:20:00,4.33,3.90
2026-01-05 23:21:00,4.48,4.00
2026-01-05 23:22:00,4.10,3.77
2026-01-05 23:23:00,4.40,4.00
2026-01-05 23:24:00,4.28,3.88
2026-01-05 23:25:00,4.33,3.96
2026-01-05 23:26:00,4.42,4.06
2026-01-05 23:27:00,4.36,4.01
2026-01-05 23:28:00,4.47,4.01
2026-01-05 23:29:00,4.38,3.91
2026-01-05 23:30:00,4.07,3.77
2026-01-05 23:31:00,4.18,3.84
2026-01-05 23:32:00,4.14,3.84
2026-01-05 23:33:00,4.34,3.98
2026-01-05 23:34:00,4.06,3.78
2026-01-05 23:35:00,4.37,4.00
2026-01-05 23:36:00,3.92,3.74
2026-01-05 23:37:00,4.01,3.71
2026-01-05 23:38:00,4.13,3.82
2026-01-05 23:39:00,3.91,3.69
2026-01-05 23:40:00,4.12,3.80
2026-01-05 23:41:00,4.09,3.80
2026-01-05 23:42:00,4.43,3.98
2026-01-05 23:43:00,4.00,3.67
2026-01-05 23:44:00,4.41,4.03
2026-01-05 23:45:00,3.98,3.72
2026-01-05 23:46:00,4.11,3.82
2026-01-05 23:47:00,4.12,3.81
2026-01-05 23:48:00,3.97,3.72
2026-01-05 23:49:00,3.92,3.65
2026-01-05 23:50:00,3.95,3.70
2026-01-05 23:51:00,4.20,3.87
2026-01-05 23:52:00,4.01,3.74
2026-01-05 23:53:00,4.16,3.87
2026-01-05 23:54:00,3.99,3.66
2026-01-05 23:55:00,3.90,3.65
2026-01-05 23:56:00,4.05,3.77
2026-01-05 23:57:00,3.74,3.53
2026-01-05 23:58:00,4.13,3.82
2026-01-05 23:59:00,4.04,3.76
2026-01-06 00:00:00,3.93,3.75
2026-01-06 00:01:00,4.16,3.79
2026-01-06 00:02:00,4.10,3.75
2026-01-06 00:03:00,3.95,3.69
2026-01-06 00:04:00,4.02,3.74
2026-01-06 00:05:00,3.91,3.68
2026-01-06 00:06:00,3.93,3.67
2026-01-06 00:07:00,3.59,3.44
2026-01-06 00:08:00,3.70,3.53
2026-01-06 00:09:00,3.82,3.59
2026-01-06 00:10:00,4.12,3.81
2026-01-06 00:11:00,3.78,3.56
2026-01-06 00:12:00,3.76,3.53
2026-01-06 00:13:00,3.88,3.64
2026-01-06 00:14:00,4.08,3.65
2026-01-06 00:15:00,3.77,3.57
2026-01-06 00:16:00,3.93,3.70
2026-01-06 00:17:00,3.78,3.58
2026-01-06 00:18:00,4.08,3.74
2026-01-06 00:19:00,3.90,3.65
2026-01-06 00:20:00,3.60,3.44
2026-01-06 00:21:00,3.64,3.44
2026-01-06 00:22:00,4.03,3.66
2026-01-06 00:23:00,3.69,3.49
2026-01-06 00:24:00,4.02,3.72
2026-01-06 00:25:00,3.78,3.64
2026-01-06 00:26:00,3.27,3.19
2026-01-06 00:27:00,3.35,3.13
2026-01-06 00:28:00,3.20,3.01
2026-01-06 00:29:00,3.13,3.15
2026-01-06 00:30:00,3.31,3.27
2026-01-06 00:31:00,3.26,3.26
2026-01-06 00:32:00,3.38,3.14
2026-01-06 00:33:00,3.22,3.04
2026-01-06 00:34:00,3.33,3.63
2026-01-06 00:35:00,3.05,2.96
2026-01-06 00:36:00,3.01,2.88
2026-01-06 00:37:00,3.30,3.40
2026-01-06 00:38:00,3.15,2.97
2026-01-06 00:39:00,3.06,3.60
2026-01-06 00:40:00,2.92,2.81
2026-01-06 00:41:00,3.24,3.09
2026-01-06 00:42:00,2.74,2.75
2026-01-06 00:43:00,2.99,2.82
2026-01-06 00:44:00,3.04,3.18
2026-01-06 00:45:00,3.16,3.13
2026-01-06 00:46:00,3.18,3.08
2026-01-06 00:47:00,3.20,3.11
2026-01-06 00:48:00,2.93,2.90
2026-01-06 00:49:00,3.02,2.93
2026-01-06 00:50:00,2.81,2.93
2026-01-06 00:51:00,2.98,3.02
2026-01-06 00:52:00,3.16,3.00
2026-01-06 00:53:00,3.14,3.37
2026-01-06 00:54:00,2.88,2.91
2026-01-06 00:55:00,2.87,2.90
2026-01-06 00:56:00,3.20,3.11
2026-01-06 00:57:00,3.26,3.11
2026-01-06 00:58:00,3.15,3.34
2026-01-06 00:59:00,3.33,3.15
2026-01-06 01:00:00,2.73,3.37
2026-01-06 01:01:00,3.06,2.99
2026-01-06 01:02:00,3.00,2.78
2026-01-06 01:03:00,3.01,3.00
2026-01-06 01:04:00,2.91,2.95
2026-01-06 01:05:00,2.90,2.93
2026-01-06 01:06:00,2.98,2.91
2026-01-06 01:07:00,3.30,3.11
2026-01-06 01:08:00,3.02,2.94
2026-01-06 01:09:00,2.74,2.61
2026-01-06 01:10:00,3.30,3.05
2026-01-06 01:11:00,2.79,2.74
2026-01-06 01:12:00,3.12,3.11
2026-01-06 01:13:00,2.99,2.79
2026-01-06 01:14:00,3.26,3.08
2026-01-06 01:15:00,2.94,2.78
2026-01-06 01:16:00,2.80,2.68
2026-01-06 01:17:00,3.04,2.86
2026-01-06 01:18:00,3.28,3.10
2026-01-06 01:19:00,2.84,2.70
2026-01-06 01:20:00,2.98,2.88
2026-01-06 01:21:00,3.02,3.34
2026-01-06 01:22:00,3.05,2.94
2026-01-06 01:23:00,3.16,3.03
2026-01-06 01:24:00,3.00,2.79
2026-01-06 01:25:00,2.93,2.96
2026-01-06 01:26:00,2.85,3.02
2026-01-06 01:27:00,2.90,2.98
2026-01-06 01:28:00,2.97,2.96
2026-01-06 01:29:00,3.12,3.11
2026-01-06 01:30:00,2.84,2.86
2026-01-06 01:31:00,2.87,2.84
2026-01-06 01:32:00,3.22,3.24
2026-01-06 01:33:00,2.74,2.73
2026-01-06 01:34:00,3.21,3.23
2026-01-06 01:35:00,2.95,3.00
2026-01-06 01:36:00,3.16,2.93
2026-01-06 01:37:00,3.13,3.03
2026-01-06 01:38:00,3.13,3.03
2026-01-06 01:39:00,3.53,3.18
2026-01-06 01:40:00,3.53,3.18
2026-01-06 01:41:00,2.82,3.09
2026-01-06 01:42:00,3.24,3.17
2026-01-06 01:43:00,2.87,3.02
2026-01-06 01:44:00,2.72,2.51
2026-01-06 01:45:00,2.83,2.82
2026-01-06 01:46:00,3.03,2.82
2026-01-06 01:47:00,2.55,2.63
2026-01-06 01:48:00,3.11,2.85
2026-01-06 01:49:00,2.87,2.94
2026-01-06 01:50:00,3.05,3.17
2026-01-06 01:51:00,2.72,2.64
