"Time","gateway1"
2026-01-05 22:16:00,928 b/s
2026-01-05 22:17:00,2.24 kb/s
2026-01-05 22:18:00,2.24 kb/s
2026-01-05 22:19:00,1.96 kb/s
2026-01-05 22:20:00,492 b/s
2026-01-05 22:21:00,928 b/s
2026-01-05 22:22:00,2.29 kb/s
2026-01-05 22:23:00,2.29 kb/s
2026-01-05 22:24:00,2.01 kb/s
2026-01-05 22:25:00,500 b/s
2026-01-05 22:26:00,953 b/s
2026-01-05 22:27:00,2.26 kb/s
2026-01-05 22:28:00,2.26 kb/s
2026-01-05 22:29:00,1.96 kb/s
2026-01-05 22:30:00,500 b/s
2026-01-05 22:31:00,937 b/s
2026-01-05 22:32:00,2.24 kb/s
2026-01-05 22:33:00,2.24 kb/s
2026-01-05 22:34:00,1.96 kb/s
2026-01-05 22:35:00,492 b/s
2026-01-05 22:36:00,928 b/s
2026-01-05 22:37:00,2.24 kb/s
2026-01-05 22:38:00,2.24 kb/s
2026-01-05 22:39:00,1.96 kb/s
2026-01-05 22:40:00,492 b/s
2026-01-05 22:41:00,928 b/s
2026-01-05 22:42:00,2.24 kb/s
2026-01-05 22:43:00,2.24 kb/s
2026-01-05 22:44:00,1.94 kb/s
2026-01-05 22:45:00,481 b/s
2026-01-05 22:46:00,923 b/s
2026-01-05 22:47:00,2.24 kb/s
2026-01-05 22:48:00,2.24 kb/s
2026-01-05 22:49:00,1.96 kb/s
2026-01-05 22:50:00,492 b/s
2026-01-05 22:51:00,928 b/s
2026-01-05 22:52:00,2.24 kb/s
2026-01-05 22:53:00,2.24 kb/s
2026-01-05 22:54:00,1.96 kb/s
2026-01-05 22:55:00,492 b/s
2026-01-05 22:56:00,928 b/s
2026-01-05 22:57:00,2.24 kb/s
2026-01-05 22:58:00,2.24 kb/s
2026-01-05 22:59:00,1.96 kb/s
2026-01-05 23:00:00,492 b/s
2026-01-05 23:01:00,928 b/s
2026-01-05 23:02:00,2.24 kb/s
2026-01-05 23:03:00,2.24 kb/s
2026-01-05 23:04:00,1.96 kb/s
2026-01-05 23:05:00,492 b/s
2026-01-05 23:06:00,928 b/s
2026-01-05 23:07:00,2.29 kb/s
2026-01-05 23:08:00,2.29 kb/s
2026-01-05 23:09:00,2.05 kb/s
2026-01-05 23:10:00,537 b/s
2026-01-05 23:11:00,1.03 kb/s
2026-01-05 23:12:00,2.38 kb/s
2026-01-05 23:13:00,2.38 kb/s
2026-01-05 23:14:00,2.08 kb/s
2026-01-05 23:15:00,537 b/s
2026-01-05 23:16:00,1.02 kb/s
2026-01-05 23:17:00,2.37 kb/s
