"Time","in:r600w4p2_f1_d40_100b200l1td80_200ts10_4tl100_tb200_worker1","out:r600w4p2_f1_d40_100b200l1td80_200ts10_4tl100_tb200_worker1","sum:r600w4p2_f1_d40_100b200l1td80_200ts10_4tl100_tb200_worker1"
2026-01-06 19:28:00,48.0 MB,33.9 MB,81.9 MB
2026-01-06 19:29:00,90.4 MB,75.2 MB,166 MB
2026-01-06 19:30:00,135 MB,118 MB,253 MB
2026-01-06 19:31:00,178 MB,159 MB,337 MB
2026-01-06 19:32:00,226 MB,206 MB,433 MB
2026-01-06 19:33:00,201 MB,186 MB,386 MB
2026-01-06 19:34:00,206 MB,189 MB,395 MB
2026-01-06 19:35:00,244 MB,224 MB,469 MB
2026-01-06 19:36:00,269 MB,249 MB,517 MB
2026-01-06 19:37:00,233 MB,217 MB,450 MB
2026-01-06 19:38:00,272 MB,252 MB,524 MB
2026-01-06 19:39:00,319 MB,299 MB,617 MB
2026-01-06 19:40:00,146 MB,127 MB,274 MB
2026-01-06 19:41:00,150 MB,131 MB,281 MB
2026-01-06 19:42:00,195 MB,176 MB,370 MB
2026-01-06 19:43:00,243 MB,224 MB,467 MB
2026-01-06 19:44:00,270 MB,250 MB,521 MB
2026-01-06 19:45:00,230 MB,217 MB,447 MB
2026-01-06 19:46:00,232 MB,219 MB,451 MB
2026-01-06 19:47:00,274 MB,254 MB,529 MB
2026-01-06 19:48:00,288 MB,266 MB,555 MB
2026-01-06 19:49:00,215 MB,201 MB,415 MB
2026-01-06 19:50:00,216 MB,202 MB,418 MB
2026-01-06 19:51:00,219 MB,204 MB,423 MB
2026-01-06 19:52:00,221 MB,204 MB,425 MB
2026-01-06 19:53:00,264 MB,245 MB,509 MB
2026-01-06 19:54:00,276 MB,256 MB,532 MB
2026-01-06 19:55:00,276 MB,256 MB,531 MB
2026-01-06 19:56:00,275 MB,255 MB,530 MB
