"Time","sum:","sum:r600w4p2_f1_d40_100b200l1td80_200ts10_4tl100_tb200_worker1/gateway","sum:r600w4p2_f1_d40_100b200l1td80_200ts10_4tl100_tb200_worker1/worker1","sum:r600w4p2_f1_d40_100b200l1td80_200ts10_4tl100_tb200_worker1/worker10","sum:r600w4p2_f1_d40_100b200l1td80_200ts10_4tl100_tb200_worker1/worker2","sum:r600w4p2_f1_d40_100b200l1td80_200ts10_4tl100_tb200_worker1/worker3","sum:r600w4p2_f1_d40_100b200l1td80_200ts10_4tl100_tb200_worker1/worker4","sum:r600w4p2_f1_d40_100b200l1td80_200ts10_4tl100_tb200_worker1/worker5","sum:r600w4p2_f1_d40_100b200l1td80_200ts10_4tl100_tb200_worker1/worker6","sum:r600w4p2_f1_d40_100b200l1td80_200ts10_4tl100_tb200_worker1/worker7","sum:r600w4p2_f1_d40_100b200l1td80_200ts10_4tl100_tb200_worker1/worker8","sum:r600w4p2_f1_d40_100b200l1td80_200ts10_4tl100_tb200_worker1/worker9"
2026-01-06 19:28:00,736 kB,720 kB,477 kB,13.8 MB,30.6 MB,686 kB,610 kB,9.18 MB,10.0 MB,678 kB,676 kB,13.8 MB
2026-01-06 19:29:00,1.21 MB,726 kB,487 kB,24.2 MB,71.4 MB,692 kB,650 kB,20.0 MB,20.8 MB,687 kB,686 kB,24.0 MB
2026-01-06 19:30:00,1.70 MB,732 kB,497 kB,35.4 MB,114 MB,701 kB,691 kB,30.9 MB,31.9 MB,696 kB,695 kB,35.2 MB
2026-01-06 19:31:00,2.18 MB,740 kB,506 kB,46.0 MB,154 MB,709 kB,731 kB,41.8 MB,42.8 MB,704 kB,702 kB,45.4 MB
2026-01-06 19:32:00,2.70 MB,746 kB,517 kB,58.9 MB,201 MB,719 kB,772 kB,53.7 MB,54.8 MB,714 kB,712 kB,57.6 MB
2026-01-06 19:33:00,3.48 MB,1.11 MB,761 kB,2.64 MB,204 MB,1.07 MB,1.11 MB,55.0 MB,56.0 MB,1.07 MB,1.07 MB,58.8 MB
2026-01-06 19:34:00,3.67 MB,1.12 MB,776 kB,8.94 MB,205 MB,1.10 MB,1.16 MB,55.4 MB,56.4 MB,1.09 MB,1.09 MB,59.3 MB
2026-01-06 19:35:00,4.11 MB,1.12 MB,784 kB,21.8 MB,240 MB,1.10 MB,1.20 MB,64.0 MB,65.0 MB,1.10 MB,1.09 MB,67.8 MB
2026-01-06 19:36:00,4.63 MB,1.15 MB,813 kB,22.9 MB,266 MB,1.12 MB,1.26 MB,70.8 MB,71.7 MB,1.12 MB,1.12 MB,74.6 MB
2026-01-06 19:37:00,5.17 MB,1.16 MB,821 kB,25.8 MB,266 MB,1.13 MB,1.30 MB,70.9 MB,193 kB,1.13 MB,1.13 MB,74.8 MB
2026-01-06 19:38:00,5.84 MB,1.51 MB,1.05 MB,37.6 MB,298 MB,1.48 MB,1.64 MB,80.1 MB,9.90 MB,1.49 MB,1.49 MB,83.5 MB
2026-01-06 19:39:00,6.35 MB,1.51 MB,1.06 MB,44.0 MB,349 MB,1.49 MB,1.68 MB,91.8 MB,21.7 MB,1.50 MB,1.50 MB,95.4 MB
2026-01-06 19:40:00,6.53 MB,1.54 MB,1.08 MB,44.1 MB,542 kB,1.51 MB,1.73 MB,93.0 MB,24.2 MB,1.52 MB,1.52 MB,96.6 MB
2026-01-06 19:41:00,6.76 MB,1.55 MB,1.09 MB,50.3 MB,746 kB,1.52 MB,1.78 MB,93.1 MB,24.3 MB,1.53 MB,1.53 MB,96.7 MB
2026-01-06 19:42:00,7.27 MB,1.56 MB,1.15 MB,62.6 MB,879 kB,1.54 MB,45.8 MB,104 MB,34.2 MB,1.55 MB,1.55 MB,108 MB
2026-01-06 19:43:00,8.01 MB,1.91 MB,1.39 MB,75.0 MB,900 kB,1.88 MB,92.3 MB,116 MB,46.2 MB,1.89 MB,1.90 MB,120 MB
2026-01-06 19:44:00,8.55 MB,1.93 MB,1.45 MB,75.0 MB,927 kB,1.90 MB,121 MB,124 MB,54.7 MB,1.91 MB,1.92 MB,127 MB
2026-01-06 19:45:00,9.11 MB,1.95 MB,1.51 MB,247 kB,1.04 MB,1.92 MB,121 MB,124 MB,54.8 MB,1.93 MB,1.94 MB,128 MB
2026-01-06 19:46:00,9.31 MB,1.97 MB,1.56 MB,260 kB,1.05 MB,1.94 MB,123 MB,124 MB,55.3 MB,2.92 MB,1.96 MB,128 MB
2026-01-06 19:47:00,9.75 MB,1.98 MB,1.60 MB,274 kB,1.16 MB,1.95 MB,157 MB,133 MB,64.3 MB,14.2 MB,2.08 MB,142 MB
2026-01-06 19:48:00,10.5 MB,2.35 MB,1.88 MB,430 kB,1.24 MB,2.26 MB,169 MB,137 MB,69.3 MB,18.6 MB,482 kB,142 MB
2026-01-06 19:49:00,11.1 MB,2.37 MB,1.93 MB,455 kB,1.27 MB,2.33 MB,169 MB,137 MB,69.4 MB,18.7 MB,1.47 MB,310 kB
2026-01-06 19:50:00,11.3 MB,2.39 MB,2.00 MB,591 kB,1.37 MB,2.36 MB,170 MB,137 MB,69.9 MB,19.2 MB,1.48 MB,334 kB
2026-01-06 19:51:00,11.5 MB,2.45 MB,2.08 MB,636 kB,1.43 MB,2.41 MB,171 MB,138 MB,69.9 MB,19.5 MB,4.75 MB,355 kB
2026-01-06 19:52:00,11.9 MB,2.47 MB,2.24 MB,657 kB,1.54 MB,2.43 MB,201 MB,146 MB,1.44 MB,28.4 MB,18.1 MB,8.62 MB
2026-01-06 19:53:00,12.6 MB,2.80 MB,182 kB,787 kB,1.60 MB,2.77 MB,243 MB,157 MB,1.56 MB,39.4 MB,26.6 MB,21.0 MB
