"Time","12D3KooWCJ7nntLmkWTjqRtAff3id5jfguqBzK9hKFGP23FRqutr","12D3KooWCrsm9LonCnLLWQwoM2eMWMqneuwMXTUtcmyxPLmYhp6Y","12D3KooWEtNTTuDa9bYLyYqcmd89tdraDxRGZVz6GRY5Zci7uuzy","12D3KooWH1CW6qBF4wSa92YKye2Y4xScXgF4opg4mx5JtGYBApsB","12D3KooWHW7wgTu87J3MA6ntu6h5rSgUDsa35Jmo12DTXpwQ6Ric","12D3KooWMALzU4wuci6PUJ9MGbFWDWUTBHeKLWekFLRMYGhwswi8"
2026-01-06 19:28:00,1.78,,1.77,1.75,,1.78
2026-01-06 19:29:00,1.30,,1.37,1.32,,1.31
2026-01-06 19:30:00,0.862,,0.869,0.899,,0.716
2026-01-06 19:31:00,0.656,,0.600,0.524,,0.625
2026-01-06 19:32:00,0.431,,0.539,0.456,,0.563
2026-01-06 19:33:00,0.513,,0.505,0.486,,0.591
2026-01-06 19:34:00,0.520,,0.702,0.486,,0.462
2026-01-06 19:35:00,0.338,,0.451,2.34,,0.346
2026-01-06 19:36:00,0.368,,0.504,2.30,,0.247
2026-01-06 19:37:00,0.368,,0.504,2.30,,0.247
2026-01-06 19:38:00,0.313,,0.327,1.63,,0.106
2026-01-06 19:39:00,0.400,,0.477,1.02,,0.261
2026-01-06 19:40:00,0.359,,0.267,0.875,,0.598
2026-01-06 19:41:00,0.359,,0.267,0.875,,0.598
2026-01-06 19:42:00,0.313,,0.472,0.728,,0.322
2026-01-06 19:43:00,0.408,,0.309,0.551,,0.386
2026-01-06 19:44:00,0.177,,0.265,0.368,,0.222
2026-01-06 19:45:00,0.177,,0.265,0.368,,0.222
2026-01-06 19:46:00,0.299,,0.261,0.368,,0.232
2026-01-06 19:47:00,0.243,,0.169,0.368,2.30,0.316
2026-01-06 19:48:00,0.227,,0.267,0.368,2.31,0.279
2026-01-06 19:49:00,0.227,,0.267,0.368,2.31,0.279
2026-01-06 19:50:00,0.227,,0.357,0.368,2.27,0.403
2026-01-06 19:51:00,0.227,,0.357,0.368,2.23,0.389
2026-01-06 19:52:00,0.382,0.883,0.357,0.368,0.801,0.610
2026-01-06 19:53:00,0.261,1.07,0.357,0.368,0.995,0.165
2026-01-06 19:54:00,0.261,1.07,0.357,0.368,0.995,0.165
2026-01-06 19:55:00,0.261,1.07,0.357,0.368,0.995,0.165
2026-01-06 19:56:00,0.261,1.07,0.357,0.368,0.995,0.165
