"Time","sum:ppo_d964df25/gateway1","sum:ppo_d964df25/scheduler","sum:ppo_d964df25/worker1","sum:ppo_d964df25/worker2","sum:ppo_d964df25/worker3"
2026-01-08 14:15:00,321 kB,131 kB,403 kB,656 kB,344 kB
2026-01-08 14:16:00,341 kB,221 kB,958 kB,1.73 MB,893 kB
2026-01-08 14:17:00,353 kB,303 kB,1.51 MB,2.78 MB,1.44 MB
2026-01-08 14:18:00,356 kB,384 kB,2.03 MB,3.85 MB,1.99 MB
2026-01-08 14:19:00,358 kB,466 kB,2.60 MB,4.98 MB,2.53 MB
2026-01-08 14:20:00,378 kB,569 kB,3.16 MB,6.10 MB,3.09 MB
2026-01-08 14:21:00,380 kB,650 kB,3.71 MB,7.22 MB,3.64 MB
2026-01-08 14:22:00,382 kB,732 kB,4.26 MB,8.27 MB,4.19 MB
2026-01-08 14:23:00,384 kB,814 kB,4.78 MB,9.34 MB,4.74 MB
2026-01-08 14:24:00,386 kB,896 kB,5.35 MB,10.5 MB,5.28 MB
2026-01-08 14:25:00,405 kB,998 kB,5.91 MB,11.6 MB,5.84 MB
2026-01-08 14:26:00,407 kB,1.08 MB,6.44 MB,12.6 MB,6.39 MB
2026-01-08 14:27:00,409 kB,1.16 MB,6.98 MB,13.7 MB,6.94 MB
2026-01-08 14:28:00,413 kB,1.24 MB,7.53 MB,14.8 MB,7.49 MB
2026-01-08 14:29:00,415 kB,1.32 MB,8.05 MB,15.9 MB,8.04 MB
2026-01-08 14:30:00,434 kB,1.42 MB,8.61 MB,17.1 MB,8.58 MB
2026-01-08 14:31:00,436 kB,1.51 MB,9.18 MB,18.2 MB,9.14 MB
2026-01-08 14:32:00,439 kB,1.59 MB,9.73 MB,19.3 MB,9.69 MB
2026-01-08 14:33:00,441 kB,1.67 MB,10.2 MB,20.3 MB,10.2 MB
2026-01-08 14:34:00,443 kB,1.75 MB,10.8 MB,21.4 MB,10.8 MB
2026-01-08 14:35:00,463 kB,1.85 MB,11.4 MB,22.6 MB,11.3 MB
2026-01-08 14:36:00,465 kB,1.93 MB,11.9 MB,23.7 MB,11.9 MB
2026-01-08 14:37:00,467 kB,2.02 MB,12.5 MB,24.8 MB,12.4 MB
2026-01-08 14:38:00,469 kB,2.10 MB,13.0 MB,25.9 MB,13.0 MB
2026-01-08 14:39:00,471 kB,2.18 MB,13.6 MB,27.0 MB,13.5 MB
2026-01-08 14:40:00,493 kB,2.29 MB,14.2 MB,28.2 MB,14.1 MB
2026-01-08 14:41:00,495 kB,2.37 MB,14.7 MB,29.3 MB,14.7 MB
2026-01-08 14:42:00,498 kB,2.45 MB,15.2 MB,30.4 MB,15.2 MB
2026-01-08 14:43:00,500 kB,2.53 MB,15.8 MB,31.5 MB,15.7 MB
2026-01-08 14:44:00,502 kB,2.61 MB,16.3 MB,32.6 MB,16.3 MB
2026-01-08 14:45:00,522 kB,2.71 MB,16.9 MB,33.6 MB,16.9 MB
2026-01-08 14:46:00,524 kB,2.79 MB,17.5 MB,34.8 MB,17.4 MB
2026-01-08 14:47:00,526 kB,2.87 MB,18.0 MB,35.9 MB,17.9 MB
2026-01-08 14:48:00,529 kB,2.96 MB,18.5 MB,37.0 MB,18.5 MB
2026-01-08 14:49:00,531 kB,3.04 MB,19.1 MB,38.1 MB,19.0 MB
2026-01-08 14:50:00,551 kB,3.14 MB,19.7 MB,39.2 MB,19.6 MB
2026-01-08 14:51:00,554 kB,3.22 MB,20.2 MB,40.3 MB,20.2 MB
2026-01-08 14:52:00,556 kB,3.30 MB,20.7 MB,41.4 MB,20.7 MB
2026-01-08 14:53:00,559 kB,3.38 MB,21.3 MB,42.4 MB,21.3 MB
2026-01-08 14:54:00,561 kB,3.47 MB,21.8 MB,43.5 MB,21.8 MB
2026-01-08 14:55:00,581 kB,3.57 MB,22.4 MB,44.6 MB,22.4 MB
2026-01-08 14:56:00,583 kB,3.65 MB,22.9 MB,45.7 MB,22.9 MB
2026-01-08 14:57:00,585 kB,3.73 MB,23.5 MB,46.8 MB,23.5 MB
2026-01-08 14:58:00,587 kB,3.82 MB,24.0 MB,47.9 MB,24.0 MB
2026-01-08 14:59:00,589 kB,3.90 MB,24.5 MB,49.0 MB,24.5 MB
2026-01-08 15:00:00,610 kB,3.90 MB,25.1 MB,50.1 MB,25.1 MB
2026-01-08 15:01:00,612 kB,3.90 MB,25.1 MB,50.1 MB,25.1 MB
2026-01-08 15:02:00,614 kB,3.90 MB,25.1 MB,50.1 MB,25.1 MB
2026-01-08 15:03:00,616 kB,3.90 MB,25.1 MB,50.1 MB,25.1 MB
