"Time","data_points","data_points","data_points"
2026-01-08 16:39:00,8,,
2026-01-08 16:40:00,8,,8
2026-01-08 16:41:00,,,8
2026-01-08 16:42:00,,,8
2026-01-08 16:43:00,,,7.50
2026-01-08 16:44:00,,,8
2026-01-08 16:45:00,,,8
2026-01-08 16:46:00,,,8
2026-01-08 16:47:00,,,8
2026-01-08 16:48:00,,,8
2026-01-08 16:49:00,,,8
2026-01-08 16:50:00,,,8
2026-01-08 16:51:00,,,8
2026-01-08 16:52:00,,,8
2026-01-08 16:53:00,,,8
2026-01-08 16:54:00,,6,8
