"Time","scheduler","worker2","worker4","worker5","worker6"
2026-01-08 16:39:00,,25.3 kb/s,30.7 kb/s,7.40 kb/s,13.0 kb/s
2026-01-08 16:40:00,,142 kb/s,72.4 kb/s,52.9 kb/s,40.3 kb/s
2026-01-08 16:41:00,21.1 kb/s,255 kb/s,111 kb/s,91.8 kb/s,74.8 kb/s
2026-01-08 16:42:00,23.9 kb/s,346 kb/s,122 kb/s,125 kb/s,109 kb/s
2026-01-08 16:43:00,26.2 kb/s,343 kb/s,119 kb/s,117 kb/s,117 kb/s
2026-01-08 16:44:00,21.4 kb/s,344 kb/s,119 kb/s,118 kb/s,118 kb/s
2026-01-08 16:45:00,22.4 kb/s,343 kb/s,119 kb/s,119 kb/s,119 kb/s
2026-01-08 16:46:00,22.3 kb/s,343 kb/s,118 kb/s,120 kb/s,119 kb/s
2026-01-08 16:47:00,22.2 kb/s,343 kb/s,118 kb/s,117 kb/s,119 kb/s
2026-01-08 16:48:00,21.6 kb/s,342 kb/s,119 kb/s,117 kb/s,117 kb/s
2026-01-08 16:49:00,21.4 kb/s,344 kb/s,118 kb/s,117 kb/s,117 kb/s
2026-01-08 16:50:00,22.6 kb/s,345 kb/s,111 kb/s,120 kb/s,119 kb/s
2026-01-08 16:51:00,15.0 kb/s,253 kb/s,70.3 kb/s,91.8 kb/s,97.3 kb/s
2026-01-08 16:52:00,9.99 kb/s,138 kb/s,32.7 kb/s,52.8 kb/s,58.1 kb/s
2026-01-08 16:53:00,,22.3 kb/s,17.2 kb/s,12.0 kb/s,17.6 kb/s
2026-01-08 16:54:00,,122 kb/s,70.7 kb/s,41.8 kb/s,33.1 kb/s
