"Time","{}"
2026-01-05 18:44:00,50
2026-01-05 18:46:00,45
2026-01-05 18:48:00,40
2026-01-05 18:50:00,36
2026-01-05 18:52:00,32
2026-01-05 18:54:00,29
2026-01-05 18:56:00,25
2026-01-05 18:58:00,30
2026-01-05 19:00:00,34
2026-01-05 19:02:00,37
2026-01-05 19:04:00,42
2026-01-05 19:06:00,47
2026-01-05 19:08:00,52
2026-01-05 19:10:00,56
2026-01-05 19:12:00,60
2026-01-05 19:14:00,65
2026-01-05 19:16:00,70
2026-01-05 19:18:00,75
2026-01-05 19:20:00,78
2026-01-05 19:22:00,83
2026-01-05 19:24:00,88
2026-01-05 19:26:00,92
2026-01-05 19:28:00,97
2026-01-05 19:30:00,107
2026-01-05 19:32:00,119
2026-01-05 19:34:00,131
2026-01-05 19:36:00,140
2026-01-05 19:38:00,142
2026-01-05 19:40:00,144
2026-01-05 19:42:00,149
2026-01-05 19:44:00,152
2026-01-05 19:46:00,151
2026-01-05 19:48:00,151
2026-01-05 19:50:00,153
2026-01-05 19:52:00,150
2026-01-05 19:54:00,148
2026-01-05 19:56:00,149
2026-01-05 19:58:00,146
2026-01-05 20:00:00,146
2026-01-05 20:02:00,146
2026-01-05 20:04:00,152
2026-01-05 20:06:00,159
2026-01-05 20:08:00,166
2026-01-05 20:10:00,175
2026-01-05 20:12:00,184
2026-01-05 20:14:00,187
2026-01-05 20:16:00,185
2026-01-05 20:18:00,183
2026-01-05 20:20:00,184
2026-01-05 20:22:00,181
2026-01-05 20:24:00,179
2026-01-05 20:26:00,179
2026-01-05 20:28:00,181
2026-01-05 20:30:00,184
2026-01-05 20:32:00,186
2026-01-05 20:34:00,186
2026-01-05 20:36:00,190
2026-01-05 20:38:00,201
2026-01-05 20:40:00,204
2026-01-05 20:42:00,202
2026-01-05 20:44:00,202
2026-01-05 20:46:00,203
2026-01-05 20:48:00,202
2026-01-05 20:50:00,206
2026-01-05 20:52:00,217
2026-01-05 20:54:00,226
2026-01-05 20:56:00,234
2026-01-05 20:58:00,245
2026-01-05 21:00:00,254
2026-01-05 21:02:00,258
2026-01-05 21:04:00,249
2026-01-05 21:06:00,241
2026-01-05 21:08:00,234
2026-01-05 21:10:00,234
2026-01-05 21:12:00,233
2026-01-05 21:14:00,239
2026-01-05 21:16:00,249
2026-01-05 21:18:00,259
2026-01-05 21:20:00,257
2026-01-05 21:22:00,258
2026-01-05 21:24:00,257
2026-01-05 21:26:00,254
2026-01-05 21:28:00,251
2026-01-05 21:30:00,240
2026-01-05 21:32:00,231
2026-01-05 21:34:00,232
2026-01-05 21:36:00,232
2026-01-05 21:38:00,232
2026-01-05 21:40:00,241
2026-01-05 21:42:00,251
2026-01-05 21:44:00,254
2026-01-05 21:46:00,254
2026-01-05 21:48:00,253
2026-01-05 21:50:00,247
2026-01-05 21:52:00,244
2026-01-05 21:54:00,245
2026-01-05 21:56:00,246
2026-01-05 21:58:00,246
2026-01-05 22:00:00,238
2026-01-05 22:02:00,232
2026-01-05 22:04:00,230
2026-01-05 22:06:00,228
2026-01-05 22:08:00,223
2026-01-05 22:10:00,211
2026-01-05 22:12:00,199
2026-01-05 22:14:00,185
2026-01-05 22:16:00,173
2026-01-05 22:18:00,160
2026-01-05 22:20:00,159
2026-01-05 22:22:00,156
2026-01-05 22:24:00,155
2026-01-05 22:26:00,154
2026-01-05 22:28:00,151
2026-01-05 22:30:00,149
2026-01-05 22:32:00,145
2026-01-05 22:34:00,132
2026-01-05 22:36:00,120
2026-01-05 22:38:00,107
2026-01-05 22:40:00,94
2026-01-05 22:42:00,81
2026-01-05 22:44:00,75
2026-01-05 22:46:00,73
2026-01-05 22:48:00,72
2026-01-05 22:50:00,68
2026-01-05 22:52:00,59
2026-01-05 22:54:00,46
2026-01-05 22:56:00,33
2026-01-05 22:58:00,20
2026-01-05 23:00:00,15
2026-01-05 23:02:00,23
2026-01-05 23:04:00,30
2026-01-05 23:06:00,39
2026-01-05 23:08:00,50
2026-01-05 23:10:00,59
2026-01-05 23:12:00,69
2026-01-05 23:14:00,79
2026-01-05 23:16:00,89
2026-01-05 23:18:00,98
2026-01-05 23:20:00,102
2026-01-05 23:22:00,106
2026-01-05 23:24:00,110
2026-01-05 23:26:00,115
2026-01-05 23:28:00,124
2026-01-05 23:30:00,135
2026-01-05 23:32:00,144
2026-01-05 23:34:00,154
2026-01-05 23:36:00,163
2026-01-05 23:38:00,173
2026-01-05 23:40:00,182
2026-01-05 23:42:00,191
2026-01-05 23:44:00,200
2026-01-05 23:46:00,208
2026-01-05 23:48:00,218
2026-01-05 23:50:00,228
2026-01-05 23:52:00,237
2026-01-05 23:54:00,248
2026-01-05 23:56:00,258
2026-01-05 23:58:00,268
2026-01-06 00:00:00,278
2026-01-06 00:02:00,280
2026-01-06 00:04:00,284
2026-01-06 00:06:00,283
2026-01-06 00:08:00,283
2026-01-06 00:10:00,284
2026-01-06 00:12:00,284
2026-01-06 00:14:00,285
2026-01-06 00:16:00,284
2026-01-06 00:18:00,286
2026-01-06 00:20:00,291
2026-01-06 00:22:00,298
2026-01-06 00:24:00,300
2026-01-06 00:26:00,299
2026-01-06 00:28:00,294
2026-01-06 00:30:00,292
2026-01-06 00:32:00,290
2026-01-06 00:34:00,287
2026-01-06 00:36:00,284
2026-01-06 00:38:00,280
2026-01-06 00:40:00,278
2026-01-06 00:42:00,278
2026-01-06 00:44:00,275
2026-01-06 00:46:00,278
2026-01-06 00:48:00,276
2026-01-06 00:50:00,269
2026-01-06 00:52:00,261
2026-01-06 00:54:00,252
2026-01-06 00:56:00,243
2026-01-06 00:58:00,236
2026-01-06 01:00:00,228
2026-01-06 01:02:00,221
2026-01-06 01:04:00,212
2026-01-06 01:06:00,207
2026-01-06 01:08:00,199
2026-01-06 01:10:00,192
2026-01-06 01:12:00,186
2026-01-06 01:14:00,184
2026-01-06 01:16:00,179
2026-01-06 01:18:00,173
2026-01-06 01:20:00,171
2026-01-06 01:22:00,166
2026-01-06 01:24:00,169
2026-01-06 01:26:00,176
2026-01-06 01:28:00,183
2026-01-06 01:30:00,185
2026-01-06 01:32:00,190
2026-01-06 01:34:00,187
2026-01-06 01:36:00,184
2026-01-06 01:38:00,180
2026-01-06 01:40:00,173
2026-01-06 01:42:00,167
2026-01-06 01:44:00,164
2026-01-06 01:46:00,155
2026-01-06 01:48:00,148
2026-01-06 01:50:00,148
2026-01-06 01:52:00,154
2026-01-06 01:54:00,164
2026-01-06 01:56:00,175
2026-01-06 01:58:00,185
2026-01-06 02:00:00,192
2026-01-06 02:02:00,189
2026-01-06 02:04:00,190
2026-01-06 02:06:00,189
2026-01-06 02:08:00,189
2026-01-06 02:10:00,188
2026-01-06 02:12:00,186
2026-01-06 02:14:00,179
2026-01-06 02:16:00,179
2026-01-06 02:18:00,176
2026-01-06 02:20:00,169
2026-01-06 02:22:00,166
2026-01-06 02:24:00,159
2026-01-06 02:26:00,160
2026-01-06 02:28:00,160
2026-01-06 02:30:00,161
2026-01-06 02:32:00,161
2026-01-06 02:34:00,170
2026-01-06 02:36:00,174
2026-01-06 02:38:00,177
2026-01-06 02:40:00,178
2026-01-06 02:42:00,178
2026-01-06 02:44:00,176
2026-01-06 02:46:00,176
2026-01-06 02:48:00,183
2026-01-06 02:50:00,193
2026-01-06 02:52:00,197
2026-01-06 02:54:00,198
2026-01-06 02:56:00,198
2026-01-06 02:58:00,196
2026-01-06 03:00:00,190
2026-01-06 03:02:00,192
2026-01-06 03:04:00,192
2026-01-06 03:06:00,191
2026-01-06 03:08:00,194
2026-01-06 03:10:00,204
2026-01-06 03:12:00,214
2026-01-06 03:14:00,224
2026-01-06 03:16:00,231
2026-01-06 03:18:00,241
2026-01-06 03:20:00,251
2026-01-06 03:22:00,251
2026-01-06 03:24:00,251
2026-01-06 03:26:00,251
2026-01-06 03:28:00,252
2026-01-06 03:30:00,253
2026-01-06 03:32:00,253
2026-01-06 03:34:00,253
2026-01-06 03:36:00,253
2026-01-06 03:38:00,249
2026-01-06 03:40:00,248
2026-01-06 03:42:00,247
2026-01-06 03:44:00,250
2026-01-06 03:46:00,249
2026-01-06 03:48:00,251
2026-01-06 03:50:00,251
2026-01-06 03:52:00,251
2026-01-06 03:54:00,251
2026-01-06 03:56:00,250
2026-01-06 03:58:00,252
2026-01-06 04:00:00,254
2026-01-06 04:02:00,260
2026-01-06 04:04:00,270
2026-01-06 04:06:00,279
2026-01-06 04:08:00,287
2026-01-06 04:10:00,287
2026-01-06 04:12:00,288
2026-01-06 04:14:00,280
2026-01-06 04:16:00,272
2026-01-06 04:18:00,264
2026-01-06 04:20:00,267
2026-01-06 04:22:00,277
2026-01-06 04:24:00,287
2026-01-06 04:26:00,288
2026-01-06 04:28:00,288
2026-01-06 04:30:00,285
2026-01-06 04:32:00,273
2026-01-06 04:34:00,269
2026-01-06 04:36:00,275
2026-01-06 04:38:00,287
2026-01-06 04:40:00,299
2026-01-06 04:42:00,310
2026-01-06 04:44:00,319
2026-01-06 04:46:00,326
2026-01-06 04:48:00,327
2026-01-06 04:50:00,327
2026-01-06 04:52:00,327
2026-01-06 04:54:00,325
2026-01-06 04:56:00,326
2026-01-06 04:58:00,327
2026-01-06 05:00:00,335
2026-01-06 05:02:00,337
2026-01-06 05:04:00,337
2026-01-06 05:06:00,339
2026-01-06 05:08:00,338
2026-01-06 05:10:00,338
2026-01-06 05:12:00,339
2026-01-06 05:14:00,348
2026-01-06 05:16:00,356
2026-01-06 05:18:00,366
2026-01-06 05:20:00,365
2026-01-06 05:22:00,365
2026-01-06 05:24:00,364
2026-01-06 05:26:00,363
2026-01-06 05:28:00,364
2026-01-06 05:30:00,367
2026-01-06 05:32:00,379
2026-01-06 05:34:00,384
2026-01-06 05:36:00,383
2026-01-06 05:38:00,380
2026-01-06 05:40:00,381
2026-01-06 05:42:00,381
2026-01-06 05:44:00,382
2026-01-06 05:46:00,386
2026-01-06 05:48:00,386
2026-01-06 05:50:00,380
2026-01-06 05:52:00,381
2026-01-06 05:54:00,383
2026-01-06 05:56:00,384
2026-01-06 05:58:00,383
2026-01-06 06:00:00,383
2026-01-06 06:02:00,384
2026-01-06 06:04:00,384
2026-01-06 06:06:00,383
2026-01-06 06:08:00,383
2026-01-06 06:10:00,383
2026-01-06 06:12:00,382
2026-01-06 06:14:00,381
2026-01-06 06:16:00,375
2026-01-06 06:18:00,372
2026-01-06 06:20:00,373
2026-01-06 06:22:00,372
2026-01-06 06:24:00,373
2026-01-06 06:26:00,374
2026-01-06 06:28:00,373
2026-01-06 06:30:00,373
2026-01-06 06:32:00,374
2026-01-06 06:34:00,372
2026-01-06 06:36:00,372
2026-01-06 06:38:00,375
2026-01-06 06:40:00,374
2026-01-06 06:42:00,373
2026-01-06 06:44:00,372
2026-01-06 06:46:00,372
