"Time","debug","error","info","warn"
2026-01-06 22:30:30,11.3 K,,1.66 K,1
2026-01-06 22:31:00,12.7 K,,1.75 K,
2026-01-06 22:31:30,11.1 K,,1.75 K,
2026-01-06 22:32:00,12.3 K,8,1.23 K,4
2026-01-06 22:32:30,15.7 K,,1.91 K,
2026-01-06 22:33:00,13.6 K,,1.89 K,1
2026-01-06 22:33:30,11.6 K,,1.75 K,
2026-01-06 22:34:00,7.11 K,9,498,5
2026-01-06 22:34:30,4.84 K,,178,1
2026-01-06 22:35:00,8.09 K,,129,1
2026-01-06 22:35:30,7.68 K,1,142,
2026-01-06 22:36:00,7.84 K,31,300,15
2026-01-06 22:36:30,5.00 K,,179,
2026-01-06 22:37:00,7.78 K,,540,2
2026-01-06 22:37:30,13.7 K,,1.48 K,
2026-01-06 22:38:00,14.0 K,,1.42 K,
2026-01-06 22:38:30,14.6 K,,1.49 K,
2026-01-06 22:39:00,14.4 K,,1.51 K,
2026-01-06 22:39:30,14.4 K,,1.51 K,
2026-01-06 22:40:00,17.7 K,,1.44 K,
2026-01-06 22:40:30,14.0 K,,1.40 K,
2026-01-06 22:41:00,14.5 K,,1.47 K,
2026-01-06 22:41:30,13.9 K,,1.42 K,
2026-01-06 22:42:00,11.6 K,1,1.65 K,1
2026-01-06 22:42:30,12.8 K,,1.76 K,
2026-01-06 22:43:00,11.6 K,,1.75 K,
2026-01-06 22:43:30,11.6 K,,1.75 K,
2026-01-06 22:44:00,7.15 K,9,505,5
2026-01-06 22:44:30,4.84 K,,177,
2026-01-06 22:45:00,13.3 K,,860,2
2026-01-06 22:45:30,14.0 K,,1.47 K,
2026-01-06 22:46:00,9.35 K,,790,1
2026-01-06 22:46:30,7.38 K,,194,
2026-01-06 22:47:00,4.41 K,,177,
2026-01-06 22:47:30,4.83 K,,181,
2026-01-06 22:48:00,6.66 K,13,195,9
2026-01-06 22:48:30,7.38 K,1,141,1
2026-01-06 22:49:00,4.59 K,,122,2
2026-01-06 22:49:30,5.21 K,,182,
2026-01-06 22:50:00,9.26 K,7,489,4
2026-01-06 22:50:30,8.41 K,,811,
2026-01-06 22:51:00,8.84 K,,804,
2026-01-06 22:51:30,8.82 K,,764,
2026-01-06 22:52:00,7.65 K,,704,
2026-01-06 22:52:30,8.09 K,,622,
2026-01-06 22:53:00,8.13 K,,668,
2026-01-06 22:53:30,11.8 K,,813,
2026-01-06 22:54:00,8.05 K,,754,
2026-01-06 22:54:30,9.56 K,,1.08 K,
2026-01-06 22:55:00,9.57 K,,580,
2026-01-06 22:55:30,5.96 K,1,248,2
2026-01-06 22:56:00,8.39 K,8,634,4
2026-01-06 22:56:30,9.27 K,,819,
2026-01-06 22:57:00,7.75 K,,720,
2026-01-06 22:57:30,8.20 K,,663,
2026-01-06 22:58:00,8.15 K,,696,
2026-01-06 22:58:30,10.4 K,,585,
2026-01-06 22:59:00,7.67 K,,685,
2026-01-06 22:59:30,8.34 K,,789,
2026-01-06 23:00:00,9.58 K,,624,
2026-01-06 23:00:30,8.72 K,,844,
2026-01-06 23:01:00,7.71 K,,602,
2026-01-06 23:01:30,9.31 K,,893,
2026-01-06 23:02:00,7.62 K,,691,
2026-01-06 23:02:30,8.27 K,,675,
2026-01-06 23:03:00,7.77 K,,615,1
2026-01-06 23:03:30,10.9 K,,724,
2026-01-06 23:04:00,8.70 K,,960,
2026-01-06 23:04:30,8.90 K,,950,
2026-01-06 23:05:00,11.7 K,,1.11 K,
2026-01-06 23:05:30,7.36 K,,652,
2026-01-06 23:06:00,8.23 K,,669,
2026-01-06 23:06:30,6.97 K,,484,
2026-01-06 23:07:00,6.80 K,,526,
2026-01-06 23:07:30,10.0 K,,755,
2026-01-06 23:08:00,6.38 K,,366,1
2026-01-06 23:08:30,9.34 K,1,570,
2026-01-06 23:09:00,12.3 K,,1.75 K,
2026-01-06 23:09:30,12.2 K,,1.75 K,
2026-01-06 23:10:00,9.92 K,4,643,3
2026-01-06 23:10:30,7.73 K,,651,
2026-01-06 23:11:00,8.82 K,,803,
2026-01-06 23:11:30,9.30 K,,927,
2026-01-06 23:12:00,8.02 K,,742,
2026-01-06 23:12:30,9.13 K,,838,
2026-01-06 23:13:00,8.09 K,,700,
2026-01-06 23:13:30,11.0 K,,870,
2026-01-06 23:14:00,8.73 K,,822,
2026-01-06 23:14:30,7.83 K,,695,
2026-01-06 23:15:00,15.9 K,,1.90 K,
2026-01-06 23:15:30,17.1 K,,2.34 K,
2026-01-06 23:16:00,15.0 K,,2.20 K,
2026-01-06 23:16:30,8.39 K,,685,
2026-01-06 23:17:00,9.09 K,,971,
2026-01-06 23:17:30,7.39 K,,514,
2026-01-06 23:18:00,15.2 K,,2.22 K,
2026-01-06 23:18:30,16.3 K,,2.32 K,
2026-01-06 23:19:00,15.2 K,,2.33 K,
2026-01-06 23:19:30,16.6 K,,2.34 K,
2026-01-06 23:20:00,15.2 K,,1.87 K,
2026-01-06 23:20:30,8.98 K,,756,
2026-01-06 23:21:00,8.26 K,,754,
2026-01-06 23:21:30,8.69 K,,541,
2026-01-06 23:22:00,3.58 K,12,275,3
2026-01-06 23:22:30,1.78 K,12,240,
2026-01-06 23:23:00,1.95 K,12,243,2
2026-01-06 23:23:30,3.46 K,6,248,
2026-01-06 23:24:00,2.54 K,6,240,
2026-01-06 23:24:30,1.95 K,6,240,
2026-01-06 23:25:00,2.92 K,2,47,
