"Time","in:r600w4p2_f1_d10_20b300l1td40_100ts20_4tl200_tb200_worker4_worker8_worker7_worker9","out:r600w4p2_f1_d10_20b300l1td40_100ts20_4tl200_tb200_worker4_worker8_worker7_worker9","sum:r600w4p2_f1_d10_20b300l1td40_100ts20_4tl200_tb200_worker4_worker8_worker7_worker9"
2026-01-06 22:31:00,26.7 MB,17.1 MB,43.8 MB
2026-01-06 22:32:00,21.8 MB,15.9 MB,37.7 MB
2026-01-06 22:33:00,56.8 MB,43.7 MB,100 MB
2026-01-06 22:34:00,48.0 MB,38.9 MB,86.9 MB
2026-01-06 22:35:00,51.6 MB,40.3 MB,91.9 MB
2026-01-06 22:36:00,51.3 MB,42.1 MB,93.4 MB
2026-01-06 22:37:00,47.0 MB,39.9 MB,86.9 MB
2026-01-06 22:38:00,82.4 MB,67.8 MB,150 MB
2026-01-06 22:39:00,134 MB,115 MB,249 MB
2026-01-06 22:40:00,183 MB,164 MB,347 MB
2026-01-06 22:41:00,232 MB,210 MB,442 MB
2026-01-06 22:42:00,281 MB,258 MB,539 MB
2026-01-06 22:43:00,283 MB,261 MB,544 MB
2026-01-06 22:44:00,248 MB,234 MB,482 MB
2026-01-06 22:45:00,250 MB,236 MB,486 MB
2026-01-06 22:46:00,295 MB,276 MB,571 MB
2026-01-06 22:47:00,301 MB,282 MB,583 MB
2026-01-06 22:48:00,105 MB,90.9 MB,196 MB
2026-01-06 22:49:00,106 MB,91.6 MB,198 MB
2026-01-06 22:50:00,65.0 MB,52.4 MB,117 MB
2026-01-06 22:51:00,77.0 MB,62.0 MB,139 MB
2026-01-06 22:52:00,91.5 MB,73.4 MB,165 MB
2026-01-06 22:53:00,104 MB,85.2 MB,189 MB
2026-01-06 22:54:00,120 MB,101 MB,220 MB
2026-01-06 22:55:00,132 MB,113 MB,245 MB
2026-01-06 22:56:00,140 MB,121 MB,261 MB
2026-01-06 22:57:00,145 MB,126 MB,271 MB
2026-01-06 22:58:00,159 MB,139 MB,297 MB
2026-01-06 22:59:00,171 MB,151 MB,322 MB
2026-01-06 23:00:00,183 MB,163 MB,346 MB
2026-01-06 23:01:00,197 MB,177 MB,375 MB
2026-01-06 23:02:00,209 MB,189 MB,398 MB
2026-01-06 23:03:00,223 MB,202 MB,425 MB
2026-01-06 23:04:00,237 MB,216 MB,453 MB
2026-01-06 23:05:00,244 MB,222 MB,466 MB
2026-01-06 23:06:00,253 MB,231 MB,484 MB
2026-01-06 23:07:00,262 MB,240 MB,502 MB
2026-01-06 23:08:00,273 MB,252 MB,525 MB
2026-01-06 23:09:00,277 MB,255 MB,532 MB
2026-01-06 23:10:00,239 MB,224 MB,463 MB
2026-01-06 23:11:00,252 MB,235 MB,487 MB
2026-01-06 23:12:00,263 MB,245 MB,509 MB
2026-01-06 23:13:00,277 MB,257 MB,535 MB
2026-01-06 23:14:00,289 MB,269 MB,559 MB
2026-01-06 23:15:00,301 MB,281 MB,582 MB
2026-01-06 23:16:00,304 MB,284 MB,588 MB
2026-01-06 23:17:00,312 MB,292 MB,604 MB
2026-01-06 23:18:00,322 MB,302 MB,624 MB
2026-01-06 23:19:00,324 MB,304 MB,628 MB
2026-01-06 23:20:00,325 MB,305 MB,630 MB
2026-01-06 23:21:00,336 MB,316 MB,652 MB
2026-01-06 23:22:00,349 MB,329 MB,677 MB
2026-01-06 23:23:00,347 MB,327 MB,674 MB
2026-01-06 23:24:00,347 MB,327 MB,675 MB
2026-01-06 23:25:00,269 MB,256 MB,525 MB
