"Time","Weighted Average","Average"
2026-01-06 22:31:00,1.77,2.27
2026-01-06 22:32:00,1.77,2.27
2026-01-06 22:33:00,1.20,1.20
2026-01-06 22:34:00,1.20,1.20
2026-01-06 22:35:00,1.30,1.14
2026-01-06 22:36:00,1.30,1.14
2026-01-06 22:37:00,1.42,0.991
2026-01-06 22:38:00,0.860,0.876
2026-01-06 22:39:00,0.733,0.743
2026-01-06 22:40:00,0.698,0.748
2026-01-06 22:41:00,0.651,0.520
2026-01-06 22:42:00,0.605,0.570
2026-01-06 22:43:00,0.519,0.579
2026-01-06 22:44:00,0.519,0.579
2026-01-06 22:45:00,0.577,0.562
2026-01-06 22:46:00,1.37,0.937
2026-01-06 22:47:00,0.875,0.901
2026-01-06 22:48:00,0.875,0.901
2026-01-06 22:49:00,1.15,0.909
2026-01-06 22:50:00,1.07,0.909
2026-01-06 22:51:00,0.912,1.54
2026-01-06 22:52:00,0.688,1.51
2026-01-06 22:53:00,0.935,1.39
2026-01-06 22:54:00,0.774,1.15
2026-01-06 22:55:00,0.800,0.896
2026-01-06 22:56:00,0.422,0.877
2026-01-06 22:57:00,0.688,0.955
2026-01-06 22:58:00,0.944,1.28
2026-01-06 22:59:00,0.540,0.847
2026-01-06 23:00:00,0.748,1.09
2026-01-06 23:01:00,0.574,0.893
2026-01-06 23:02:00,0.636,0.880
2026-01-06 23:03:00,0.516,0.810
2026-01-06 23:04:00,0.415,0.719
2026-01-06 23:05:00,0.465,0.789
2026-01-06 23:06:00,0.383,0.732
2026-01-06 23:07:00,0.524,0.803
2026-01-06 23:08:00,0.347,0.592
2026-01-06 23:09:00,0.296,0.608
2026-01-06 23:10:00,0.296,0.608
2026-01-06 23:11:00,0.316,0.590
2026-01-06 23:12:00,0.336,0.584
2026-01-06 23:13:00,0.273,0.525
2026-01-06 23:14:00,0.276,0.527
2026-01-06 23:15:00,0.379,0.641
2026-01-06 23:16:00,0.320,0.607
2026-01-06 23:17:00,0.254,0.483
2026-01-06 23:18:00,0.304,0.581
2026-01-06 23:19:00,0.304,0.581
2026-01-06 23:20:00,0.304,0.581
2026-01-06 23:21:00,0.309,0.542
2026-01-06 23:22:00,0.275,0.542
2026-01-06 23:23:00,0.275,0.542
2026-01-06 23:24:00,0.275,0.542
2026-01-06 23:25:00,0.275,0.542
