"Time","sum:","sum:r600w4p2_f1_d10_20b300l1td40_100ts20_4tl200_tb200_worker4_worker8_worker7_worker9/gateway","sum:r600w4p2_f1_d10_20b300l1td40_100ts20_4tl200_tb200_worker4_worker8_worker7_worker9/worker1","sum:r600w4p2_f1_d10_20b300l1td40_100ts20_4tl200_tb200_worker4_worker8_worker7_worker9/worker10","sum:r600w4p2_f1_d10_20b300l1td40_100ts20_4tl200_tb200_worker4_worker8_worker7_worker9/worker2","sum:r600w4p2_f1_d10_20b300l1td40_100ts20_4tl200_tb200_worker4_worker8_worker7_worker9/worker3","sum:r600w4p2_f1_d10_20b300l1td40_100ts20_4tl200_tb200_worker4_worker8_worker7_worker9/worker4","sum:r600w4p2_f1_d10_20b300l1td40_100ts20_4tl200_tb200_worker4_worker8_worker7_worker9/worker5","sum:r600w4p2_f1_d10_20b300l1td40_100ts20_4tl200_tb200_worker4_worker8_worker7_worker9/worker6","sum:r600w4p2_f1_d10_20b300l1td40_100ts20_4tl200_tb200_worker4_worker8_worker7_worker9/worker7","sum:r600w4p2_f1_d10_20b300l1td40_100ts20_4tl200_tb200_worker4_worker8_worker7_worker9/worker8","sum:r600w4p2_f1_d10_20b300l1td40_100ts20_4tl200_tb200_worker4_worker8_worker7_worker9/worker9"
2026-01-06 22:31:00,788 kB,733 kB,479 kB,611 kB,510 kB,683 kB,13.8 MB,4.96 MB,5.79 MB,676 kB,6.87 MB,7.93 MB
2026-01-06 22:32:00,1.34 MB,762 kB,505 kB,648 kB,569 kB,711 kB,13.8 MB,5.14 MB,5.97 MB,703 kB,7.05 MB,502 kB
2026-01-06 22:33:00,1.89 MB,791 kB,538 kB,648 kB,635 kB,745 kB,40.7 MB,12.3 MB,13.8 MB,737 kB,15.4 MB,12.4 MB
2026-01-06 22:34:00,2.47 MB,835 kB,580 kB,277 kB,709 kB,788 kB,40.8 MB,12.5 MB,14.0 MB,779 kB,433 kB,12.8 MB
2026-01-06 22:35:00,2.66 MB,843 kB,594 kB,2.20 MB,754 kB,803 kB,41.9 MB,12.9 MB,14.4 MB,793 kB,513 kB,13.4 MB
2026-01-06 22:36:00,3.01 MB,1.18 MB,806 kB,335 kB,1.03 MB,1.14 MB,42.5 MB,13.4 MB,14.8 MB,1.12 MB,637 kB,13.4 MB
2026-01-06 22:37:00,3.20 MB,1.21 MB,843 kB,2.32 MB,1.10 MB,1.18 MB,43.4 MB,14.3 MB,16.2 MB,1.16 MB,644 kB,1.28 MB
2026-01-06 22:38:00,3.59 MB,1.22 MB,851 kB,15.2 MB,1.14 MB,1.19 MB,72.5 MB,21.5 MB,23.6 MB,1.17 MB,652 kB,7.62 MB
2026-01-06 22:39:00,4.13 MB,1.25 MB,880 kB,28.1 MB,1.20 MB,1.22 MB,119 MB,33.5 MB,35.5 MB,1.20 MB,871 kB,21.7 MB
2026-01-06 22:40:00,4.64 MB,1.26 MB,892 kB,40.2 MB,1.24 MB,1.23 MB,167 MB,45.6 MB,47.6 MB,1.21 MB,1.01 MB,34.3 MB
2026-01-06 22:41:00,5.36 MB,1.60 MB,1.09 MB,52.3 MB,1.51 MB,1.57 MB,212 MB,57.9 MB,59.6 MB,1.55 MB,1.03 MB,46.9 MB
2026-01-06 22:42:00,5.87 MB,1.62 MB,1.11 MB,62.4 MB,1.56 MB,1.59 MB,258 MB,69.8 MB,71.3 MB,1.57 MB,1.04 MB,64.0 MB
