"Time","sum (
  rate(hypha_bandwidth_inbound_bytes_total{service_namespace=""r600w4p2_f0_d40_100b100l1td40_100ts10_4tl300_tb100_worker8""}[4m0s])
+ rate(hypha_bandwidth_outbound_bytes_total{service_namespace=""r600w4p2_f0_d40_100b100l1td40_100ts10_4tl300_tb100_worker8""}[4m0s])
)  * 8 "
2026-01-06 17:46:00,5.38 Mb/s
2026-01-06 17:47:00,8.66 Mb/s
2026-01-06 17:48:00,12.2 Mb/s
2026-01-06 17:49:00,13.1 Mb/s
2026-01-06 17:50:00,12.7 Mb/s
2026-01-06 17:51:00,11.8 Mb/s
2026-01-06 17:52:00,11.6 Mb/s
2026-01-06 17:53:00,11.2 Mb/s
2026-01-06 17:54:00,11.6 Mb/s
2026-01-06 17:55:00,11.5 Mb/s
2026-01-06 17:56:00,11.5 Mb/s
2026-01-06 17:57:00,11.3 Mb/s
2026-01-06 17:58:00,11.8 Mb/s
2026-01-06 17:59:00,8.87 Mb/s
2026-01-06 18:00:00,5.17 Mb/s
2026-01-06 18:01:00,942 kb/s
