"Time","Weighted Average","Average"
2026-01-06 17:45:00,1.67,2.03
2026-01-06 17:46:00,0.980,1.44
2026-01-06 17:47:00,0.798,0.795
2026-01-06 17:48:00,0.448,0.554
2026-01-06 17:49:00,0.337,0.421
2026-01-06 17:50:00,0.611,0.656
2026-01-06 17:51:00,0.309,0.380
2026-01-06 17:52:00,0.235,0.261
2026-01-06 17:53:00,0.270,0.242
2026-01-06 17:54:00,0.172,0.222
2026-01-06 17:55:00,0.209,0.225
2026-01-06 17:56:00,0.232,0.262
2026-01-06 17:57:00,0.129,0.191
2026-01-06 17:58:00,0.199,0.263
2026-01-06 17:59:00,0.199,0.263
2026-01-06 18:00:00,0.199,0.263
2026-01-06 18:01:00,0.199,0.263
