"Time","sum:","sum:r600w4p2_f0_d40_100b100l1td40_100ts10_4tl300_tb100_worker8/gateway","sum:r600w4p2_f0_d40_100b100l1td40_100ts10_4tl300_tb100_worker8/worker1","sum:r600w4p2_f0_d40_100b100l1td40_100ts10_4tl300_tb100_worker8/worker10","sum:r600w4p2_f0_d40_100b100l1td40_100ts10_4tl300_tb100_worker8/worker2","sum:r600w4p2_f0_d40_100b100l1td40_100ts10_4tl300_tb100_worker8/worker3","sum:r600w4p2_f0_d40_100b100l1td40_100ts10_4tl300_tb100_worker8/worker4","sum:r600w4p2_f0_d40_100b100l1td40_100ts10_4tl300_tb100_worker8/worker5","sum:r600w4p2_f0_d40_100b100l1td40_100ts10_4tl300_tb100_worker8/worker6","sum:r600w4p2_f0_d40_100b100l1td40_100ts10_4tl300_tb100_worker8/worker7","sum:r600w4p2_f0_d40_100b100l1td40_100ts10_4tl300_tb100_worker8/worker8","sum:r600w4p2_f0_d40_100b100l1td40_100ts10_4tl300_tb100_worker8/worker9"
2026-01-06 17:45:00,793 kB,725 kB,21.0 MB,509 kB,518 kB,677 kB,606 kB,7.29 MB,7.57 MB,9.18 MB,10.9 MB,523 kB
2026-01-06 17:46:00,1.30 MB,735 kB,67.1 MB,518 kB,526 kB,685 kB,648 kB,19.4 MB,20.4 MB,22.2 MB,23.2 MB,532 kB
2026-01-06 17:47:00,1.84 MB,741 kB,115 MB,532 kB,537 kB,699 kB,694 kB,31.5 MB,32.5 MB,34.3 MB,36.7 MB,541 kB
2026-01-06 17:48:00,2.37 MB,748 kB,165 MB,540 kB,545 kB,709 kB,736 kB,44.6 MB,45.8 MB,47.6 MB,49.3 MB,548 kB
2026-01-06 17:49:00,2.89 MB,755 kB,211 MB,549 kB,553 kB,719 kB,778 kB,56.0 MB,57.4 MB,59.0 MB,61.3 MB,560 kB
2026-01-06 17:50:00,3.62 MB,1.12 MB,254 MB,823 kB,801 kB,1.07 MB,1.12 MB,67.2 MB,68.6 MB,70.3 MB,72.5 MB,840 kB
2026-01-06 17:51:00,4.09 MB,1.12 MB,295 MB,831 kB,809 kB,1.08 MB,1.16 MB,77.6 MB,78.8 MB,80.6 MB,82.8 MB,852 kB
2026-01-06 17:52:00,4.58 MB,1.13 MB,337 MB,841 kB,817 kB,1.09 MB,1.20 MB,89.0 MB,89.9 MB,91.6 MB,93.8 MB,864 kB
2026-01-06 17:53:00,5.06 MB,1.13 MB,378 MB,848 kB,824 kB,1.10 MB,1.24 MB,99.3 MB,100 MB,102 MB,104 MB,872 kB
2026-01-06 17:54:00,5.56 MB,1.14 MB,422 MB,856 kB,832 kB,1.11 MB,1.28 MB,111 MB,112 MB,113 MB,115 MB,880 kB
2026-01-06 17:55:00,6.27 MB,1.50 MB,463 MB,1.12 MB,1.08 MB,1.46 MB,1.62 MB,122 MB,122 MB,124 MB,126 MB,1.16 MB
2026-01-06 17:56:00,6.76 MB,1.51 MB,504 MB,1.13 MB,1.09 MB,1.47 MB,1.66 MB,132 MB,133 MB,134 MB,136 MB,1.16 MB
2026-01-06 17:57:00,7.25 MB,1.51 MB,546 MB,1.14 MB,1.09 MB,1.48 MB,1.70 MB,143 MB,143 MB,145 MB,147 MB,1.18 MB
2026-01-06 17:58:00,7.77 MB,1.52 MB,593 MB,1.15 MB,1.10 MB,1.48 MB,1.74 MB,155 MB,155 MB,157 MB,159 MB,1.19 MB
2026-01-06 17:59:00,7.77 MB,1.53 MB,602 MB,1.16 MB,1.11 MB,1.49 MB,1.75 MB,157 MB,158 MB,159 MB,161 MB,1.19 MB
2026-01-06 18:00:00,7.77 MB,1.82 MB,603 MB,1.39 MB,1.32 MB,1.80 MB,2.02 MB,157 MB,158 MB,159 MB,161 MB,1.43 MB
2026-01-06 18:01:00,7.77 MB,1.85 MB,603 MB,1.40 MB,1.33 MB,1.81 MB,2.03 MB,157 MB,158 MB,159 MB,161 MB,1.44 MB
