"Time","in:r600w4p2_f0_d40_100b100l1td40_100ts10_4tl300_tb100_worker8","out:r600w4p2_f0_d40_100b100l1td40_100ts10_4tl300_tb100_worker8","sum:r600w4p2_f0_d40_100b100l1td40_100ts10_4tl300_tb100_worker8"
2026-01-06 17:45:00,36.0 MB,24.4 MB,60.4 MB
2026-01-06 17:46:00,86.2 MB,71.0 MB,157 MB
2026-01-06 17:47:00,136 MB,120 MB,256 MB
2026-01-06 17:48:00,189 MB,170 MB,359 MB
2026-01-06 17:49:00,235 MB,216 MB,451 MB
2026-01-06 17:50:00,281 MB,261 MB,542 MB
2026-01-06 17:51:00,322 MB,303 MB,625 MB
2026-01-06 17:52:00,366 MB,345 MB,711 MB
2026-01-06 17:53:00,408 MB,387 MB,795 MB
2026-01-06 17:54:00,454 MB,431 MB,885 MB
2026-01-06 17:55:00,496 MB,473 MB,970 MB
2026-01-06 17:56:00,538 MB,515 MB,1.05 GB
2026-01-06 17:57:00,581 MB,558 MB,1.14 GB
2026-01-06 17:58:00,629 MB,606 MB,1.23 GB
2026-01-06 17:59:00,638 MB,615 MB,1.25 GB
2026-01-06 18:00:00,639 MB,616 MB,1.26 GB
2026-01-06 18:01:00,639 MB,616 MB,1.26 GB
