"Time","Weighted Average","Average"
2026-01-07 01:01:00,1.48,1.75
2026-01-07 01:02:00,0.726,1.00
2026-01-07 01:03:00,0.944,0.914
2026-01-07 01:04:00,0.529,0.625
2026-01-07 01:05:00,0.497,0.469
2026-01-07 01:06:00,0.530,0.446
2026-01-07 01:07:00,0.256,0.325
2026-01-07 01:08:00,0.273,0.316
2026-01-07 01:09:00,0.179,0.269
2026-01-07 01:10:00,0.123,0.274
2026-01-07 01:11:00,0.163,0.271
2026-01-07 01:12:00,0.150,0.271
2026-01-07 01:13:00,0.343,0.623
2026-01-07 01:14:00,0.289,0.457
2026-01-07 01:15:00,0.275,0.530
2026-01-07 01:16:00,0.275,0.530
2026-01-07 01:17:00,0.467,0.713
2026-01-07 01:18:00,0.434,0.713
2026-01-07 01:19:00,0.675,0.669
2026-01-07 01:20:00,0.589,0.669
2026-01-07 01:21:00,1.16,0.992
2026-01-07 01:22:00,1.19,1.31
2026-01-07 01:23:00,0.729,0.804
2026-01-07 01:24:00,0.389,0.585
2026-01-07 01:25:00,0.464,0.661
2026-01-07 01:26:00,0.413,0.571
2026-01-07 01:27:00,0.413,0.571
2026-01-07 01:28:00,0.413,0.571
2026-01-07 01:29:00,0.360,0.749
2026-01-07 01:30:00,0.360,0.749
2026-01-07 01:31:00,0.360,0.749
2026-01-07 01:32:00,0.360,0.749
