"Time","data_points"
2026-01-07 10:12:00,1361
2026-01-07 10:13:00,1361
2026-01-07 10:14:00,2087
2026-01-07 10:15:00,1996
2026-01-07 10:16:00,2087
2026-01-07 10:17:00,1724
2026-01-07 10:18:00,1497
2026-01-07 10:19:00,1860
2026-01-07 10:20:00,2133
2026-01-07 10:21:00,2678
2026-01-07 10:22:00,1906
2026-01-07 10:23:00,1906
2026-01-07 10:24:00,1906
2026-01-07 10:25:00,1906
2026-01-07 10:26:00,1815
2026-01-07 10:27:00,1905
2026-01-07 10:28:00,2404
2026-01-07 10:29:00,1860
2026-01-07 10:30:00,1815
2026-01-07 10:31:00,1679
2026-01-07 10:32:00,1769
2026-01-07 10:33:00,2086
2026-01-07 10:34:00,1634
2026-01-07 10:35:00,1860
2026-01-07 10:36:00,1860
2026-01-07 10:37:00,1860
2026-01-07 10:38:00,1860
2026-01-07 10:39:00,1860
