"Time","debug","error","info","warn"
2026-01-07 10:12:00,13.9 K,,1.46 K,
2026-01-07 10:12:30,13.9 K,,1.52 K,
2026-01-07 10:13:00,11.4 K,2,1.75 K,1
2026-01-07 10:13:30,12.3 K,23,993,12
2026-01-07 10:14:00,14.7 K,,1.45 K,
2026-01-07 10:14:30,13.2 K,,1.39 K,
2026-01-07 10:15:00,13.6 K,,1.42 K,
2026-01-07 10:15:30,13.8 K,,1.47 K,
2026-01-07 10:16:00,17.9 K,,1.43 K,
2026-01-07 10:16:30,15.5 K,,1.46 K,
2026-01-07 10:17:00,13.2 K,,1.36 K,
2026-01-07 10:17:30,13.7 K,,1.44 K,
2026-01-07 10:18:00,12.8 K,1,1.62 K,1
2026-01-07 10:18:30,8.20 K,,896,2
2026-01-07 10:19:00,9.01 K,64,287,33
2026-01-07 10:19:30,4.43 K,,111,1
2026-01-07 10:20:00,5.30 K,2,77,3
2026-01-07 10:20:30,5.22 K,2,55,1
2026-01-07 10:21:00,12.3 K,14,584,4
2026-01-07 10:21:30,7.24 K,7,353,6
2026-01-07 10:22:00,6.51 K,,245,
2026-01-07 10:22:30,6.30 K,,237,1
2026-01-07 10:23:00,6.98 K,49,204,24
2026-01-07 10:23:30,12.7 K,7,1.01 K,11
2026-01-07 10:24:00,14.9 K,,1.50 K,6
2026-01-07 10:24:30,13.8 K,,1.41 K,4
2026-01-07 10:25:00,14.0 K,,1.39 K,6
2026-01-07 10:25:30,15.6 K,,1.39 K,6
2026-01-07 10:26:00,16.8 K,1,2.04 K,5
2026-01-07 10:26:30,16.4 K,,2.33 K,
2026-01-07 10:27:00,14.9 K,7,2.32 K,4
2026-01-07 10:27:30,7.64 K,6,505,6
2026-01-07 10:28:00,5.86 K,,236,
2026-01-07 10:28:30,11.6 K,,1.00 K,4
2026-01-07 10:29:00,11.4 K,1,859,5
2026-01-07 10:29:30,7.54 K,,244,
2026-01-07 10:30:00,5.60 K,,237,
2026-01-07 10:30:30,6.03 K,1,303,1
2026-01-07 10:31:00,15.0 K,4,1.18 K,7
2026-01-07 10:31:30,14.7 K,,1.44 K,6
2026-01-07 10:32:00,15.1 K,,1.52 K,4
2026-01-07 10:32:30,12.9 K,1,1.40 K,6
2026-01-07 10:33:00,9.08 K,32,448,21
2026-01-07 10:33:30,12.0 K,3,866,6
2026-01-07 10:34:00,14.1 K,,1.36 K,4
2026-01-07 10:34:30,14.9 K,,1.46 K,6
2026-01-07 10:35:00,14.9 K,,1.46 K,4
2026-01-07 10:35:30,15.1 K,,1.41 K,6
2026-01-07 10:36:00,16.6 K,,1.46 K,6
2026-01-07 10:36:30,5.42 K,18,472,2
2026-01-07 10:37:00,2.15 K,15,240,
2026-01-07 10:37:30,1.14 K,6,141,
