"Time","in:r600w4p2_f3_d10_20b300l1td40_100ts10_4tl300_tb200_worker3_worker1_worker4_worker5_worker9_worker6_worker8_worker7","out:r600w4p2_f3_d10_20b300l1td40_100ts10_4tl300_tb200_worker3_worker1_worker4_worker5_worker9_worker6_worker8_worker7","sum:r600w4p2_f3_d10_20b300l1td40_100ts10_4tl300_tb200_worker3_worker1_worker4_worker5_worker9_worker6_worker8_worker7"
2026-01-07 10:12:00,47.5 MB,33.4 MB,80.9 MB
2026-01-07 10:13:00,95.3 MB,80.4 MB,176 MB
2026-01-07 10:14:00,95.4 MB,82.8 MB,178 MB
2026-01-07 10:15:00,143 MB,126 MB,269 MB
2026-01-07 10:16:00,189 MB,171 MB,361 MB
2026-01-07 10:17:00,235 MB,217 MB,452 MB
2026-01-07 10:18:00,279 MB,260 MB,540 MB
2026-01-07 10:19:00,244 MB,230 MB,474 MB
2026-01-07 10:20:00,172 MB,163 MB,335 MB
2026-01-07 10:21:00,147 MB,141 MB,289 MB
2026-01-07 10:22:00,160 MB,149 MB,309 MB
2026-01-07 10:23:00,158 MB,149 MB,307 MB
2026-01-07 10:24:00,188 MB,170 MB,358 MB
2026-01-07 10:25:00,235 MB,214 MB,450 MB
2026-01-07 10:26:00,275 MB,253 MB,528 MB
2026-01-07 10:27:00,257 MB,241 MB,498 MB
2026-01-07 10:28:00,260 MB,243 MB,502 MB
2026-01-07 10:29:00,284 MB,262 MB,546 MB
2026-01-07 10:30:00,290 MB,268 MB,557 MB
2026-01-07 10:31:00,272 MB,254 MB,526 MB
2026-01-07 10:32:00,320 MB,295 MB,615 MB
2026-01-07 10:33:00,356 MB,331 MB,687 MB
2026-01-07 10:34:00,313 MB,292 MB,605 MB
2026-01-07 10:35:00,361 MB,334 MB,695 MB
2026-01-07 10:36:00,407 MB,378 MB,785 MB
2026-01-07 10:37:00,431 MB,401 MB,832 MB
2026-01-07 10:38:00,431 MB,401 MB,832 MB
2026-01-07 10:39:00,431 MB,401 MB,832 MB
