"Time","sum (
  rate(hypha_bandwidth_inbound_bytes_total{service_namespace=""r600w4p2_f3_d10_20b300l1td40_100ts10_4tl300_tb200_worker3_worker1_worker4_worker5_worker9_worker6_worker8_worker7""}[4m0s])
+ rate(hypha_bandwidth_outbound_bytes_total{service_namespace=""r600w4p2_f3_d10_20b300l1td40_100ts10_4tl300_tb200_worker3_worker1_worker4_worker5_worker9_worker6_worker8_worker7""}[4m0s])
)  * 8 "
2026-01-07 10:13:00,6.19 Mb/s
2026-01-07 10:14:00,6.06 Mb/s
2026-01-07 10:15:00,9.36 Mb/s
2026-01-07 10:16:00,9.16 Mb/s
2026-01-07 10:17:00,12.1 Mb/s
2026-01-07 10:18:00,12.0 Mb/s
2026-01-07 10:19:00,8.36 Mb/s
2026-01-07 10:20:00,4.41 Mb/s
2026-01-07 10:21:00,888 kb/s
2026-01-07 10:22:00,1.29 Mb/s
2026-01-07 10:23:00,1.17 Mb/s
2026-01-07 10:24:00,3.08 Mb/s
2026-01-07 10:25:00,6.10 Mb/s
2026-01-07 10:26:00,9.22 Mb/s
2026-01-07 10:27:00,7.67 Mb/s
2026-01-07 10:28:00,3.89 Mb/s
2026-01-07 10:29:00,2.36 Mb/s
2026-01-07 10:30:00,2.72 Mb/s
2026-01-07 10:31:00,3.02 Mb/s
2026-01-07 10:32:00,4.93 Mb/s
2026-01-07 10:33:00,7.60 Mb/s
2026-01-07 10:34:00,8.62 Mb/s
2026-01-07 10:35:00,8.83 Mb/s
2026-01-07 10:36:00,9.44 Mb/s
2026-01-07 10:37:00,10.1 Mb/s
2026-01-07 10:38:00,7.08 Mb/s
2026-01-07 10:39:00,2.85 Mb/s
