"Time","sum:","sum:r600w4p2_f3_d10_20b300l1td40_100ts10_4tl300_tb200_worker3_worker1_worker4_worker5_worker9_worker6_worker8_worker7/gateway","sum:r600w4p2_f3_d10_20b300l1td40_100ts10_4tl300_tb200_worker3_worker1_worker4_worker5_worker9_worker6_worker8_worker7/worker1","sum:r600w4p2_f3_d10_20b300l1td40_100ts10_4tl300_tb200_worker3_worker1_worker4_worker5_worker9_worker6_worker8_worker7/worker10","sum:r600w4p2_f3_d10_20b300l1td40_100ts10_4tl300_tb200_worker3_worker1_worker4_worker5_worker9_worker6_worker8_worker7/worker2","sum:r600w4p2_f3_d10_20b300l1td40_100ts10_4tl300_tb200_worker3_worker1_worker4_worker5_worker9_worker6_worker8_worker7/worker3","sum:r600w4p2_f3_d10_20b300l1td40_100ts10_4tl300_tb200_worker3_worker1_worker4_worker5_worker9_worker6_worker8_worker7/worker4","sum:r600w4p2_f3_d10_20b300l1td40_100ts10_4tl300_tb200_worker3_worker1_worker4_worker5_worker9_worker6_worker8_worker7/worker5","sum:r600w4p2_f3_d10_20b300l1td40_100ts10_4tl300_tb200_worker3_worker1_worker4_worker5_worker9_worker6_worker8_worker7/worker6","sum:r600w4p2_f3_d10_20b300l1td40_100ts10_4tl300_tb200_worker3_worker1_worker4_worker5_worker9_worker6_worker8_worker7/worker7","sum:r600w4p2_f3_d10_20b300l1td40_100ts10_4tl300_tb200_worker3_worker1_worker4_worker5_worker9_worker6_worker8_worker7/worker8","sum:r600w4p2_f3_d10_20b300l1td40_100ts10_4tl300_tb200_worker3_worker1_worker4_worker5_worker9_worker6_worker8_worker7/worker9"
2026-01-07 10:12:00,834 kB,755 kB,464 kB,13.2 MB,487 kB,669 kB,30.1 MB,9.52 MB,470 kB,10.9 MB,680 kB,12.7 MB
2026-01-07 10:13:00,1.35 MB,765 kB,473 kB,25.2 MB,532 kB,677 kB,76.7 MB,21.5 MB,481 kB,22.9 MB,692 kB,24.4 MB
2026-01-07 10:14:00,1.82 MB,850 kB,506 kB,28.4 MB,599 kB,740 kB,88.1 MB,25.2 MB,514 kB,26.0 MB,5.29 MB,281 kB
2026-01-07 10:15:00,2.34 MB,880 kB,533 kB,40.1 MB,660 kB,769 kB,131 MB,36.9 MB,540 kB,37.3 MB,18.4 MB,267 kB
2026-01-07 10:16:00,2.84 MB,891 kB,541 kB,51.6 MB,701 kB,780 kB,175 MB,48.1 MB,551 kB,49.3 MB,29.6 MB,398 kB
2026-01-07 10:17:00,3.58 MB,1.26 MB,769 kB,62.7 MB,990 kB,1.11 MB,219 MB,59.4 MB,809 kB,60.7 MB,41.4 MB,398 kB
2026-01-07 10:18:00,4.08 MB,1.27 MB,780 kB,74.3 MB,1.03 MB,1.16 MB,262 MB,70.2 MB,820 kB,71.6 MB,52.2 MB,279 kB
2026-01-07 10:19:00,4.50 MB,1.30 MB,809 kB,2.19 MB,1.10 MB,1.18 MB,265 MB,71.1 MB,850 kB,72.7 MB,53.2 MB,284 kB
2026-01-07 10:20:00,4.72 MB,1.38 MB,893 kB,2.25 MB,1.21 MB,1.27 MB,266 MB,464 kB,933 kB,1.42 MB,53.7 MB,1.35 MB
2026-01-07 10:21:00,4.86 MB,1.44 MB,951 kB,3.86 MB,1.30 MB,1.32 MB,266 MB,525 kB,991 kB,2.17 MB,3.52 MB,1.35 MB
2026-01-07 10:22:00,5.29 MB,1.77 MB,1.15 MB,6.59 MB,1.58 MB,1.66 MB,274 MB,1.83 MB,1.22 MB,5.40 MB,7.07 MB,1.85 MB
2026-01-07 10:23:00,5.50 MB,1.84 MB,1.19 MB,6.67 MB,640 kB,1.70 MB,274 MB,1.89 MB,1.26 MB,5.47 MB,7.14 MB,260 kB
