"Time","in:r600w4p2_f1_d10_20b200l1td40_100ts10_4tl100_tb300_worker8","out:r600w4p2_f1_d10_20b200l1td40_100ts10_4tl100_tb300_worker8","sum:r600w4p2_f1_d10_20b200l1td40_100ts10_4tl100_tb300_worker8"
2026-01-06 17:25:00,49.7 MB,35.7 MB,85.4 MB
2026-01-06 17:26:00,99.5 MB,85.2 MB,185 MB
2026-01-06 17:27:00,147 MB,130 MB,278 MB
2026-01-06 17:28:00,193 MB,176 MB,368 MB
2026-01-06 17:29:00,178 MB,163 MB,341 MB
2026-01-06 17:30:00,180 MB,165 MB,345 MB
2026-01-06 17:31:00,183 MB,166 MB,349 MB
2026-01-06 17:32:00,225 MB,204 MB,428 MB
2026-01-06 17:33:00,269 MB,247 MB,516 MB
2026-01-06 17:34:00,314 MB,291 MB,605 MB
2026-01-06 17:35:00,359 MB,336 MB,695 MB
2026-01-06 17:36:00,402 MB,380 MB,782 MB
2026-01-06 17:37:00,447 MB,422 MB,869 MB
2026-01-06 17:38:00,496 MB,471 MB,966 MB
2026-01-06 17:39:00,255 MB,232 MB,487 MB
2026-01-06 17:40:00,256 MB,233 MB,490 MB
2026-01-06 17:41:00,289 MB,266 MB,556 MB
2026-01-06 17:42:00,331 MB,309 MB,640 MB
2026-01-06 17:43:00,375 MB,352 MB,727 MB
2026-01-06 17:44:00,376 MB,353 MB,729 MB
2026-01-06 17:45:00,376 MB,353 MB,729 MB
2026-01-06 17:46:00,376 MB,353 MB,729 MB
2026-01-06 17:47:00,376 MB,353 MB,729 MB
