"Time","debug","error","info","warn"
2026-01-06 17:24:30,15.2 K,,1.63 K,
2026-01-06 17:25:00,14.8 K,,1.57 K,
2026-01-06 17:25:30,14.7 K,,1.52 K,
2026-01-06 17:26:00,14.3 K,,1.51 K,
2026-01-06 17:26:30,13.9 K,,1.41 K,
2026-01-06 17:27:00,14.0 K,,1.43 K,
2026-01-06 17:27:30,14.5 K,,1.48 K,
2026-01-06 17:28:00,9.74 K,,593,1
2026-01-06 17:28:30,8.85 K,,180,
2026-01-06 17:29:00,5.38 K,,177,
2026-01-06 17:29:30,7.74 K,8,715,4
2026-01-06 17:30:00,5.65 K,2,241,1
2026-01-06 17:30:30,4.94 K,,179,
2026-01-06 17:31:00,11.2 K,,1.09 K,2
2026-01-06 17:31:30,14.0 K,,1.55 K,
2026-01-06 17:32:00,14.7 K,,1.40 K,
2026-01-06 17:32:30,13.2 K,,1.39 K,
2026-01-06 17:33:00,14.0 K,,1.44 K,
2026-01-06 17:33:30,18.3 K,,1.44 K,
2026-01-06 17:34:00,13.9 K,,1.40 K,
2026-01-06 17:34:30,13.3 K,,1.35 K,
2026-01-06 17:35:00,13.7 K,,1.44 K,
2026-01-06 17:35:30,13.3 K,,1.37 K,
2026-01-06 17:36:00,13.2 K,,1.40 K,
2026-01-06 17:36:30,13.5 K,,1.42 K,
2026-01-06 17:37:00,14.2 K,,1.47 K,
2026-01-06 17:37:30,13.8 K,,1.46 K,
2026-01-06 17:38:00,6.70 K,,193,1
2026-01-06 17:38:30,7.77 K,,178,
2026-01-06 17:39:00,4.63 K,,180,
2026-01-06 17:39:30,6.14 K,7,206,4
2026-01-06 17:40:00,10.7 K,,988,
2026-01-06 17:40:30,13.2 K,,1.37 K,
2026-01-06 17:41:00,13.2 K,,1.35 K,
2026-01-06 17:41:30,13.3 K,,1.37 K,
2026-01-06 17:42:00,13.6 K,,1.40 K,
2026-01-06 17:42:30,13.0 K,,1.36 K,
2026-01-06 17:43:00,2.12 K,13,321,1
2026-01-06 17:43:30,283,2,32,
