"Time","sum (
  rate(hypha_bandwidth_inbound_bytes_total{service_namespace=""r600w4p2_f1_d10_20b200l1td40_100ts10_4tl100_tb300_worker8""}[4m0s])
+ rate(hypha_bandwidth_outbound_bytes_total{service_namespace=""r600w4p2_f1_d10_20b200l1td40_100ts10_4tl100_tb300_worker8""}[4m0s])
)  * 8 "
2026-01-06 17:26:00,6.81 Mb/s
2026-01-06 17:27:00,9.80 Mb/s
2026-01-06 17:28:00,12.4 Mb/s
2026-01-06 17:29:00,8.91 Mb/s
2026-01-06 17:30:00,5.04 Mb/s
2026-01-06 17:31:00,1.36 Mb/s
2026-01-06 17:32:00,3.84 Mb/s
2026-01-06 17:33:00,7.56 Mb/s
2026-01-06 17:34:00,11.3 Mb/s
2026-01-06 17:35:00,11.9 Mb/s
2026-01-06 17:36:00,11.8 Mb/s
2026-01-06 17:37:00,11.7 Mb/s
2026-01-06 17:38:00,11.9 Mb/s
2026-01-06 17:39:00,7.94 Mb/s
2026-01-06 17:40:00,4.41 Mb/s
2026-01-06 17:41:00,3.27 Mb/s
2026-01-06 17:42:00,6.47 Mb/s
2026-01-06 17:43:00,9.76 Mb/s
2026-01-06 17:44:00,8.60 Mb/s
2026-01-06 17:45:00,4.84 Mb/s
2026-01-06 17:46:00,236 kb/s
